title,gpt_label
Critical race theory : Why Republicans want to criminalize teaching,<POLITICAL INFLUENCER>
Critical race theory school battles are deepening the red - blue divide,<POLITICAL INFLUENCER>
What is critical race theory ? Here everything you need to know,<NONE/OTHER>
Black History Month : Phony critical race theory fears thwart teaching of total U . S . history,<POLITICAL INFLUENCER>
Bill banning critical race theory in schools dies in New Mexico Legislative session,<POLITICAL INFLUENCER>
Critical race theory : The narrative winning local elections for conservatives,<POLITICAL INFLUENCER>
Conservatives leverage CRT to seize momentum in 2022 local elections,<POLITICAL INFLUENCER>
University of Virginia paid CRT proponent Ibram Kendi more than $500 per minute for lecture : report,<EDUCATIONAL PRACTITIONER>
Teacher Anti - CRT Bills Coast To Coast : A State By State Guide,<EDUCATIONAL PRACTITIONER>
Texas professor blasts  activist  faculty over pro - CRT resolution :  Social justice indoctrination camp  ,<EDUCATIONAL PRACTITIONER>
Hispanic Texas land commissioner candidate vows to defund schools teaching CRT,<POLITICAL INFLUENCER>
Gov . DeSantis BANS  Critical Race Theory  from being taught in Florida schools ; makes bold announcement,<POLITICAL INFLUENCER>
Scholars warn of dangers of critical race theory - The Christian Post,<EDUCATIONAL PRACTITIONER>
critical race theory | What Did You Say ? ,<NONE/OTHER>
"Scholars warn of dangers of critical race theory , how it being injected into students",<POLITICAL INFLUENCER>
"Live updates : Polls close on the east coast , race calls , details on critical Senate races across country",<NONE/OTHER>
Jelani Cobb on Derrick Bell : The Man Behind Critical Race Theory | History News Network,<NONE/OTHER>
"APS approves petition about social studies standard , addresses CRT",<EDUCATIONAL PRACTITIONER>
Critical race theory is simply a way to learn about the past,<NONE/OTHER>
Chandler Unified Offers Woke And CRT - Based Books To Students Ages 6 And Up,<EDUCATIONAL PRACTITIONER>
"What is critical race theory , and could it be taught in PA schools ? ",<NONE/OTHER>
Trying to understand fear of critical race theory and diversity programs,<NONE/OTHER>
Critical race theory is a GOP bogeyman - New Mexico In Depth,<POLITICAL INFLUENCER>
"College Orientations Indoctrinate Students in Critical Race Theory , Says Free Speech Group",<POLITICAL INFLUENCER>
"William Jacobson , law professor , creates online database targeting  critical race training  schools",<EDUCATIONAL PRACTITIONER>
"Critical race theory exposed in detail in new documentary ,  Whose Children Are They ? ",<NONE/OTHER>
Critical race theory slithers down in the weeds,<NONE/OTHER>
New Mexico lawmakers discuss critical race theory,<POLITICAL INFLUENCER>
New Mexican express concerns over critical race theory in schools,"The main actor in the headline ""New Mexican express concerns over critical race theory in schools"" is <IMPACTED ACTOR>."
"Federal taxpayers fund critical race theory program that pays students $5 , 000 to receive training in CRT",<POLITICAL INFLUENCER>
Federal taxpayers pay millions to fund critical race theory program that funds students to promote CRT,<POLITICAL INFLUENCER>
Federal taxpayers pay millions to fund critical race theory program that trains students to promote CRT,<POLITICAL INFLUENCER>
Conservatives are fighting educational reforms with a war cry :  It CRT ! ,<POLITICAL INFLUENCER>
Dow wants to ban critical race theory in schools,<POLITICAL INFLUENCER>
The battle over critical race theory reaches New Mexico,<POLITICAL INFLUENCER>
"2022 Session - Ep . 2 , Critical Race Theory goes New Mexican",<POLITICAL INFLUENCER>
Why Virginia governor tip line is sparking new critical race theory concerns in schools,<POLITICAL INFLUENCER>
Here where critical race theory stands in classrooms and training across the country,<NONE/OTHER>
Critical race theory in the U . S . ,<NONE/OTHER>
Attempts to ban  critical race theory  multiply at statehouses across the U . S . | Southern Idaho Education,<POLITICAL INFLUENCER>
Attempts to ban  critical race theory  multiply at statehouses across the U . S . | News,<POLITICAL INFLUENCER>
Attempts to ban  critical race theory  multiply at statehouses across the U . S . | National News,<POLITICAL INFLUENCER>
Attempts to ban teaching on  critical race theory  multiply across the U . S . ,<POLITICAL INFLUENCER>
"Critical race theory curriculum in K - 12 schools is going  horribly wrong , teachers say",<EDUCATIONAL PRACTITIONER>
KK Helps Spill The Tea On Lee Summit Critical Race Theory Crisis,<POLITICAL INFLUENCER>
Missouri demand on critical race theory prompts $170K bill,<POLITICAL INFLUENCER>
"Lawmaker wants a Missouri school district to turn over any records referring to  critical race theory ; the district wants a deposit of $170 , 000 | Politics",<POLITICAL INFLUENCER>
Records Request On Critical Race Theory Prompts $170K Bill,<NONE/OTHER>
NC school board approves harsh repercussions for CRT teaching,<POLITICAL INFLUENCER>
"Letters for October 10 : On gun violence , CRT and horse slaughter",<NONE/OTHER>
Rockwood parents organize to support school board in battle over critical race theory,The main actor in this headline is <IMPACTED ACTOR>.
Reviewing SPS servers for CRT is a costly action for a non - issue,<NONE/OTHER>
GOP Anti - CRT Hysteria Leads To Requiring Teachers To Find  Balance  On The Holocaust,<POLITICAL INFLUENCER>
Alabama state school board member says protesters may be  terrorist amid critical race theory debate,<POLITICAL INFLUENCER>
Sleepy school board races are waking up to Covid and critical race theory debates,<POLITICAL INFLUENCER>
Covid and critical race theory : Sleepy school board races are waking up,<POLITICAL INFLUENCER>
Critical race theory battle invades school boards with help from conservative groups,<POLITICAL INFLUENCER>
"Ohio School Boards Association quits national group as passions rise over critical race theory , masks and vaccines at local meetings",<EDUCATIONAL PRACTITIONER>
Your Opinion : LTE wrong on CRT,<NONE/OTHER>
Local organizations to hold seminar on critical race theory,<NONE/OTHER>
Is a Virginia county critical race theory and equity fight at the heart of the 2022 elections ? ,<POLITICAL INFLUENCER>
It not just Virginia . Education and critical race theory are on the ballot across the US in 2022 . ,<POLITICAL INFLUENCER>
Discussion on Critical Race Theory aims to inform Columbia community,<IMPACTED ACTOR>
Missouri AG Schmitt to Newsmax : Lawsuit Seeks Answers on Critical Race Theory Plan,<POLITICAL INFLUENCER>
"As Parents Protest Critical Race Theory , Students Fight Racist Behavior at School",<IMPACTED ACTOR>
"Texas abortion law spurs copycat measures , from guns in California to critical race theory in Florida",<POLITICAL INFLUENCER>
No Critical Race Theory in Schools ? Here the Abundant Evidence Saying Otherwise,<NONE/OTHER>
No Critical Race Theory in Schools ? Here the Abundant Evidence Saying Otherwise By John Murawski,<NONE/OTHER>
Zinn Project Urges Teachers to Defy Laws Banning Critical Race Theory,<EDUCATIONAL PRACTITIONER>
What I discovered about critical race theory in public schools and why it shouldnt be taught,<POLITICAL INFLUENCER>
Cori Bush : Those Claiming  Black People Have Full Freedom  Reject CRT,<POLITICAL INFLUENCER>
What I discovered about Critical Race Theory in public schools and why it shouldnt be taught,<NONE/OTHER>
The Fightback Against Critical Race Theory,<NONE/OTHER>
"Mid - Missouri school boards take up critical race theory , The 1619 Project",<EDUCATIONAL PRACTITIONER>
The critical race theory fight is leading to educator  brain drain  ,<EDUCATIONAL PRACTITIONER>
Report : CRT wars are taking toll on lefty administrators,<EDUCATIONAL PRACTITIONER>
