,Topic,Count,Name,Representation,Representative_Docs
0,-1,2878,-1_legislature_legislative_governor_senator,"['legislature', 'legislative', 'governor', 'senator', 'representatives', 'senate', 'legislation', 'texas', 'senators', 'state']","['The primary actor in the headline is Kristi Noem. She is a political figure, specifically serving as the Governor of South Dakota. Her role involves making policy decisions and implementing laws within the state, including those related to education and curriculum standards.', 'The primary actor in the headline is the ""Texas House."" The Texas House refers to the Texas House of Representatives, which is the lower chamber of the Texas State Legislature. It is composed of members who are elected to represent specific districts within the state of Texas. As a legislative body, it is responsible for creating, debating, and passing state laws, including those related to education policies as indicated in the headline.', 'The primary actor in this headline is the ""Texas Senate."" The Texas Senate is a legislative body in the state of Texas, part of the state\'s bicameral legislature, which includes both the Senate and the House of Representatives. It is responsible for making and passing laws within the state. In this context, the Texas Senate is acting to pass legislation that would impact educational content, specifically regarding the teaching of critical race theory in schools.']"
1,0,2252,0_racism_political_concept_topic,"['racism', 'political', 'concept', 'topic', 'debate', 'activist', 'society', 'individuals', 'discourse', 'subject']","['The primary actor in the headline is ""Critical race theory."" It is not a person but a concept or framework that examines society and culture as they relate to categorizations of race, law, and power. In this context, it is the subject of opposition at a school board meeting.', 'The primary actor in the headline is ""Critical Race Theory."" It is not a person or a group of people but rather a concept or framework that examines society and culture as they relate to categorizations of race, law, and power.', 'The primary actor in the headline is ""Critical Race Theory."" It is not a person or a group of people but rather a concept or an academic framework that examines society and culture as they relate to categorizations of race, law, and power.']"
2,1,653,1_superintendent_governance_schools_overseeing,"['superintendent', 'governance', 'schools', 'overseeing', 'education', 'governmental', 'districts', 'board', 'governing', 'officials']","['The primary actor in the headline is the ""Board"" of the Placentia-Yorba Linda school district. This refers to the governing body or school board responsible for making policy decisions for the school district. Such boards typically consist of elected or appointed members who oversee the operations of public schools within a specific area, making decisions on curriculum, budget, school policies, and more.', 'The primary actor in the headline is the ""California school board."" This refers to a governing body responsible for making decisions and setting policies for a school district in California. School boards typically consist of elected officials who oversee the administration of public schools within their jurisdiction, including curriculum standards, budget allocations, and educational policies.', 'The primary actor in the headline is the ""school board."" The school board is a group of elected or appointed officials who oversee the operations of public schools within a specific district. Their responsibilities typically include setting educational policies, approving the school district\'s budget, and making decisions on curriculum standards. In this context, the school board is acting by making a statement regarding the curriculum, specifically about the teaching of critical race theory in Kansas schools.']"
3,2,533,2_parents_parent_parental_education,"['parents', 'parent', 'parental', 'education', 'children', 'educational', 'individuals', 'mothers', 'involvement', 'father']","['The primary actor in the headline is ""Virginia parents."" These are individuals with children attending schools in Virginia who are actively opposing the inclusion or teaching of critical race theory within the educational curriculum.', 'The primary actor in the headline is ""parents."" These are individuals who have children attending schools and are voicing their concerns or opposition to the inclusion or teaching of Critical Race Theory in the educational curriculum, indicating they are actively engaging in discussions or debates about educational content.', 'The primary actor in the headline is ""Parents."" These are individuals who have children in the educational system and are actively expressing opposition or concern regarding the inclusion or teaching of Critical Race Theory in the curriculum or educational settings.']"
4,3,494,3_msnbc_fox_breitbart_journalism,"['msnbc', 'fox', 'breitbart', 'journalism', 'journalist', 'reporter', 'news', 'nbc', 'newspaper', 'cnn']","['The primary actor in the headline is Megyn Kelly, who is a television news host and political commentator. She is known for her work on various news platforms, including Fox News and NBC News.', 'The primary actor in the headline is ""Fox News."" Fox News is a cable news television channel in the United States. It is known for its conservative political stance and for being a significant source of news and commentary for a conservative audience.', 'The primary actor in the headline is ""Fox News,"" which is a news media organization. It is known for its cable and satellite television news channel that often presents news, commentary, and political analysis from a conservative perspective.']"
5,4,448,4_gop_republican_republicans_parties,"['gop', 'republican', 'republicans', 'parties', 'political', 'democrat', 'politician', 'conservative', 'party', 'democratic']","['The primary actor in the headline is the GOP (Republican Party). The GOP is a major political party in the United States, known for its conservative positions on various issues, including education policy.', 'The primary actor in the headline is the GOP (Republican Party). The GOP is a major political party in the United States, known for its conservative positions on various issues, including education policy.', 'The primary actor in this headline is the GOP (Republican Party). The GOP is a major political party in the United States, known for its conservative positions on various issues, including education policy.']"
6,5,419,5_legislation_legislature_legislative_lawmakers,"['legislation', 'legislature', 'legislative', 'lawmakers', 'legislators', 'legislator', 'bill', 'lawmaker', 'law', 'laws']","['The primary actor in the headline is a ""Bill"" (legislative proposal). This type of actor refers to a proposed law that is being considered by a legislative body, in this case, aimed at widening a ban on Critical Race Theory in Florida. It is not a person but rather a piece of legislation.', 'The primary actor in the headline is a ""bill"" (legislation). This type of actor refers to a proposed law that is being considered by a legislative body, in this case, the Mississippi Senate. The bill is focused on banning critical race theory, indicating it is a piece of legislation related to education or public policy.', 'The primary actor in the headline is ""Georgia legislation."" This refers to a specific legislative action or bill within the state of Georgia aimed at banning concepts associated with critical race theory. Legislation, in this context, is an enacted law or a bill undergoing the process to become law, representing the collective decision-making of lawmakers or a legislative body rather than an individual person or group.']"
7,6,290,6_biden_president_secretary_gingrich,"['biden', 'president', 'secretary', 'gingrich', 'trump', 'donald', 'executive', 'acting', 'presidency', 'joe']","['The primary actor in the headline is Biden, referring to Joe Biden, the President of the United States. He is a political figure and the head of the executive branch of the U.S. federal government.', 'The primary actor in the headline is Biden, referring to Joe Biden, the President of the United States. He is a political figure and the head of the executive branch of the federal government in the United States.', 'The primary actor in the headline is ""Biden,"" referring to Joe Biden, the President of the United States. He is a political figure and the head of the executive branch of the federal government.']"
8,7,264,7_educators_teachers_bartlett_teacher,"['educators', 'teachers', 'bartlett', 'teacher', 'educator', 'teaching', 'roles', 'teach', 'profession', 'curriculum']","['The primary actor in the headline is ""teachers in Downers Grove."" These are individuals employed in educational roles, specifically within the Downers Grove area, who are involved in a situation regarding their stance on teaching Critical Race Theory. They are the main focus due to their decision or action related to a pledge on the subject.', 'The primary actor in the headline is ""teachers in Roselle."" These are individuals employed in educational roles, specifically within the Roselle area, who have made a decision not to sign a pledge related to teaching Critical Race Theory on the specified date.', 'The primary actor in the headline is ""teachers in Bartlett."" These are individuals employed or potentially employed to educate students in the Bartlett area, who have made a decision regarding their stance on teaching Critical Race Theory. Specifically, they are characterized by their collective action of not signing a pledge to teach Critical Race Theory on the specified date.']"
9,8,198,8_chairman_secretary_officer_commander,"['chairman', 'secretary', 'officer', 'commander', 'president', 'military', 'role', 'officers', 'advisor', 'staff']","['The primary actor in the headline is the ""Chairman of the Joint Chiefs."" This individual is a high-ranking military officer who serves as the principal military advisor to the President, the Secretary of Defense, and the National Security Council. The Chairman of the Joint Chiefs of Staff is the highest-ranking and senior-most military officer in the United States Armed Forces.', 'The primary actor in the headline is Gen. Mark Milley. He is a high-ranking military officer, specifically serving as the Chairman of the Joint Chiefs of Staff, which is the highest-ranking and senior-most military officer in the United States Armed Forces. He is responsible for advising the President, the Secretary of Defense, the National Security Council, and the Homeland Security Council on military matters.', 'The primary actor in the headline is the Joint Chiefs chairman. This individual is a high-ranking military officer who serves as the principal military advisor to the President of the United States, the Secretary of Defense, and the National Security Council. The role is typically filled by a senior military officer from one of the United States Armed Forces.']"
10,9,196,9_governor_desantis_politician_florida,"['governor', 'desantis', 'politician', 'florida', 'ron', 'desanti', 'republican', 'executive', 'acting', 'conservative']","['The primary actor in the headline is DeSantis, who is a political figure. Specifically, Ron DeSantis is the Governor of Florida, known for his conservative policies and actions.', 'The primary actor in the headline is Ron DeSantis. He is a political figure, specifically the Governor of Florida. DeSantis is known for his conservative stance on various issues, including education policies.', 'The primary actor in the headline is DeSantis, who is a political figure. Specifically, Ron DeSantis is the Governor of Florida, known for his conservative policies and actions.']"
11,10,183,10_florida_governor_governmental_government,"['florida', 'governor', 'governmental', 'government', 'officials', 'state', 'policies', 'lawmakers', 'legislative', 'policy']","['The primary actor in this headline is ""Florida,"" which refers to the state government of Florida or its legislative body responsible for making and implementing laws within the state. This actor is a governmental entity, specifically the state-level authority that has the power to regulate educational policies and curriculum standards within public schools in Florida.', 'The primary actor in the headline is ""Florida."" In this context, Florida refers to the state government or a specific governmental body within the state responsible for education policy decisions. This actor is responsible for banning the mentioned math textbooks from schools due to content related to critical race theory.', 'The primary actor in this headline is ""Florida,"" which refers to the state government of Florida. This actor is a governmental body responsible for making and enforcing laws within the state, including decisions about educational policies and curriculum standards.']"
12,11,168,11_educators_teachers_teacher_educating,"['educators', 'teachers', 'teacher', 'educating', 'teaching', 'professors', 'education', 'teach', 'educational', 'students']","['The primary actor in the headline is ""teachers."" These are individuals who are responsible for educating students, typically in a school setting. In this context, they are specifically mentioned in relation to their pledge to teach Critical Race Theory, indicating their role involves not just general education but engaging with and teaching specific content areas or subjects.', 'The primary actor in the headline is ""teachers."" These are individuals who are responsible for educating students, typically in a school setting. In this context, they are specifically mentioned in relation to their pledge to teach Critical Race Theory, indicating their role involves not just general education but engaging with and teaching specific content areas or subjects.', 'The primary actor in the headline is ""teachers."" These are individuals who are responsible for educating students, typically in a school setting. In this context, they are specifically mentioned in relation to their pledge to teach Critical Race Theory, indicating their role involves not just general education but engaging with and teaching specific content areas or subjects.']"
13,12,137,12_governor_governors_gubernatorial_executive,"['governor', 'governors', 'gubernatorial', 'executive', 'gov', 'elected', 'legislature', 'overseeing', 'governmental', 'legislative']","['The primary actor in the headline is the Mississippi Governor. This actor is a political figure, specifically the head of the state government in Mississippi, responsible for executing state laws and overseeing the operation of the state executive branch. As governor, this individual has the authority to sign legislation into law, as indicated in the headline.', 'The primary actor in the headline is the Oklahoma Governor. This actor is a political figure, specifically the head of the state government in Oklahoma, responsible for executing state laws and overseeing the operation of the state executive branch. As governor, this individual has the authority to sign legislation into law, which in this context involves a bill related to education policy.', 'The primary actor in the headline is the Oklahoma Governor. This actor is a political figure, specifically the head of the state government in Oklahoma, responsible for executing state laws and overseeing the operation of the state executive branch. As governor, this individual has the authority to sign legislation into law, which in this context involves a bill related to educational content within the state.']"
14,13,126,13_teachers_teacher_unions_union,"['teachers', 'teacher', 'unions', 'union', 'educators', 'teaching', 'professor', 'education', 'curriculum', 'representative']","['The primary actor in the headline is the ""Teacher union president."" This individual is likely a leader or representative of a teacher\'s union, an organization that represents the interests of teachers. Their role typically involves advocating for teachers\' rights, working conditions, and educational policies. In this context, the teacher union president is making a statement about the impact of anti-Critical Race Theory (CRT) advocacy on public schools.', 'The primary actor in the headline is the ""teachers union."" A teachers union is an organization that represents the interests of teachers. It typically works to negotiate contracts with school districts regarding pay, benefits, working conditions, and other employment terms. Teachers unions also often engage in educational advocacy, including taking positions on curriculum content and educational policies.', 'The primary actor in this headline is the ""teachers union chief."" This individual is likely a high-ranking official or leader within a teachers\' union, an organization that represents the interests of teachers. The role of a teachers union chief typically involves advocating for teachers\' rights, working conditions, and educational policies.']"
