,Topic,Count,Name,Representation,Representative_Docs
0,-1,3479,-1_pledge_educators_teachers_teacher,"['pledge', 'educators', 'teachers', 'teacher', 'teaching', 'bartlett', 'teach', 'debate', 'taught', 'racist']","['No new teachers in Glen Ellyn sign pledge on Nov . 9 to teach Critical Race Theory', 'No new teachers in Bartlett sign pledge on Oct . 4 to teach Critical Race Theory', 'No new teachers in Bartlett sign pledge on Oct . 2 to teach Critical Race Theory']"
1,0,2602,0_schools_teachers_students_teacher,"['schools', 'teachers', 'students', 'teacher', 'education', 'superintendent', 'teaching', 'parents', 'curriculum', 'parent']","['  I Got Over 1 , 000 Soldiers Ready To Go , Locked And Loaded : Black Militant Threatens Anti - CRT Parents At Texas School Board Meeting', 'State Board of Education opposes anti - CRT legislation', 'WATCH : Father takes his school board to SCHOOL over teaching CRT to his children']"
2,1,1634,1_racial_racism_racist_controversy,"['racial', 'racism', 'racist', 'controversy', 'debate', 'critics', 'history', 'diversity', 'black', 'white']","['Opinion : Critical Race Theory is what racist', '  Critical Race Theory  Is White History', 'America founders and the right to debate critical race theory | Opinion']"
3,2,1055,2_races_racism_classrooms_educators,"['races', 'racism', 'classrooms', 'educators', 'schools', 'debate', 'ethnic', 'education', 'controversy', 'classroom']","['How Critical Race Theory Is Taught in Public Schools', 'Critical race theory in the schools', 'School Board : Critical Race Theory not taught here']"
4,3,665,3_debate_legislation_bill_vetoes,"['debate', 'legislation', 'bill', 'vetoes', 'legislative', 'legislature', 'teaching', 'lawmakers', 'educators', 'banning']","['S . D . House committee passes bill banning teaching of critical race theory', 'Senate bill would ban teaching critical race theory', 'Bill to ban teaching of critical race theory']"
5,4,378,4_parents_parent_parental_racist,"['parents', 'parent', 'parental', 'racist', 'families', 'debate', 'education', 'opposing', 'protesting', 'mother']","['Parents Push Back On Critical Race Theory', 'Critical Race Theory : Parents Push Back', 'Parents against critical race theory']"
6,5,266,5_pledges_pledge_teachers_teacher,"['pledges', 'pledge', 'teachers', 'teacher', 'pledged', 'teach', 'pledging', 'taught', 'sign', 'grove']","['No new teachers in Downers Grove sign pledge on Oct . 4 to teach Critical Race Theory', 'No new teachers in Downers Grove sign pledge on Oct . 9 to teach Critical Race Theory', 'No new teachers in Downers Grove sign pledge on Oct . 2 to teach Critical Race Theory']"
7,6,224,6_cadets_marxism_marxist_undermines,"['cadets', 'marxism', 'marxist', 'undermines', 'defends', 'academies', 'criticizing', 'denouncing', 'threatens', 'military']","['Rep . Tom Cotton Introduces Legislation to Ban  Critical Race Theory  in US Military', 'Now Tom Cotton wants to ban  critical race theory  from U . S . military', 'Professor at Air Force Academy urges all military universities to teach critical race theory']"
8,7,219,7_textbooks_desantis_classrooms_textbook,"['textbooks', 'desantis', 'classrooms', 'textbook', 'curricula', 'curriculum', 'books', 'schools', 'education', 'desanti']","['DeSantis : Critical race theory is', 'Florida Rejects Math Textbooks Over Critical Race Theory', 'Ron DeSantis : Florida Schools Will Not Teach Critical Race Theory']"
9,8,201,8_gop_republicans_republican_democrats,"['gop', 'republicans', 'republican', 'democrats', 'opposing', 'political', 'conservatism', 'politicians', 'racist', 'election']","['GOP pushing back against critical race theory', 'GOP Reps Push Back on Biden Critical Race Theory', 'GOP lawmakers push back against critical race theory']"
