,Topic,Count,Name,Representation,Representative_Docs
0,-1,2977,-1_education_curriculum_governor_educational,"['education', 'curriculum', 'governor', 'educational', 'schools', 'overseeing', 'governmental', 'academic', 'administration', 'legislature']","['The primary actor in the headline is the ""Alabama Board of Education."" This entity is a governmental body responsible for overseeing and setting policies for public education in the state of Alabama. It has the authority to make decisions regarding curriculum standards, educational policies, and regulations affecting schools and educators within the state.', 'The primary actor in the headline is the ""Alabama State Board of Education."" This actor is a governmental body responsible for overseeing and setting policies for public education in the state of Alabama. It typically consists of elected or appointed members who make decisions on curriculum standards, educational policies, and other matters affecting schools and education within the state.', 'The primary actor in the headline is the ""Florida Board of Education."" The Florida Board of Education is a government body responsible for setting policy and overseeing the public education system in the state of Florida. This includes making decisions about curriculum standards, educational policies, and regulations affecting public schools.']"
1,0,590,0_educators_educator_racism_role,"['educators', 'educator', 'racism', 'role', 'political', 'teacher', 'education', 'teachers', 'academic', 'educational']","['The primary actor in the headline is an ""Indiana School Administrator."" This individual is likely someone who holds a managerial or supervisory position within a school or school district in Indiana, involved in the administration or governance of educational policies or practices. The context suggests they are engaged in addressing or discussing Critical Race Theory (CRT) and issues of racism, possibly taking a notable stance or action that has garnered attention.', 'The primary actor in the headline is ""CRT,"" which stands for Critical Race Theory. CRT is not a person or a traditional actor but rather a conceptual framework or academic theory that examines society and culture as they relate to categorizations of race, law, and power. In this context, CRT is being personified or treated as an entity capable of ""working"" in Texas, suggesting the headline is discussing the application or influence of Critical Race Theory in that state.', 'The primary actor in the headline is ""CRT"" (Critical Race Theory). CRT is not a person or a traditional actor but rather a conceptual framework that examines society and culture as they relate to categorizations of race, law, and power. It is often discussed in the context of education and social policy.']"
2,1,541,1_parents_parent_parental_education,"['parents', 'parent', 'parental', 'education', 'children', 'individuals', 'educational', 'mothers', 'involvement', 'father']","['The primary actor in the headline is ""Virginia parents."" These are individuals with children attending schools in Virginia who are actively opposing the inclusion or teaching of critical race theory within the educational curriculum.', 'The primary actor in the headline is ""parents."" These are individuals who have children attending schools and are voicing their concerns or opposition to the inclusion or teaching of Critical Race Theory in the educational curriculum, indicating they are actively engaging in discussions or debates about educational content.', 'The primary actor in the headline is ""Parents."" These are individuals who have children in the educational system and are actively expressing opposition or concern regarding the inclusion or teaching of Critical Race Theory in the curriculum or educational settings.']"
3,2,497,2_msnbc_fox_breitbart_journalism,"['msnbc', 'fox', 'breitbart', 'journalism', 'journalist', 'reporter', 'news', 'nbc', 'newspaper', 'cnn']","['The primary actor in the headline is Megyn Kelly, who is a television news host and political commentator. She is known for her work on various news platforms, including Fox News and NBC News.', 'The primary actor in the headline is ""Fox News."" Fox News is a cable news network in the United States known for its conservative-leaning news coverage and commentary.', 'The primary actor in the headline is ""Fox News."" Fox News is a cable news television channel in the United States. It is known for its conservative political stance and for being a significant source of news and commentary for a conservative audience.']"
4,3,438,3_legislation_legislature_legislative_legislators,"['legislation', 'legislature', 'legislative', 'legislators', 'lawmakers', 'legislator', 'bill', 'congress', 'lawmaker', 'law']","['The primary actor in the headline is a ""Texas Bill."" This bill is a legislative proposal or measure that aims to ban Critical Race Theory in the state of Texas. It is not a person but rather a piece of proposed legislation.', 'The primary actor in the headline is the ""critical race theory bill."" This bill is a piece of proposed legislation that is being considered by the Texas legislature. It is not a person or group of people, but rather a legislative document that is the subject of political and legislative action.', 'The primary actor in the headline is a ""Bill."" In this context, a bill is a proposed legislation under consideration by a legislative body, in this case, likely referring to a state or national legislative body such as the House of Representatives. The bill itself is the subject of debate within a House committee, aiming to prevent the teaching of critical race theory.']"
5,4,285,4_activists_advocates_political_protesters,"['activists', 'advocates', 'political', 'protesters', 'debate', 'protests', 'individuals', 'opposing', 'protesting', 'policymakers']","['The primary actor in the headline is ""Anti-critical race theory activists."" These activists are individuals or groups who oppose critical race theory, an academic framework that examines society and culture as they relate to categorizations of race, law, and power. Their new focus, as mentioned in the headline, is on promoting transparency in educational curriculums, likely aiming to influence or change the content that is taught in schools regarding race, history, and related subjects.', 'The primary actor in the headline is not explicitly named but is implied to be individuals or groups opposing or taking action against the inclusion or teaching of Critical Race Theory in American schools. This could encompass parents, activists, political figures, or organizations who are actively working to challenge or change policies related to Critical Race Theory in the educational system.', 'The primary actor in this headline is not explicitly mentioned as an individual or group but can be inferred to be those expressing ""fears over critical race theory in schools."" This actor can be broadly described as individuals or groups concerned or opposed to the teaching or integration of critical race theory in educational curriculums. These actors are likely parents, community members, or political groups who are actively voicing their concerns or opposition.']"
6,5,246,5_superintendent_governance_schools_overseeing,"['superintendent', 'governance', 'schools', 'overseeing', 'board', 'districts', 'governing', 'education', 'authority', 'boards']","['The primary actor in the headline is the ""school board."" The school board is a group of elected or appointed officials who oversee the operations of public schools within a specific district. Their responsibilities typically include setting educational policies, approving the school district\'s budget, and making decisions on curriculum standards. In this context, the school board is acting by making a statement regarding the curriculum, specifically about the teaching of critical race theory in Kansas schools.', 'The primary actor in the headline is the ""Board"" of the Placentia-Yorba Linda school district. This refers to the governing body or school board responsible for making policy decisions for the school district. Such boards typically consist of elected or appointed members who oversee the operations of public schools within a specific area, making decisions on curriculum, budget, school policies, and more.', 'The primary actor in the headline is the ""Texas school board."" This refers to a governing body responsible for making decisions and setting policies for a school district in Texas. School boards typically consist of elected or appointed members who oversee the administration of public schools within their jurisdiction, including curriculum standards, budget allocations, and educational policies.']"
7,6,215,6_teachers_educators_teacher_roles,"['teachers', 'educators', 'teacher', 'roles', 'teaching', 'grove', 'downers', 'teach', 'profession', 'curriculum']","['The primary actor in the headline is ""teachers in Downers Grove."" These are individuals employed in educational roles, specifically within the Downers Grove area, who are involved in a situation regarding a pledge related to teaching Critical Race Theory.', 'The primary actor in the headline is ""teachers in Downers Grove."" These are individuals employed in educational roles, specifically within the Downers Grove area, who are involved in a situation regarding their stance on teaching Critical Race Theory. They are the main focus due to their decision or action related to a pledge on the subject.', 'The primary actor in the headline is ""teachers in Downers Grove."" These are individuals employed in educational roles, specifically within the Downers Grove area, who are involved in the context of whether or not to teach Critical Race Theory as part of their curriculum. They are the main focus of the action described in the headline, which is the decision not to sign a pledge regarding the teaching of Critical Race Theory on a specific date.']"
8,7,195,7_governor_desantis_politician_florida,"['governor', 'desantis', 'politician', 'florida', 'ron', 'desanti', 'republican', 'executive', 'acting', 'scott']","['The primary actor in the headline is DeSantis, who is a political figure. Specifically, Ron DeSantis is the Governor of Florida, known for his conservative policies and actions.', 'The primary actor in the headline is DeSantis, who is a political figure. Specifically, Ron DeSantis is the Governor of Florida, known for his conservative policies and actions.', 'The primary actor in the headline is Ron DeSantis. He is a political figure, specifically the Governor of Florida. DeSantis is known for his conservative stance on various issues, including education policies.']"
9,8,163,8_educators_teachers_teacher_educating,"['educators', 'teachers', 'teacher', 'educating', 'teaching', 'professors', 'education', 'teach', 'educational', 'curriculum']","['The primary actor in the headline is ""teachers."" These are individuals who are responsible for educating students, typically in a school setting. In this context, they are specifically mentioned in relation to their pledge to teach Critical Race Theory, indicating their role involves not just general education but engaging with and teaching specific content areas or subjects.', 'The primary actor in the headline is ""teachers."" These are individuals who are responsible for educating students, typically in a school setting. In this context, they are specifically mentioned in relation to their pledge to teach Critical Race Theory, indicating their role involves not just general education but engaging with and teaching specific content areas or subjects.', 'The primary actor in the headline is ""teachers."" These are individuals who are professionally engaged in the education and instruction of students. In this context, they are specifically mentioned in relation to their pledge to teach Critical Race Theory, indicating they are educators potentially involved in social or political issues within their teaching curriculum.']"
