,Topic,Count,Name,Representation,Representative_Docs
0,0,1788,0_the_in_legislative_of,"['the', 'in', 'legislative', 'of', 'is', 'state', 'party', 'and', 'states', 'are']","['The primary actor in the headline is the GOP (Republican Party). The GOP is a major political party in the United States, known for its conservative positions on various issues, including education, economic policies, and social matters.', 'The primary actor in the headline is the GOP (Republican Party). The GOP is a major political party in the United States, known for its conservative and right-leaning policies.', 'The primary actor in the headline is the GOP (Republican Party). The GOP is a major political party in the United States, known for its conservative positions on various issues, including education, economic policies, and social values.']"
1,1,1386,1_or_race_is_theory,"['or', 'race', 'is', 'theory', 'critical', 'the', 'in', 'to', 'of', 'headline']","['The primary actor in the headline is ""critical race theory."" It is not a person or a group of people but rather a concept or an academic framework that examines society and culture as they relate to categorizations of race, law, and power.', 'The primary actor in the headline is ""critical race theory."" It is not a person or a group of people, but rather a concept or academic framework that examines society and culture as they relate to categorizations of race, law, and power.', 'The primary actor in the headline is ""critical race theory."" It is not a person or a group of people, but rather a concept or academic framework that examines society and culture as they relate to categorizations of race, law, and power.']"
2,2,1278,2_in_is_crt_the,"['in', 'is', 'crt', 'the', 'or', 'to', 'this', 'race', 'critical', 'theory']","['The primary actor in the headline is a teacher. This individual is described as actively speaking out against what they perceive as a ""woke CRT (Critical Race Theory) agenda"" during a school board meeting in Loudoun County. The teacher is taking a public stance on a controversial educational and political issue, indicating they are engaged in the educational or political discourse surrounding CRT.', 'The primary actor in the headline is a ""Teacher."" This individual is someone who was employed in an educational role, presumably within a school or district, and has decided to resign from their position due to issues or disagreements related to the teaching or implementation of critical race theory within the curriculum.', 'The primary actor in the headline is a ""High School Teacher."" This individual is an educator at the secondary education level, likely responsible for teaching students in grades 9 through 12. The teacher is engaging in a political act by encouraging students to participate in the legislative process, specifically by testifying against a bill that opposes Critical Race Theory (CRT). This suggests the teacher has strong opinions on the subject matter and is willing to involve students in civic activities related to educational content and policies.']"
3,3,804,3_school_district_board_schools,"['school', 'district', 'board', 'schools', 'policies', 'educational', 'the', 'decisions', 'for', 'responsible']","['The primary actor in the headline is the ""Mead School Board."" The Mead School Board is a governing body responsible for making decisions and setting policies for a school district. This entity typically consists of elected or appointed members who oversee the educational standards, budget, and administrative policies of the schools within their jurisdiction.', 'The primary actor in the headline is the ""North Carolina School Board."" This actor is a governing body responsible for making decisions and setting policies for public schools within a specific geographic area in the state of North Carolina. School boards typically consist of elected or appointed members who oversee the administration of the school district, including curriculum standards, budgeting, and educational policies.', 'The primary actor in the headline is the ""California school board."" This refers to a governing body responsible for making decisions and setting policies for a school district in California. School boards typically consist of elected officials who oversee the administration of public schools within their jurisdiction, including curriculum standards, budget allocations, and educational policies.']"
4,4,818,4_does_reference_not_specific,"['does', 'reference', 'not', 'specific', 'it', 'than', 'actor', 'an', 'rather', 'discusses']","['The headline does not explicitly reference a specific actor. It focuses on the subject of ""critical race theory"" rather than highlighting an individual or group as the primary actor.', 'The headline does not explicitly reference a specific actor. It discusses the subject of critical race theory rather than focusing on an individual or group as the primary actor.', 'The headline ""About critical race theory"" does not reference a specific actor.']"
5,5,654,5_parents_are_in_or,"['parents', 'are', 'in', 'or', 'the', 'is', 'critical', 'theory', 'children', 'race']","['The primary actor in the headline is ""Parents."" These are individuals who have children attending schools and are expressing concern about the inclusion or teaching of Critical Race Theory in the educational curriculum, as indicated by a poll.', 'The primary actor in the headline is ""parents."" These are individuals who have children attending schools and are voicing their concerns or opposition to the inclusion or teaching of Critical Race Theory in the educational curriculum, indicating they are actively engaging in discussions or debates about educational content.', 'The primary actor in the headline is ""Virginia parents."" These are individuals with children attending schools in Virginia who are actively opposing the inclusion or teaching of critical race theory within the educational curriculum.']"
6,6,766,6_and_news_known_is,"['and', 'news', 'known', 'is', 'for', 'television', 'political', 'his', 'the', 'on']","['The primary actor in the headline is ""Fox News."" Fox News is a cable news network in the United States known for its conservative-leaning news coverage and commentary.', 'The primary actor in this headline is ""Fox News."" Fox News is a cable and satellite television news channel in the United States, known for its conservative-leaning news coverage and commentary.', 'The primary actor in the headline is Tucker Carlson. He is a television host and conservative political commentator, known for his work on the Fox News Channel.']"
7,7,441,7_president_trump_biden_the,"['president', 'trump', 'biden', 'the', 'and', 'united', 'states', 'of', 'is', 'to']","['The primary actor in the headline is ""Biden,"" referring to Joe Biden, the President of the United States. He is a political figure and the head of the executive branch of the federal government.', 'The primary actor in the headline is Biden, referring to Joe Biden, the President of the United States. He is a political figure and the head of the executive branch of the U.S. federal government.', 'The primary actor in the headline is Biden, referring to Joe Biden, the President of the United States. He is a political figure and the head of the executive branch of the federal government in the United States.']"
8,8,438,8_does_not_explicitly_it,"['does', 'not', 'explicitly', 'it', 'reference', 'specific', 'actor', 'the', 'or', 'critical']","['The headline does not explicitly reference a specific actor. It focuses on the subject of learning critical race theory and its place in schools, rather than highlighting an individual or group as the primary actor.', 'The headline does not explicitly reference a primary actor. It focuses on the subject of critical race theory being taught in schools, rather than highlighting a specific individual, group, or entity as the actor in the situation.', 'The headline does not explicitly reference a specific actor. It discusses a topic (Critical Race Theory in schools) rather than focusing on an individual or group as the primary actor.']"
9,9,260,9_reference_does_specific_not,"['reference', 'does', 'specific', 'not', 'headline', 'actor', 'the', 'an', '800', 'tire']","['The headline does not reference a specific actor.', 'The headline does not reference a specific actor.', 'The headline does not reference a specific actor.']"
10,10,366,10_not_explicitly_does_it,"['not', 'explicitly', 'does', 'it', 'or', 'the', 'actor', 'reference', 'primary', 'specific']","['The headline does not explicitly reference a primary actor. It discusses ""critical race theory"" as a subject rather than focusing on an individual or group as the actor.', 'The headline does not explicitly reference a primary actor. It focuses on critical race theory as a subject rather than specifying an individual or group as the actor.', 'The headline does not explicitly reference a primary actor in terms of an individual or group initiating action. Instead, it focuses on ""Critical Race Theory"" as the subject, which is a concept or framework rather than an actor.']"
11,11,366,11_employed_teachers_are_teaching,"['employed', 'teachers', 'are', 'teaching', 'in', 'roles', 'these', 'individuals', 'pledge', 'area']","['The primary actor in the headline is ""teachers in Downers Grove."" These are individuals employed in educational roles, specifically within the Downers Grove area, who have made a decision regarding their stance on teaching Critical Race Theory.', 'The primary actor in the headline is ""teachers in Downers Grove."" These are individuals employed in educational roles, specifically within the Downers Grove area, who are involved in a situation regarding their stance on teaching Critical Race Theory.', 'The primary actor in the headline is ""teachers in Downers Grove."" These are individuals employed in educational roles, specifically within the Downers Grove area, who are involved in a situation regarding their stance on teaching Critical Race Theory.']"
12,12,310,12_florida_state_responsible_this,"['florida', 'state', 'responsible', 'this', 'government', 'the', 'governmental', 'body', 'education', 'for']","['The primary actor in the headline is ""Florida."" This refers to the state government or a specific governmental body within the state of Florida that is proposing a rule. The actor is a governmental entity responsible for making and enforcing laws or regulations within the state.', 'The primary actor in the headline is the ""Florida board of education."" This actor is a governmental body responsible for overseeing public education policy, standards, and regulations within the state of Florida.', 'The primary actor in the headline is ""Florida,"" which refers to the state government or a specific department within the state government responsible for education policy and textbook approval. This actor is a governmental body making decisions about educational materials.']"
13,13,250,13_crt_not_does_specific,"['crt', 'not', 'does', 'specific', 'reference', 'it', 'or', 'actor', 'the', 'an']","['The headline does not explicitly reference a specific actor. It discusses a topic (CRT - Critical Race Theory) and suggests a perspective on it, but does not mention a specific individual, group, or entity as the primary actor.', 'The headline does not reference a specific actor. It discusses ""CRT"" (Critical Race Theory) as a subject but does not specify an individual or group as the primary actor in the context provided.', 'The headline does not reference a specific actor. It discusses Critical Race Theory (CRT) as a subject rather than mentioning an individual or group as the primary actor.']"
