,Title,actor,actor_pred,headline stance,headline stance_pred
0,Ted Cruz Says Critical Race Theory Is  Every Bit As Racist As The Klansmen In White Sheets,political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
1,States Must Fight Racism by Banning Critical Race Theory,political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
2,Chris Krok Show : Is This the Beginning of the End for CRT ?,political influencers,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
3,Teacher slammed for TikTok rant about breaking law to teach critical race theory :  Teach your cats,educational practitioners,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
4,"The Federal Hammer , Parents and Critical Race Theory By John Kass",impacted actors,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
5,"Democrat - Led States Using COVID Relief Cash to Push CRT in Public Schools , Including  Equity Warriors",political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
6,Battle over critical race theory reaches San Diego school districts,political influencers,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
7,Virginia Rep . Bob Good : Critical Race Theory Violates Civil Rights,political influencers,The CLASS of the headline: <CLASS1>,anti-CRT,The CLASS of the headline: <CLASS1>
8,"Critical race theory , transparency hot topics at school board candidate forum",political influencers,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
9,Valley News - Critical race theory debate lingers,none / other,The CLASS of the headline: <CLASS2>,neutral,The CLASS of the headline: <CLASS1>
10,"Mr . Crim , Is This True ?: Black History Teacher Viral TikTok Series Bypasses CRT to Inform Millions on the Real History of America",educational practitioners,The CLASS of the headline: <CLASS3>,defending CRT,The CLASS of the headline: <CLASS2>
11,Today lesson is [ REDACTED ]. Is the GOP using critical race theory to ban discussion of race in schools ?,political influencers,The CLASS of the headline: <CLASS2>,defending CRT,The CLASS of the headline: <CLASS2>
12,"Ted Cruz Trashed For Grilling Ketanji Brown Jackson On CRT , 1619 Project",political influencers,The CLASS of the headline: <CLASS3>,defending CRT,The CLASS of the headline: <CLASS1>
13,Zinn Project Urges Teachers to Defy Laws Banning Critical Race Theory,educational practitioners,The CLASS of the headline: <CLASS3>,defending CRT,The CLASS of the headline: <CLASS1>
14,Teaching Critical Race Theory in schools raises controversy,educational practitioners,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
15,Youngkin Shuts Down Hotline Where Parents Could Report CRT,political influencers,The CLASS of the headline: <CLASS3>,neutral,The CLASS of the headline: <CLASS1>
16,Critical race theory : What you need to know in Michigan,none / other,The CLASS of the headline: <CLASS4>,neutral,The CLASS of the headline: <CLASS2>
