Title,actor,action,action direction,headline stance
Ted Cruz Says Critical Race Theory Is  Every Bit As Racist As The Klansmen In White Sheets,<POLITICAL INFLUENCER>,<PROTEST / SPEAKING OUT>,<ANTI-CRT>,<ANTI-CRT>
States Must Fight Racism by Banning Critical Race Theory,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
Chris Krok Show : Is This the Beginning of the End for CRT ?,<POLITICAL INFLUENCER>,<THREATS / EXTENT>,<ANTI-CRT>,<ANTI-CRT>
Teacher slammed for TikTok rant about breaking law to teach critical race theory :  Teach your cats,<EDUCATIONAL PRACTITIONER>,<POLICY / LEGAL / ELECTIONS>,<DEFENDING CRT>,<ANTI-CRT>
"The Federal Hammer , Parents and Critical Race Theory By John Kass",<IMPACTED ACTOR>,<NONE/OTHER>,<NEUTRAL>,<ANTI-CRT>
"Democrat - Led States Using COVID Relief Cash to Push CRT in Public Schools , Including  Equity Warriors",<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<DEFENDING CRT>,<ANTI-CRT>
Battle over critical race theory reaches San Diego school districts,<EDUCATIONAL PRACTITIONER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Virginia Rep . Bob Good : Critical Race Theory Violates Civil Rights,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<ANTI-CRT>
"Critical race theory , transparency hot topics at school board candidate forum",<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
Valley News - Critical race theory debate lingers,<NONE/OTHER>,<NONE/OTHER>,<NEUTRAL>,<NEUTRAL>
"Mr . Crim , Is This True ?: Black History Teacher Viral TikTok Series Bypasses CRT to Inform Millions on the Real History of America",<EDUCATIONAL PRACTITIONER>,<NONE/OTHER>,<DEFENDING CRT>,<DEFENDING CRT>
Today lesson is [ REDACTED ]. Is the GOP using critical race theory to ban discussion of race in schools ?,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<DEFENDING CRT>
"Ted Cruz Trashed For Grilling Ketanji Brown Jackson On CRT , 1619 Project",<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<DEFENDING CRT>
Zinn Project Urges Teachers to Defy Laws Banning Critical Race Theory,<EDUCATIONAL PRACTITIONER>,<POLICY / LEGAL / ELECTIONS>,<DEFENDING CRT>,<DEFENDING CRT>
Teaching Critical Race Theory in schools raises controversy,<EDUCATIONAL PRACTITIONER>,<THREATS / EXTENT>,<NEUTRAL>,<NEUTRAL>
Youngkin Shuts Down Hotline Where Parents Could Report CRT,<POLITICAL INFLUENCER>,<POLICY / LEGAL / ELECTIONS>,<ANTI-CRT>,<NEUTRAL>
Critical race theory : What you need to know in Michigan,<NONE/OTHER>,<NONE/OTHER>,<NEUTRAL>,<NEUTRAL>
Local schools anticipate no changes after Critical Race Theory ban,<EDUCATIONAL PRACTITIONER>,<POLICY / LEGAL / ELECTIONS>,<NEUTRAL>,<NEUTRAL>
