title,actor_blurb
Ted Cruz Says Critical Race Theory Is  Every Bit As Racist As The Klansmen In White Sheets,"The primary actor in the headline is Ted Cruz, a United States Senator from Texas. He is a member of the Republican Party and has been serving as a senator since 2013. Cruz is known for his conservative views on various political issues, including education, race, and civil rights. He has been a vocal critic of critical race theory, as indicated by the statement attributed to him in the headline."
States Must Fight Racism by Banning Critical Race Theory,"The primary actor in the headline ""States Must Fight Racism by Banning Critical Race Theory"" is implied to be the states or state governments. The headline suggests that it is the responsibility of the states to take action against racism, in this case by banning Critical Race Theory. The actor is not a specific person or organization but rather the collective entities that make up the individual states within a country, typically referring to their legislative and executive branches that have the power to enact laws and regulations."
Chris Krok Show : Is This the Beginning of the End for CRT ?,"The primary actor in the headline ""Chris Krok Show: Is This the Beginning of the End for CRT?"" is Chris Krok, who is presumably a radio show host or media personality. The headline suggests that Chris Krok is discussing or commenting on the topic of Critical Race Theory (CRT), possibly questioning its future or relevance. The actor is not a performer in the traditional sense of an actor in film, theater, or television, but rather a figure in the media or broadcasting industry."
Teacher slammed for TikTok rant about breaking law to teach critical race theory :  Teach your cats,"The primary actor in the headline is a teacher. This individual is described as having made a rant on TikTok about breaking the law to teach critical race theory. The teacher is being criticized or ""slammed"" for their actions and statements as conveyed by the headline."
"The Federal Hammer , Parents and Critical Race Theory By John Kass","The headline does not explicitly reference a specific primary actor in the form of an individual or a specific entity. However, it does mention ""Parents"" as a group involved in the context of ""Critical Race Theory."" If we consider groups as actors, then ""Parents"" could be seen as a collective primary actor in the discussion or debate surrounding Critical Race Theory as presented in the headline. The term ""The Federal Hammer"" suggests a governmental or authoritative force, but it is not clear enough to be described as a primary actor without additional context."
"Democrat - Led States Using COVID Relief Cash to Push CRT in Public Schools , Including  Equity Warriors","The primary actor in the headline is ""Democrat-led states."" These are states in the United States where the Democratic Party holds significant political power, likely controlling the governorship, state legislature, or both. The headline suggests that these states are using funds intended for COVID-19 relief to promote Critical Race Theory (CRT) in public schools, possibly by hiring or training individuals referred to as ""equity warriors,"" who are presumably advocates for equity and social justice within the educational system."
Battle over critical race theory reaches San Diego school districts,"The headline does not explicitly reference a specific primary actor. Instead, it suggests that there are multiple actors involved in a ""battle"" over critical race theory within San Diego school districts. These actors could include parents, educators, school board members, activists, and policymakers, among others. The headline implies a conflict or debate but does not single out any one individual or group as the primary actor."
Virginia Rep . Bob Good : Critical Race Theory Violates Civil Rights,"The primary actor in the headline is Virginia Representative Bob Good. He is a political actor, specifically a member of the United States House of Representatives, representing a district in the state of Virginia. As a congressman, his role involves legislating, representing his constituents, and participating in the political discourse on various issues, such as education and civil rights, as suggested by his stance on Critical Race Theory in the headline."
"Critical race theory , transparency hot topics at school board candidate forum","The headline does not explicitly reference a primary actor. It mentions ""school board candidate forum"" which implies that the primary actors are likely the school board candidates participating in the forum. These candidates would be individuals running for positions on a school board, who are discussing or debating issues such as critical race theory and transparency during their campaign event."
Valley News - Critical race theory debate lingers,"The headline ""Critical race theory debate lingers"" does not reference a specific primary actor. Instead, it refers to an ongoing debate or issue, which is the subject of the headline. The actors involved in this context would be the individuals or groups participating in the debate over critical race theory, but they are not explicitly mentioned in the headline provided."
"Mr . Crim , Is This True ?: Black History Teacher Viral TikTok Series Bypasses CRT to Inform Millions on the Real History of America","The primary actor in the headline is a Black history teacher who has become viral on TikTok for a series that aims to educate people on the real history of America, bypassing the controversies surrounding Critical Race Theory (CRT). This individual is likely known for creating engaging and informative content that has reached millions of viewers, suggesting they have a significant online presence and influence in the realm of education and social media."
Today lesson is [ REDACTED ]. Is the GOP using critical race theory to ban discussion of race in schools ?,"The primary actor in the headline is the GOP (Grand Old Party), which is a common nickname for the Republican Party in the United States. The headline suggests that the GOP may be using critical race theory as a means to ban discussion of race in schools, implying that they are the ones taking action or initiating policy in this context. The GOP as an actor in this headline would be a collective entity, representing the party as a whole or its members who are involved in the legislative or political process regarding education and race discussions."
