,Title,actor,actor_pred,headline stance,headline stance_pred
0,Ted Cruz Says Critical Race Theory Is  Every Bit As Racist As The Klansmen In White Sheets,political influencers,The actor of the headline: <POLITICAL INFLUENCER>,anti-CRT,The headline's stance: <ANTI-CRT>
1,States Must Fight Racism by Banning Critical Race Theory,political influencers,"The main actor in the headline ""States Must Fight Racism by Banning Critical Race Theory"" is <POLITICAL INFLUENCER>.",anti-CRT,<ANTI-CRT>
2,Chris Krok Show : Is This the Beginning of the End for CRT ?,political influencers,The main actor in the headline: <POLITICAL INFLUENCER>,neutral,The stance of the headline: <ANTI-CRT>
3,Teacher slammed for TikTok rant about breaking law to teach critical race theory :  Teach your cats,educational practitioners,The main actor in this headline is <EDUCATIONAL PRACTITIONER>.,anti-CRT,<ANTI-CRT>
4,"The Federal Hammer , Parents and Critical Race Theory By John Kass",impacted actors,The main actor in the headline: <POLITICAL INFLUENCER>,neutral,The headline's stance: <ANTI-CRT>
5,"Democrat - Led States Using COVID Relief Cash to Push CRT in Public Schools , Including  Equity Warriors",political influencers,The main actor in this headline: <POLITICAL INFLUENCER>,anti-CRT,The headline's stance: <ANTI-CRT>
6,Battle over critical race theory reaches San Diego school districts,political influencers,"The main actor in the headline: ""Battle over critical race theory reaches San Diego school districts"" is <EDUCATIONAL PRACTITIONER>.",neutral,<NEUTRAL>
7,Virginia Rep . Bob Good : Critical Race Theory Violates Civil Rights,political influencers,"The main actor in the headline ""Virginia Rep. Bob Good: Critical Race Theory Violates Civil Rights"" is <POLITICAL INFLUENCER>.",anti-CRT,The headline's stance: <ANTI-CRT>
8,"Critical race theory , transparency hot topics at school board candidate forum",political influencers,The main actor in this headline: <POLITICAL INFLUENCER>,neutral,The headline's stance: <NEUTRAL>
9,Valley News - Critical race theory debate lingers,none / other,"The main actor in the headline ""Valley News - Critical race theory debate lingers"" is <NONE/OTHER>.",neutral,The headline's stance: <NEUTRAL>
10,"Mr . Crim , Is This True ?: Black History Teacher Viral TikTok Series Bypasses CRT to Inform Millions on the Real History of America",educational practitioners,The main actor in the headline: <EDUCATIONAL PRACTITIONER>,defending CRT,<DEFENDING CRT>
11,Today lesson is [ REDACTED ]. Is the GOP using critical race theory to ban discussion of race in schools ?,political influencers,The main actor in this headline is: <POLITICAL INFLUENCER>,defending CRT,The stance of the headline: <DEFENDING CRT>
12,"Ted Cruz Trashed For Grilling Ketanji Brown Jackson On CRT , 1619 Project",political influencers,The main actor in this headline is <POLITICAL INFLUENCER>.,defending CRT,<DEFENDING CRT>
13,Zinn Project Urges Teachers to Defy Laws Banning Critical Race Theory,educational practitioners,"The main actor in the headline: ""Zinn Project Urges Teachers to Defy Laws Banning Critical Race Theory"" is <EDUCATIONAL PRACTITIONER>.",defending CRT,The headline's stance: <DEFENDING CRT>
14,Teaching Critical Race Theory in schools raises controversy,educational practitioners,"The main actor in the headline ""Teaching Critical Race Theory in schools raises controversy"" is <EDUCATIONAL PRACTITIONER>.",neutral,The headline's stance: <NEUTRAL>
15,Youngkin Shuts Down Hotline Where Parents Could Report CRT,political influencers,"The main actor in the headline: ""Youngkin Shuts Down Hotline Where Parents Could Report CRT"" is <POLITICAL INFLUENCER>.",neutral,The headline's stance: <DEFENDING CRT>
16,Critical race theory : What you need to know in Michigan,none / other,The main actor in the headline: <NONE/OTHER>,neutral,The headline's stance: <NEUTRAL>
17,Local schools anticipate no changes after Critical Race Theory ban,educational practitioners,The main actor in the headline: <EDUCATIONAL PRACTITIONER>,defending CRT,The headline's stance: <NEUTRAL>
18,Continental school prohibits Critical Race Theory concepts in classrooms,educational practitioners,"The main actor in the headline: ""Continental school prohibits Critical Race Theory concepts in classrooms"" is <EDUCATIONAL PRACTITIONER>.",neutral,The headline's stance: <NEUTRAL>
19,Biden signs Emmett Till Antilynching Act as CRT bans restrict talk of race,political influencers,The main actor in this headline: <POLITICAL INFLUENCER>,defending CRT,<DEFENDING CRT>
20,"Critical Race Theory Aims to Turn Students Into  Red Guards , Chinese American Warns By Terri Wu",impacted actors,The main actor in this headline is: <IMPACTED ACTOR>,anti-CRT,<ANTI-CRT>
21,GOP state lawmakers introduce 12 new bills to ban critical race theory,political influencers,"The main actor in the headline: ""GOP state lawmakers introduce 12 new bills to ban critical race theory"" is <POLITICAL INFLUENCER>.",neutral,The headline's stance: <ANTI-CRT>
22,Critical Race Theory : Hoosier leaders share diverse views,political influencers,"The main actor in the headline: ""Critical Race Theory: Hoosier leaders share diverse views"" is <POLITICAL INFLUENCER>.",neutral,The headline's stance: <NEUTRAL>
23,Where Are Black Parent Voices on Critical Race Theory ?,impacted actors,The main actor in this headline: <IMPACTED ACTOR>,neutral,The headline's stance: <NEUTRAL>
24,New education policy bill takes aim at  critical race theory,political influencers,"The main actor in the headline: ""New education policy bill takes aim at critical race theory"" is <POLITICAL INFLUENCER>.",neutral,The headline's stance: <ANTI-CRT>
25,Ilhan Omar claims Critical Race Theory not being taught in school :  Republicans love to create outrage,political influencers,The main actor in the headline: <POLITICAL INFLUENCER>,defending CRT,<DEFENDING CRT>
26,"College Orientations Indoctrinate Students in Critical Race Theory , Says Free Speech Group",impacted actors,The main actor in this headline: <EDUCATIONAL PRACTITIONER>,anti-CRT,The headline's stance: <ANTI-CRT>
27,Indiana AG Todd Rokita leads multi - state effort to oppose critical race theory in schools,political influencers,The main actor in the headline: <POLITICAL INFLUENCER>,neutral,The headline's stance: <ANTI-CRT>
28,Critical race theory tip line from Va . governor sparks school concerns,political influencers,"The main actor in the headline: ""Critical race theory tip line from Va. governor sparks school concerns"" is <POLITICAL INFLUENCER>.",neutral,The headline's stance: <NEUTRAL>
29,Critical race theory  bill gets first vote from Kentucky lawmakers,political influencers,"The main actor in the headline: ""Critical race theory bill gets first vote from Kentucky lawmakers"" is <POLITICAL INFLUENCER>.",neutral,<NEUTRAL>
30,Inside Southlake : Superintendent at the Center of a Critical Race Theory Battle Looks Forward,educational practitioners,"The main actor in the headline ""Inside Southlake: Superintendent at the Center of a Critical Race Theory Battle Looks Forward"" is <EDUCATIONAL PRACTITIONER>.",neutral,The headline's stance: <NEUTRAL>
31,Reuters Gaslights Readers About Critical Race Theory,political influencers,"The main actor in the headline: ""Reuters Gaslights Readers About Critical Race Theory"" is <NONE/OTHER>.",anti-CRT,<ANTI-CRT>
32,Georgia Gov . Urges Educators Not to Teach Critical Race Theory  Dangerous Ideology,political influencers,"The main actor in the headline ""Georgia Gov. Urges Educators Not to Teach Critical Race Theory Dangerous Ideology"" is <POLITICAL INFLUENCER>.",anti-CRT,The headline's stance: <ANTI-CRT>
