title,url,seendate,domain,total_repeats,NM_count,MO_count,ID_count,ND_count,SC_count,OH_count,ALL_RELEV_count,PA_count,AL_count,FL_count,IA_count,OR_count,NH_count,VA_count,AZ_count,KY_count,CT_count,USA_count,MI_count,KS_count,VT_count,RI_count,CA_count,ME_count,OK_count,IN_count,MS_count,NV_count,MT_count,TN_count,TX_count,GA_count,UT_count,HI_count,NE_count,MN_count,WI_count,CO_count,IL_count,WV_count,LA_count,AK_count,DE_count,NY_count,MD_count,WY_count,NC_count,SD_count,MA_count,NJ_count
"CNN Soledad OBrien , Liberal Guest Team Up to Attack Breitbart Editor Over  Critical Race Theory  ",https://newsbusters.org/blogs/nb/matt-hadro/2012/03/08/cnns-soledad-obrien-liberal-guest-team-attack-breitbart-editor-over,20200803T083000Z,newsbusters.org,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Critical Race Tale Told by Leftist Idiots Signifying Nothing,https://canadafreepress.com/article/a-critical-race-tale-told-by-leftist-idiots-signifying-nothing,20200805T150000Z,canadafreepress.com,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amazing Benefits of Becoming Salesforce Developer via CRT - 450 Exam , Best Training Courses and Dumps – First Comics News",https://www.firstcomicsnews.com/amazing-benefits-of-becoming-salesforce-developer-via-crt-450-exam-best-training-courses-and-dumps/,20200806T173000Z,firstcomicsnews.com,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The race is on ; Candidates address critical issues,https://www.natchitochestimes.com/2020/08/13/the-race-is-on-candidates-address-critical-issues/,20200813T064500Z,natchitochestimes.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Journalist declares  one - man war against critical race theory  after nuke lab holds  white privlege  training,https://www.foxnews.com/us/chris-rufo-one-man-war-race-theory,20200814T044500Z,foxnews.com,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reminder : Critical race theory isnt scriptural,https://onenewsnow.com/church/2020/08/18/reminder-critical-race-theory-isnt-scriptural,20200818T073000Z,onenewsnow.com,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B . C . Court Of Appeal Weighs In On Legal Representation In CRT Proceedings - Litigation , Mediation & Arbitration",https://www.mondaq.com/canada/trials-appeals-compensation/978120/bc-court-of-appeal-weighs-in-on-legal-representation-in-crt-proceedings,20200821T081500Z,mondaq.com,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Third upsized Freddie Mac deal confirms CRT demand is back on track,https://www.nationalmortgagenews.com/news/third-upsized-freddie-mac-deal-confirms-crt-demand-is-back-on-track,20200821T200000Z,nationalmortgagenews.com,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microsoft Flight Simulator looks incredible , even on three CRT monitors",https://www.windowscentral.com/microsoft-flight-simulator-looks-incredible-even-three-crt-monitors,20200824T161500Z,windowscentral.com,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT Real Estate Investment Trust ( TSE : CRT . UN ) Financials Are Too Obscure To Link With Current Share Price Momentum : What In Store For the Stock ? ,https://news.yahoo.com/ct-real-estate-investment-trusts-113851147.html,20200825T121500Z,news.yahoo.com,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Continued Violence In Kenosha May Tighten 2020 Race In Critical State Of Wisconsin,https://thefederalist.com/2020/08/25/continued-violence-in-kenosha-may-tighten-2020-race-in-critical-state-of-wisconsin/,20200825T210000Z,thefederalist.com,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandia Labs Goes Nuclear On Employee Who Sparked Internal Revolt Over Critical Race Theory,https://www.zerohedge.com/political/sandia-labs-goes-nuclear-employee-who-sparked-internal-revolt-over-critical-race-theory,20200829T024500Z,zerohedge.com,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rebellion Against Critical Race Theory in the Federal Government,https://www.amren.com/news/2020/08/rebellion-against-critical-race-theory-in-the-federal-government/,20200831T190000Z,amren.com,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UF cancels , then reinstates ,  critical race theory  class amid student outrage , gives prof promotion",https://www.campusreform.org/?ID=15563,20200901T053000Z,campusreform.org,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRT for Esophageal Cancer Tied to Vertebrae Fractures,https://www.medpagetoday.com/hematologyoncology/othercancers/88388,20200901T153000Z,medpagetoday.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Rufo calls on Trump to end critical race theory  cult indoctrination  in federal government,https://www.foxnews.com/politics/chris-rufo-race-theory-cult-federal-government,20200902T023000Z,foxnews.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christopher Rufo on the  Critical Race Theory  Takeover of the U . S . ,https://www.lewrockwell.com/lrc-blog/christopher-rufo-on-the-critical-race-theory-takeover-of-the-u-s/,20200902T101500Z,lewrockwell.com,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
