headline,cluster_label
"CNN Soledad OBrien , Liberal Guest Team Up to Attack Breitbart Editor Over  Critical Race Theory  ",66
A Critical Race Tale Told by Leftist Idiots Signifying Nothing,19
"Amazing Benefits of Becoming Salesforce Developer via CRT - 450 Exam , Best Training Courses and Dumps – First Comics News",9
The race is on ; Candidates address critical issues,22
Journalist declares  one - man war against critical race theory  after nuke lab holds  white privlege  training,70
Reminder : Critical race theory isnt scriptural,39
"B . C . Court Of Appeal Weighs In On Legal Representation In CRT Proceedings - Litigation , Mediation & Arbitration",28
Third upsized Freddie Mac deal confirms CRT demand is back on track,21
"Microsoft Flight Simulator looks incredible , even on three CRT monitors",17
CT Real Estate Investment Trust ( TSE : CRT . UN ) Financials Are Too Obscure To Link With Current Share Price Momentum : What In Store For the Stock ? ,82
Continued Violence In Kenosha May Tighten 2020 Race In Critical State Of Wisconsin,25
Sandia Labs Goes Nuclear On Employee Who Sparked Internal Revolt Over Critical Race Theory,68
Rebellion Against Critical Race Theory in the Federal Government,0
"UF cancels , then reinstates ,  critical race theory  class amid student outrage , gives prof promotion",16
CRT for Esophageal Cancer Tied to Vertebrae Fractures,58
Chris Rufo calls on Trump to end critical race theory  cult indoctrination  in federal government,13
Christopher Rufo on the  Critical Race Theory  Takeover of the U . S . ,13
Trump called to purge critical race theory training from federal agencies after disturbing probe,30
Critical Race Theory and the war on standards,0
The Remnant Newspaper - Critical Race Theory and Cooties,93
Trump to Feds : Stop  Anti - American  Training on  Critical Race Theory  ,56
"White House memo calls for ban on federal agencies conducting training on  critical race theory ,  white privilege  with taxpayer dollars",54
White House orders end of  critical race theory  training for government agencies,56
White House Halts  Critical Race Theory Training for Government Workers,56
Trump Bans Federal Money From Funding Far - Left Anti - American  Critical Race Theory  ,54
Trump Orders Purge of  Critical Race Theory  from Federal Agencies,56
"President bans critical race theory training from federal agencies , it will be war",42
"Social Media Buzz : Critical Race Theory , Kentucky Derby , Mulan",93
Trump Bans Taxpayer Money from Funding Anti - American  Critical Race Theory  ,54
"Trump Admin Bans  Critical Race Theory ,  White Privilege  Brainwashing Sessions For Govt Agencies",44
"Trump ends  un - American  white privilege propaganda training , critical race theory at federal agencies",16
Party Over : Trump Orders Purge of  Critical Race Theory  from Federal Agencies,56
"Brilliant black professor on Critical Race Theory --  revenge society ,  racism under new management  ",18
Trump just ordered a PURGE of liberal  critical race theory  from the entire federal government,56
Trump admin ending critical race theory training at federal agencies :  Anti - American propaganda  -- Puppet Masters -- Sott . net,93
President Trump orders federal agencies to stop spending money on training employees on critical race theory and white privilege,54
Trump Admin Bans Critical Race Theory Trainings At Federal Agencies,42
Trump Tells Feds : Stop  Anti - American  Training On  Critical Race Theory  ,56
"Trump tells agencies to end trainings on  white privilege ,  race theory  ",16
KUOW - Trump Tells Agencies To End Trainings On  White Privilege  And  Critical Race Theory  ,16
Trump tells federal agencies to end training on  white privilege  and  critical race theory  ,16
Trump Admin Bans Critical Race Theory Training,44
Trump White House memo says  no place  for  critical race theory  in US government while moving to end diversity trainings,16
BOOM : Trump Bans Critical Race Theory Training in Federal Agencies,96
President Trump Directs Federal Agencies To Stop All  Critical Race Theory  Brainwashing Classes,42
Sandia Labs employee rails against critical race theory in lab - wide email,18
Listening & Black Lives Matter : Jean - Louis Chretien on Critical Race Theory & Political Discourse,68
Trump Orders Purge of  Critical Race Theory  From Federal Agencies : What It Is & Why Trump Order Matters,39
Banning Critical Race Theory And White Privilege Isnt The Answer . But Viewpoint Diversity Can Be . ,44
"Pollak : Eight Years Later , Andrew Breitbart Vindicated on Critical Race Theory",0
Is Critical Race Training Illegal ? [ with comment by Paul ] ,4
Trump daring Dems to defend  critical race theory  and 1619 project as he moves to suspend indoctrination in schools and govt . agencies,61
Thomas Gallatin : Critical Race Theory Training Banned The Patriot Post,57
Trump Bold Ban on Critical Race Theory Training,44
Gutfeld on Trump getting rid of critical race theory,39
Is Critical Race Training Illegal ? ( Part 2 ) ,4
I Know What Youre Thinking : How is it that Government Agencies Come to Have Instruction on  Critical Race Theory ? ,7
Trump Tells Agencies To End Trainings On  White Privilege  And  Critical Race Theory  ,16
Trump Is Unloading Both Barrels on Critical Race Theory,56
Trump Is Right To Remove Critical Race Theory From Diversity Programs,16
"Tucker Carlson blasts critical race theory advocates , asks  Why havent they resigned ? ",39
Professors nationwide push critical race theory narrative through massive # ScholarStrike  ,96
Trump seeks to end  critical race theory  brainwashing in federal agencies – NaturalNews . com,56
"Trump ends  critical race theory  training for federal employees , calls it a  sickness  ",16
Critical race theory is the most dangerous ideology in America today,0
Tucker Carlson : Critical race theory is a lie from start to finish – Investment Watch,0
"FNC Carlson :  Critical Race Theory Is a Lie , from the First Word to the Last , from Start to Finish -- It Is Vicious , It Is Cruel  ",0
Federal Government Bans Critical Race Theory Training,42
Trump wants  white privilege  and  critical race theory  purged from federal employee training materials,16
  Fat femme queer binary  says all whites are  racist devils  during critical race theory instruction,19
Dulis : Critical Race Theory Endgame Is a  Thought Police Amendment  ,0
The DOE Must Push Critical Race Theory Out of Schools,7
Has Joe Biden Done Critical Race Theory Diversity Training ? ,66
Trump halts critical race theory training at federal agencies ; Christians respond,76
Christopher Rufo Vs . The Critical Race Theory Goliath - American Renaissance,13
Josh Hawley calls on Congress to investigate  critical race theory  training scandal after Trump executive order,61
The White House Is Right To Ditch Critical Race Theory,56
Ethnocidal  Critical Race Theory  Is Upon Us Like White On Rice,19
Ask Dr . Land : Do  white privilege  and  critical race theory  policies reduce racism ? ,16
Critical race theory used as political wedge,0
Dulis : Critical race theory endgame is a  thought police amendment  to the Constitution – NaturalNews . com,0
Trump White House says critical race theory is anti - American . Here the truth . ,39
Ethnocidal  Critical Race Theory  Is Upon Us Like White On Rice By Ilana Mercer,19
Will Virginia Teach Critical Race Theory to Kindergartners ? ,7
CDC Moving Ahead with Critical Race Theory Trainings Despite Trump Order,96
Report CDC to violate President EO to end critical race theory training,42
"CDC defies Trump , proceeds with critical race theory training despite executive order",16
