Title,actor,action,action direction,headline stance
Ted Cruz Says Critical Race Theory Is  Every Bit As Racist As The Klansmen In White Sheets,political influencers,threats/extent,anti-CRT,anti-CRT
States Must Fight Racism by Banning Critical Race Theory,political influencers,policy & legal,anti-CRT,anti-CRT
Chris Krok Show : Is This the Beginning of the End for CRT ?,political influencers,threats/extent,neutral,neutral
Teacher slammed for TikTok rant about breaking law to teach critical race theory :  Teach your cats,educational practitioners,protest / speaking out,anti-CRT,anti-CRT
"The Federal Hammer , Parents and Critical Race Theory By John Kass",impacted actors,none/other,neutral,neutral
"Democrat - Led States Using COVID Relief Cash to Push CRT in Public Schools , Including  Equity Warriors",political influencers,threats/extent,defending CRT,anti-CRT
Battle over critical race theory reaches San Diego school districts,political influencers,threats/extent,neutral,neutral
Virginia Rep . Bob Good : Critical Race Theory Violates Civil Rights,political influencers,threats/extent,anti-CRT,anti-CRT
"Critical race theory , transparency hot topics at school board candidate forum",political influencers,elections,neutral,neutral
Valley News - Critical race theory debate lingers,none / other,none/other,neutral,neutral
"Mr . Crim , Is This True ?: Black History Teacher Viral TikTok Series Bypasses CRT to Inform Millions on the Real History of America",educational practitioners,protest / speaking out,anti-CRT,anti-CRT
Today lesson is [ REDACTED ]. Is the GOP using critical race theory to ban discussion of race in schools ?,political influencers,policy & legal,anti-CRT,defending CRT
"Ted Cruz Trashed For Grilling Ketanji Brown Jackson On CRT , 1619 Project",political influencers,none/other,anti-CRT,defending CRT
Zinn Project Urges Teachers to Defy Laws Banning Critical Race Theory,educational practitioners,protest / speaking out,defending CRT,defending CRT
Teaching Critical Race Theory in schools raises controversy,educational practitioners,threats/extent,neutral,neutral
Youngkin Shuts Down Hotline Where Parents Could Report CRT,political influencers,policy & legal,defending CRT,neutral
Critical race theory : What you need to know in Michigan,none / other,none/other,neutral,neutral
Local schools anticipate no changes after Critical Race Theory ban,educational practitioners,threats/extent,anti-CRT,defending CRT
Continental school prohibits Critical Race Theory concepts in classrooms,educational practitioners,policy & legal,anti-CRT,neutral
Biden signs Emmett Till Antilynching Act as CRT bans restrict talk of race,political influencers,policy & legal,defending CRT,defending CRT
"Critical Race Theory Aims to Turn Students Into  Red Guards , Chinese American Warns By Terri Wu",impacted actors,threats/extent,anti-CRT,anti-CRT
GOP state lawmakers introduce 12 new bills to ban critical race theory,political influencers,policy & legal,anti-CRT,neutral
Critical Race Theory : Hoosier leaders share diverse views,political influencers,none/other,neutral,neutral
Where Are Black Parent Voices on Critical Race Theory ?,impacted actors,protest / speaking out,neutral,neutral
New education policy bill takes aim at  critical race theory,political influencers,policy & legal,anti-CRT,neutral
