Title,actor,action,action direction,headline stance,
The Battle Against Critical Race Theory,none / other,protest / speaking out,anti-CRT,neutral,
Youd better believe theyre teaching CRT in schools,educational practitioners,threats/extent,neutral,anti-CRT,
Opinion | Let Talk About Critical Race Theory Bans in Schools,none / other,policy & legal,anti-CRT,neutral,
Senate passes CRT Bill,political influencers,policy & legal,anti-CRT,neutral,
Tennessee bans teaching of critical race theory in schools,political influencers,policy & legal,anti-CRT,neutral,
Number of teachers pledging to teach Critical Race Theory in Surprise stagnates at two,educational practitioners,protest / speaking out,defending CRT,neutral,
Nebraska governor backs university anti - CRT resolution amid backlash,political influencers,policy & legal,anti-CRT,neutral,
The Push Against Teaching Critical Race Theory in Schools is Growing,none / other,protest / speaking out,anti-CRT,neutral,
Critical Race Theory Mississippi,none / other,none/other,neutral,neutral,
Scholar : The fight against CRT is one of national survival,political influencers,protest / speaking out,anti-CRT,anti-CRT,
No new teachers in Downers Grove sign pledge on Sept . 19 to teach Critical Race Theory,educational practitioners,protest / speaking out,anti-CRT,neutral,
Critical race theory in the schools,none / other,none/other,neutral,neutral,
Concerns About Critical Race Theory At The School Board Meeting,political influencers,protest / speaking out,anti-CRT,neutral,
Critical Race Theory Investigator Christopher Rufo :  This Is How the Media Lies,political influencers,protest / speaking out,anti-CRT,anti-CRT,
General Milley is clueless on critical race theory,political influencers,threats/extent,anti-CRT,anti-CRT,
Teachers Unions Push CRT in Schools,educational practitioners,threats/extent,defending CRT,neutral,
Department of Education wisely retreats from critical race theory,educational practitioners,none/other,anti-CRT,anti-CRT,
What to look for in a CRT monitor : The ultimate guide for retro gamers,none / other,none/other,neutral,neutral,not relevant
Letter : A response to letter about Critical Race Theory,impacted actors,protest / speaking out,neutral,neutral,
LETTERS TO THE EDITOR : Lies about Critical Race Theory,impacted actors,protest / speaking out,neutral,neutral,
Here What You Need To Know About A Texas Bill That Aims To Ban Critical Race Theory,none / other,policy & legal,anti-CRT,neutral,
Freddie Mac CRT Program Reports 2021 Issuance Of Nearly $20B,none / other,none/other,neutral,neutral,not relevant
Critical Race Theory Is a Potent Issue in the Virginia Governor Race,political influencers,elections,neutral,neutral,
Critical Race Theory Bill Introduced In Senate,political influencers,policy & legal,anti-CRT,neutral,
Ann Coulter : What Dumber Than CRT ? CNN,political influencers,threats/extent,anti-CRT,anti-CRT,
