Title,actor,action,action direction,headline stance,notes,
Ted Cruz Says Critical Race Theory Is  Every Bit As Racist As The Klansmen In White Sheets,political influencers,threats/extent,anti-CRT,neutral,,
States Must Fight Racism by Banning Critical Race Theory,none / other,policy & legal,anti-CRT,anti-CRT,,
Chris Krok Show : Is This the Beginning of the End for CRT ?,political influencers,threats/extent,neutral,neutral,,
Teacher slammed for TikTok rant about breaking law to teach critical race theory :  Teach your cats,educational practitioners,protest / speaking out,defending CRT,neutral,,
"The Federal Hammer , Parents and Critical Race Theory By John Kass",political influencers,none/other,neutral,neutral,,
"Democrat - Led States Using COVID Relief Cash to Push CRT in Public Schools , Including  Equity Warriors",political influencers,policy & legal,anti-CRT,anti-CRT,,
Battle over critical race theory reaches San Diego school districts,educational practitioners,policy & legal,neutral,neutral,,
Virginia Rep . Bob Good : Critical Race Theory Violates Civil Rights,political influencers,threats/extent,anti-CRT,neutral,,
"Critical race theory , transparency hot topics at school board candidate forum",impacted actors,elections,neutral,neutral,,
Valley News - Critical race theory debate lingers,none / other,protest / speaking out,neutral,neutral,,
"Mr . Crim , Is This True ?: Black History Teacher Viral TikTok Series Bypasses CRT to Inform Millions on the Real History of America",educational practitioners,threats/extent,anti-CRT,neutral,,
Today lesson is [ REDACTED ]. Is the GOP using critical race theory to ban discussion of race in schools ?,political influencers,threats/extent,anti-CRT,neutral,,
"Ted Cruz Trashed For Grilling Ketanji Brown Jackson On CRT , 1619 Project",political influencers,protest / speaking out,neutral,neutral,,
Zinn Project Urges Teachers to Defy Laws Banning Critical Race Theory,educational practitioners,threats/extent,defending CRT,neutral,,
Teaching Critical Race Theory in schools raises controversy,educational practitioners,threats/extent,neutral,neutral,,
Youngkin Shuts Down Hotline Where Parents Could Report CRT,political influencers,protest / speaking out,anti-CRT,neutral,,
Critical race theory : What you need to know in Michigan,none / other,none/other,neutral,neutral,,
Local schools anticipate no changes after Critical Race Theory ban,educational practitioners,threats/extent,neutral,neutral,i thought this article could go either into threats/extent or policy & legal beause it's both about school curriculum policy but also about the spread of CRT in schools and it influencing the quality of education,
Continental school prohibits Critical Race Theory concepts in classrooms,educational practitioners,policy & legal,anti-CRT,neutral,,
Biden signs Emmett Till Antilynching Act as CRT bans restrict talk of race,political influencers,policy & legal,anti-CRT,defending CRT,,
"Critical Race Theory Aims to Turn Students Into  Red Guards , Chinese American Warns By Terri Wu",impacted actors,protest / speaking out,anti-CRT,neutral,,
GOP state lawmakers introduce 12 new bills to ban critical race theory,political influencers,policy & legal,anti-CRT,neutral,,
Critical Race Theory : Hoosier leaders share diverse views,impacted actors,none/other,neutral,neutral,,
Where Are Black Parent Voices on Critical Race Theory ?,impacted actors,protest / speaking out,neutral,neutral,,
New education policy bill takes aim at  critical race theory,political influencers,policy & legal,anti-CRT,neutral,,
Ilhan Omar claims Critical Race Theory not being taught in school :  Republicans love to create outrage,political influencers,protest / speaking out,anti-CRT,defending CRT,,
"College Orientations Indoctrinate Students in Critical Race Theory , Says Free Speech Group",impacted actors,threats/extent,anti-CRT,neutral,,
Indiana AG Todd Rokita leads multi - state effort to oppose critical race theory in schools,political influencers,threats/extent,anti-CRT,neutral,,
Critical race theory tip line from Va . governor sparks school concerns,impacted actors,protest / speaking out,defending CRT,neutral,,
Critical race theory  bill gets first vote from Kentucky lawmakers,political influencers,policy & legal,anti-CRT,neutral,,
Inside Southlake : Superintendent at the Center of a Critical Race Theory Battle Looks Forward,educational practitioners,threats/extent,neutral,neutral,i think with the wording 'critical' it's clear the article thinks the debates over CRT are important and the author is taking a side it's just unclear what side their taking,
North Hunterdon librarian who fought LGBTQ book ban honored,educational practitioners,protest / speaking out,neutral,neutral,i say the headline and actors are neutral because CRT isn't explicitly mentioned in the headline,
Reuters Gaslights Readers About Critical Race Theory,political influencers,threats/extent,defending CRT,anti-CRT,,
Georgia Gov . Urges Educators Not to Teach Critical Race Theory  Dangerous Ideology,political influencers,protest / speaking out,anti-CRT,anti-CRT,,
"Hazel McFerson , scholar of critical race theory , dies at 78",educational practitioners,none/other,neutral,neutral,,
Indiana teachers predict mass exodus over CRT - inspired bill granting parental oversight,educational practitioners,policy & legal,neutral,neutral,,
House Republicans Investigate If COVID - 19 Relief Funds Were Used for CRT in Schools,political influencers,policy & legal,anti-CRT,neutral,,
The Latest : DeSantis says school masks is choice for parents,political influencers,policy & legal,neutral,neutral,,
The librarians uniting to battle school book ban laws,educational practitioners,protest / speaking out,neutral,neutral,,
Here The First State To Introduce Bill Banning Marxist Critical Race Theory From Public Schools : US : Christianity Daily,political influencers,policy & legal,anti-CRT,anti-CRT,,
Teachers union will defend members on critical race theory,educational practitioners,protest / speaking out,defending CRT,neutral,,
Critical race theory sticking point among Arkansas Senate District 22 candidates,political influencers,elections,neutral,neutral,,
"Critical Race Theory is Being Taught , and Has Been for Years , Tucker Carlson Highlights",political influencers,none/other,neutral,neutral,,
Schools swear they dont teach CRT . Theyre lying -- Society Child -- Sott . net,educational practitioners,threats/extent,anti-CRT,neutral,,
Critical race theory teach bans killed or stalled in many states,political influencers,policy & legal,defending CRT,neutral,,
"Gov . DeSantis Goes on Offense Against CRT , Proposes Stop WOKE Act",political influencers,threats/extent,anti-CRT,anti-CRT,,
"Editorial : Need to teach critical thinking when teaching history , race",educational practitioners,none/other,anti-CRT,anti-CRT,"i feel like the action direct and headline stance could also be neutral, but i ultimately felt that the word choice hinted to the article being anti-crt and the article direction also being the same           ",
"Fears about CRT , masks turned local races into battlegrounds",impacted actors,none/other,anti-CRT,neutral,honestly the title was a little confusing as to what was the important part of it so i switched the action to none/other,
curiousKC | A Guide to Learn ( and Demystify ) Critical Race Theory,none / other,protest / speaking out,defending CRT,defending CRT,,
How  Gender Queer : A Memoir  became America most banned book,none / other,none/other,neutral,neutral,i was generally a little confused about how this book with an emphasis on sexuality and gender had to do with crt,
,,,,,, 
