Title,actor,action,action direction,headline stance,
The Battle Against Critical Race Theory,impacted actors,threats/extent,anti-CRT,neutral,
Youd better believe theyre teaching CRT in schools,educational practitioners,threats/extent,neutral,neutral,
Opinion | Let Talk About Critical Race Theory Bans in Schools,educational practitioners,policy & legal,anti-CRT,neutral,
Senate passes CRT Bill,political influencers,policy & legal,neutral,neutral,
Tennessee bans teaching of critical race theory in schools,political influencers,policy & legal,anti-CRT,neutral,
Number of teachers pledging to teach Critical Race Theory in Surprise stagnates at two,educational practitioners,threats/extent,defending CRT,defending CRT,
Nebraska governor backs university anti - CRT resolution amid backlash,political influencers,protest / speaking out,anti-CRT,neutral,
The Push Against Teaching Critical Race Theory in Schools is Growing,educational practitioners,protest / speaking out,anti-CRT,neutral,
Critical Race Theory Mississippi,political influencers,none/other,neutral,neutral,
Scholar : The fight against CRT is one of national survival,none / other,protest / speaking out,defending CRT,defending CRT,
No new teachers in Downers Grove sign pledge on Sept . 19 to teach Critical Race Theory,educational practitioners,none/other,anti-CRT,neutral,
Critical race theory in the schools,educational practitioners,none/other,neutral,neutral,
Concerns About Critical Race Theory At The School Board Meeting,educational practitioners,threats/extent,anti-CRT,neutral,
Critical Race Theory Investigator Christopher Rufo :  This Is How the Media Lies,none / other,protest / speaking out,defending CRT,defending CRT,
General Milley is clueless on critical race theory,political influencers,threats/extent,neutral,neutral,
Teachers Unions Push CRT in Schools,educational practitioners,threats/extent,defending CRT,neutral,
Department of Education wisely retreats from critical race theory,educational practitioners,threats/extent,neutral,neutral,
What to look for in a CRT monitor : The ultimate guide for retro gamers,none / other,none/other,neutral,neutral,i think this article relates to a type of monitor for gaming
Letter : A response to letter about Critical Race Theory,none / other,none/other,neutral,neutral,
LETTERS TO THE EDITOR : Lies about Critical Race Theory,none / other,protest / speaking out,neutral,neutral,
Here What You Need To Know About A Texas Bill That Aims To Ban Critical Race Theory,political influencers,policy & legal,anti-CRT,neutral,
Freddie Mac CRT Program Reports 2021 Issuance Of Nearly $20B,none / other,none/other,neutral,neutral,
Critical Race Theory Is a Potent Issue in the Virginia Governor Race,political influencers,elections,neutral,neutral,
Critical Race Theory Bill Introduced In Senate,political influencers,policy & legal,neutral,neutral,
Ann Coulter : What Dumber Than CRT ? CNN,political influencers,none/other,anti-CRT,anti-CRT,
Wisconsin assembly passes bill banning critical race theory in the classroom,political influencers,policy & legal,anti-CRT,neutral,
No new teachers in Glen Ellyn sign pledge on Oct . 19 to teach Critical Race Theory,educational practitioners,threats/extent,anti-CRT,neutral,
"WATCH : Parents , Activists Protest CRT at Texas School Board Meeting",impacted actors,protest / speaking out,anti-CRT,neutral,
CRT In the Legislature,none / other,none/other,neutral,neutral,
Critical Race Theory not taught in some local school districts,educational practitioners,threats/extent,anti-CRT,neutral,
How a Texas school got caught up the critical race theory fight,educational practitioners,none/other,neutral,neutral,
COMMENTARY : The truth about CRT,none / other,none/other,neutral,neutral,
Some Schools Pay to Push CRT Curriculum at the Literal Expense of Everything Else,educational practitioners,threats/extent,defending CRT,anti-CRT,
Ted Cruz questions Ketanji Brown Jackson about  critical race theory,political influencers,protest / speaking out,anti-CRT,neutral,
