url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.azcentral.com/story/news/local/arizona-education/2020/12/01/covid-19-update-arizona-universities-cases-stay-low-final-weeks/6473846002/,https://amp.azcentral.com/amp/6473846002,COVID - 19 update at Arizona universities : Cases stay low in final weeks,20201201T191500Z,"https://www.gannett-cdn.com/presto/2020/08/19/PPHX/9b17dd60-9f2f-4b39-ae5f-74eb529dbc5a-asu.jpg?crop=2999,1687,x0,y152&fit=bounds",azcentral.com,English,United States
https://www.al.com/news/2020/11/huntsville-man-killed-at-pearl-harbor-to-be-honored-with-wreath-laying.html,https://www.al.com/news/2020/11/huntsville-man-killed-at-pearl-harbor-to-be-honored-with-wreath-laying.html?outputType=amp,Huntsville man killed at Pearl Harbor to be honored with wreath laying,20201201T020000Z,https://www.al.com/resizer/FtTAB0jN2w86BUnm2_KCgejP9rE=/1280x0/smart/cloudfront-us-east-1.images.arcpublishing.com/advancelocal/I225IGFH3FD27CSLN72DYCCIMA.jpg,al.com,English,United States
https://www.edweek.org/ew/articles/2020/12/01/lawsuits-defy-arizona-initiative-taxing-wealthy_ap.html,https://mobile.edweek.org/c.jsp?cid=25919951 =25919951 =25919941 =http%3A%2F%2Fapi.edweek.org%2Fv1%2Few%2F%3Fuuid%3D10B84FD2-33DB-11EB-AB51-956759D98AAA,Lawsuits defy Arizona initiative taxing wealthy for schools,20201201T151500Z,http://www.edweek.org/images/educationweek-facebook.png,edweek.org,English,United States
https://www.abqjournal.com/1522524/lawsuits-defy-arizona-initiative-taxing-wealthy-for-schools.html,https://www.abqjournal.com/1522524/lawsuits-defy-arizona-initiative-taxing-wealthy-for-schools.html/amp,Lawsuits defy Arizona initiative taxing wealthy for schools,20201201T153000Z,https://d3el53au0d7w62.cloudfront.net/wp-content/plugins/journal-open-graph/img/albuquerque-journal.jpg,abqjournal.com,English,United States
https://apnews.com/cd7f92594a4f16a0922bd85ff3f2c8af,,Lawsuits defy Arizona initiative taxing wealthy for schools,20201201T020000Z,,apnews.com,English,United States
https://apnews.com/article/business-legislature-arizona-phoenix-lawsuits-cd7f92594a4f16a0922bd85ff3f2c8af,,Lawsuits defy Arizona initiative taxing wealthy for schools,20201201T091500Z,,apnews.com,English,United States
https://www.washingtontimes.com/news/2020/nov/30/lawsuits-defy-arizona-initiative-taxing-wealthy-fo/,http://amp.washingtontimes.com/news/2020/nov/30/lawsuits-defy-arizona-initiative-taxing-wealthy-fo/,Lawsuits defy Arizona initiative taxing wealthy for schools,20201201T020000Z,,washingtontimes.com,English,United States
https://apnews.com/article/health-arizona-coronavirus-pandemic-d9e4e6920bb01d77313e2519938a35c8,,"Arizona reports 1 , 476 new COVID - 19 cases , no new deaths",20201201T043000Z,https://storage.googleapis.com/afs-prod/media/43de8268c540414aaa28c5eacf5740c6/3000.jpeg,apnews.com,English,United States
https://patch.com/arizona/tucson/u-researchers-call-statewide-mask-mandate-shutdown,https://patch.com/arizona/tucson/amp/29112945/u-of-a-researchers-call-for-statewide-mask-mandate-and-shutdown,U Of A Researchers Call For Statewide Mask Mandate and Shutdown,20201201T034500Z,https://patch.com/img/cdn20/ap/24407956/20201130/052840/styles/patch_image/public/ap-20289777357281___30172811454.jpg,patch.com,English,United States
https://marketbrief.edweek.org/purchasing-alert/ariz-district-looks-lms-utah-school-system-eyes-student-information-system/,,Ariz . District Looks for LMS ; Utah School System Eyes Student Information System,20201201T201500Z,,marketbrief.edweek.org,English,United States
