url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://krdo.com/news/2022/11/30/colorado-springs-woman-pleads-guilty-in-connection-to-mitchel-students-death/,,Colorado Springs woman pleads guilty in connection to Mitchel student death,20221201T011500Z,https://krdo.b-cdn.net/2022/11/Untitled-design-71-860x484.png,krdo.com,English,United States
https://gazette.com/sports/colorado-sunshine-colorado-mines-matocha-wins-nffcc-weekly-honor/article_ff75c430-2b72-52cf-8cdd-9b34f362f63f.html,,Colorado Sunshine : Colorado Mine Matocha wins NFFCC weekly honor,20221201T144500Z,https://bloximages.newyork1.vip.townnews.com/gazette.com/content/tncms/custom/image/3f755dae-418c-11e8-a244-53852639d709.png?crop=235%2C235%2C1%2C0,gazette.com,English,United States
https://www.9news.com/article/news/crime/woman-pleads-guilty-girls-fentanyl-death/73-39b76631-0054-4446-bef7-88db0829dc75,https://www.9news.com/amp/article/news/crime/woman-pleads-guilty-girls-fentanyl-death/73-39b76631-0054-4446-bef7-88db0829dc75,Woman pleads guilty in connection with girl fentanyl death,20221201T041500Z,https://media.9news.com/assets/KUSA/images/fa44b6c8-461a-4cc5-972f-333adc4e82ea/fa44b6c8-461a-4cc5-972f-333adc4e82ea_1140x641.jpg,9news.com,English,United States
https://www.durangoherald.com/articles/durango-school-board-votes-to-decline-colorados-famli-program/,,Durango school board votes to decline Colorado FAMLI Program – The Durango Herald,20221201T023000Z,https://imengine.public.prod.dur.navigacloud.com/?uuid=0aeedb64-63f1-5a23-ad8f-2a6439616e0f&function=fit&type=preview,durangoherald.com,English,United States
https://gazette.com/news/victim-identified-in-homicide-near-colorado-springs-high-school/article_cbbe7d4c-718c-11ed-add6-8fe024123394.html,,Victim identified in homicide near Colorado Springs high school,20221201T181500Z,https://bloximages.newyork1.vip.townnews.com/gazette.com/content/tncms/assets/v3/editorial/c/bb/cbbe7d4c-718c-11ed-add6-8fe024123394/637e543c93be9.preview.jpg?crop=1020%2C536%2C0%2C70,gazette.com,English,United States
https://theybf.com/2022/11/30/will-coach-prime-leave-jsu-now-that-he-has-an-offer-from-a-power-5-school-0,,Will Coach Prime Leave JSU Now That He Has An Offer From A Power 5 School ? ,20221201T024500Z,http://theybf.com/sites/default/files/coachprime_0.jpeg,theybf.com,English,United States
https://gazette.com/news/colorado-springs-woman-pleads-guilty-in-fentanyl-death-of-mitchell-high-school-student/article_19704eb0-711c-11ed-a9a0-c3d470080ad3.html,https://gazette.com/news/fentanyl/colorado-springs-woman-pleads-guilty-in-fentanyl-death-of-high-school-student/article_19704eb0-711c-11ed-a9a0-c3d470080ad3.amp.html,Colorado Springs woman pleads guilty in fentanyl death of high school student,20221201T030000Z,https://bloximages.newyork1.vip.townnews.com/gazette.com/content/tncms/assets/v3/editorial/f/bf/fbf22d6c-711c-11ed-b331-dbe2b521cd9d/63880c81cb83b.image.jpg?crop=293%2C293%2C137%2C125,gazette.com,English,United States
https://gazette.com/news/fentanyl/colorado-springs-woman-pleads-guilty-in-fentanyl-death-of-high-school-student/article_19704eb0-711c-11ed-a9a0-c3d470080ad3.html,https://gazette.com/news/fentanyl/colorado-springs-woman-pleads-guilty-in-fentanyl-death-of-high-school-student/article_19704eb0-711c-11ed-a9a0-c3d470080ad3.amp.html,Colorado Springs woman pleads guilty in fentanyl death of high school student,20221201T070000Z,https://bloximages.newyork1.vip.townnews.com/gazette.com/content/tncms/assets/v3/editorial/f/bf/fbf22d6c-711c-11ed-b331-dbe2b521cd9d/63880c81cb83b.image.jpg?crop=293%2C293%2C137%2C125,gazette.com,English,United States
https://www.gjsentinel.com/news/western_colorado/state-orders-mandatory-recount-in-3rd-cd/article_4eda6e2c-7028-11ed-b81a-bb7fd4ac94fa.html,https://www.gjsentinel.com/news/western_colorado/state-orders-mandatory-recount-in-3rd-cd/article_4eda6e2c-7028-11ed-b81a-bb7fd4ac94fa.amp.html,State orders mandatory recount in 3rd CD,20221201T034500Z,https://bloximages.newyork1.vip.townnews.com/gjsentinel.com/content/tncms/assets/v3/editorial/9/72/972d3ba8-963d-11eb-bd07-3385534006a3/606b5843d1e98.image.jpg?crop=1537%2C807%2C75%2C0,gjsentinel.com,English,United States
https://finance.yahoo.com/news/toll-brothers-announces-castle-rock-203100356.html,https://finance.yahoo.com/amphtml/news/toll-brothers-announces-castle-rock-203100356.html,Toll Brothers Announces New Castle Rock Community Coming to Colorado in Summer 2023,20221201T213000Z,https://media.zenfs.com/en/globenewswire.com/e5b93ece7c6f3a0894259cd268e522d3,finance.yahoo.com,English,United States
https://www.globenewswire.com/news-release/2022/12/01/2566295/0/en/Toll-Brothers-Announces-New-Castle-Rock-Community-Coming-to-Colorado-in-Summer-2023.html,,Toll Brothers Announces New Castle Rock Community Coming to,20221201T210000Z,https://ml.globenewswire.com/Resource/Download/3ec281b9-86c6-4af1-86b0-8e6bd24b2b5d?size=2,globenewswire.com,English,United States
https://www.popsugar.com/news/how-to-support-lgbtq-community-49028959,https://www.popsugar.com/news/how-to-support-lgbtq-community-49028959/amp,Actionable Ways to Support the LGBTQ+ Community All Year,20221201T181500Z,https://media1.popsugar-assets.com/files/thumbor/SlRWVruO_GDL9BTzL26pgex5l3w/11x787:5500x3669/fit-in/1200x630/filters:format_auto-!!-:strip_icc-!!-/2022/11/30/279/n/38761221/e89fe86a63883ea43a5977.47021864_.jpg,popsugar.com,English,United States
https://www.si.com/college/wisconsin/recruiting/wisconsin-hosting-two-tight-ends-on-official-visits-this-weekend-ashcraft-jacobsen-2023,https://www.si.com/college/wisconsin/.amp/recruiting/wisconsin-hosting-two-tight-ends-on-official-visits-this-weekend-ashcraft-jacobsen-2023,Wisconsin football hosting two tight ends in the 2023 class on official visits this weekend,20221201T140000Z,https://www.si.com/.image/ar_1.91%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cg_xy_center%2Cq_auto:good%2Cw_620%2Cx_3412%2Cy_2031/MTg4MzY4OTU5MTM1ODE5Mjgz/bucky1.jpg,si.com,English,United States
