url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.prnewswire.com:443/news-releases/daisy-torres-of-hartford-public-schools-named-recipient-of-the-2022-alas-scholarship-focused-on-supporting-educational-leadership-301664959.html,,Daisy Torres of Hartford Public Schools Named Recipient of the 2022 ALAS Scholarship Focused on Supporting Educational Leadership,20221101T151500Z,,prnewswire.com,English,United States
https://www.nbcconnecticut.com/news/local/killingly-board-of-ed-failed-to-meet-mental-health-needs-of-students-report/2906070/,https://www.nbcconnecticut.com/news/local/killingly-board-of-ed-failed-to-meet-mental-health-needs-of-students-report/2906070/?amp=1,Killingly Board of Ed Failed to Meet Mental Health Needs of Students : Report,20221102T011500Z,https://media.nbcconnecticut.com/2022/11/IMG_3795.jpg?quality=85&strip=all,nbcconnecticut.com,English,United States
https://www.theday.com/local-news/20221101/new-nfa-head-of-school-emphasizes-student-opportunities-parental-partnership/,,"New NFA head of school emphasizes student opportunities , parental  partnership  ",20221102T003000Z,https://static.theday.com/theday/assets/newsroom/TheDay_Facebook_OG-360px.png,theday.com,English,United States
https://www.nbcconnecticut.com/tag/chase-kowalski/,,Tag : chase kowalski – NBC Connecticut,20221101T033000Z,,nbcconnecticut.com,English,United States
https://www.nbcconnecticut.com/news/national-international/arizona-gop-nominee-kari-lake-mocks-attack-on-paul-pelosi-during-campaign-event/2905212/,https://www.nbcconnecticut.com/news/national-international/arizona-gop-nominee-kari-lake-mocks-attack-on-paul-pelosi-during-campaign-event/2905212/?amp=1,Arizona Republican Kari Lake Mocks Attack on Paul Pelosi – NBC Connecticut,20221101T033000Z,https://media.nbcconnecticut.com/2022/10/GettyImages-1244294551.jpg?quality=85&strip=all,nbcconnecticut.com,English,United States
https://www.cgdev.org/staff/shelby-bourgault,,Shelby Bourgault,20221101T193000Z,,cgdev.org,English,United States
https://www.mondaq.com/unitedstates/education/1245612/cas-legal-mailbag-question-of-the-week-102722,,CAS Legal Mailbag Question Of The Week – 10 / 27 / 22 - Education,20221101T153000Z,,mondaq.com,English,United States
https://www.wsws.org/en/articles/2022/11/01/vqww-n01.html,,Workers Struggles : The Americas,20221101T050000Z,,wsws.org,English,United States
https://news.yale.edu/2022/11/01/bernard-lytton-pioneering-surgeon-and-committed-yale-citizen,,"Bernard Lytton , pioneering surgeon and committed Yale citizen",20221102T003000Z,https://news.yale.edu/sites/default/files/styles/opengraph_image/public/thumbnail/ynews-berny_web_0.jpg?itok=BQvoLH6p,news.yale.edu,English,United States
https://www.nbcconnecticut.com/news/local/mother-of-sandy-hook-victim-completes-ironman-to-honor-sons-17th-birthday/2905162/,https://www.nbcconnecticut.com/news/local/mother-of-sandy-hook-victim-completes-ironman-to-honor-sons-17th-birthday/2905162/?amp=1,Mother of Sandy Hook Victim Completes Ironman to Honor Son 17th Birthday,20221101T033000Z,https://media.nbcconnecticut.com/2022/10/Kowalksi-Ironman.png?fit=983%2C556&quality=85&strip=all,nbcconnecticut.com,English,United States
https://www.freep.com/story/sports/college/university-michigan/wolverines/2022/11/01/michigan-basketball-george-washington-iii-recruiting/69609294007/,,"Michigan basketball lands George Washington III , 4 - star recruit",20221101T201500Z,"https://www.gannett-cdn.com/presto/2022/03/02/PLOU/57e36dc7-65b6-4265-8bc2-c203d9a1287c-MaleVsCAL_2.jpg?auto=webp&crop=3009,1693,x1,y0&format=pjpg",freep.com,English,United States
https://medicalxpress.com/news/2022-11-extreme-mass-events.html,https://medicalxpress.com/news/2022-11-extreme-mass-events.amp,"Extreme risk protection orders assist in preventing mass shooting events , study shows",20221101T211500Z,https://scx2.b-cdn.net/gfx/news/hires/2022/gun-violence-2.jpg,medicalxpress.com,English,United States
https://www.theday.com/local-news/20221101/ocean-community-chamber-plans-a-second-big-holiday-display/,,Ocean Community chamber plans a second big holiday display,20221102T003000Z,https://static.theday.com/theday/assets/newsroom/TheDay_Facebook_OG-360px.png,theday.com,English,United States
http://www.courant.com/education/hc-news-killingly-board-of-education-state-inquiry-20221101-cpbk76utxjb77oh7k4smh7zunq-story.html,,Report : Killingly  failed  to address student mental health needs – Hartford Courant,20221101T173000Z,https://www.courant.com/resizer/imi4OI-BFR72mfoqSwHQIqP6PMA=/1200x630/filters:format(jpg):quality(70)/cloudfront-us-east-1.images.arcpublishing.com/tronc/L3EBH3Z5CRFH7MTL5XIPKCKQFE.jpg,courant.com,English,United States
https://news.hamlethub.com/ridgefield/neighbors/73953-western-connecticut-youth-orchestra-announces-final-round-of-auditions-nov-11-and-nov-17,,Western Connecticut Youth Orchestra announces final round of auditions Nov . 11 and Nov . 17,20221101T201500Z,https://s3.amazonaws.com/images.hamlethub.com/hhresized/500/67/202211/Screenshot-2022-11-01-1.22.50-PM-1667323387.png,news.hamlethub.com,English,United States
https://dailycaller.com/2022/11/01/trinity-college-removes-american-flag/,,School Official Removes Student American Flag Despite Pride Flag Displays Across Campus,20221101T204500Z,https://cdn01.dailycaller.com/wp-content/uploads/2022/11/Screen-Shot-2022-11-01-at-4.02.22-PM-e1667333049256.png,dailycaller.com,English,United States
https://www.latinousa.org/2021/12/03/miguelcardona/,,The English Learner Who Became Secretary of Education,20221101T024500Z,https://www.latinousa.org/wp-content/uploads/2021/12/lusa_cardona_featured.jpg,latinousa.org,English,United States
https://today.uconn.edu/2022/11/university-to-launch-uconn-streaming-digital-network/,,University to Launch UConn+ Streaming Digital Network,20221101T140000Z,https://e9i3r2v2.stackpathcdn.com/wp-content/uploads/2022/10/UConn-Hero-Image-1024x683.jpg,today.uconn.edu,English,United States
https://www.1490wosh.com/news/2022-midterms-should-be-about-education-also/,,2022 Midterms Should Be About Education Also,20221101T153000Z,,1490wosh.com,English,United States
https://www.wvlkam.com/news/2022-midterms-should-be-about-education-also/,,2022 Midterms Should Be About Education Also,20221101T160000Z,,wvlkam.com,English,United States
https://www.nbcconnecticut.com/tag/power/,,Tag : power – NBC Connecticut,20221101T033000Z,,nbcconnecticut.com,English,United States
https://www.norwichbulletin.com/story/news/local/2022/11/01/killingly-state-expected-to-take-up-town-board-of-education-health-center-complaint/69606389007/,,Killingly : State to address Board of Education health center complaint,20221101T103000Z,"https://www.gannett-cdn.com/presto/2022/09/16/NTBU/760b18cd-b9e9-4039-8a0c-3ef7b00094b1-IMG_0687.jpg?auto=webp&crop=2071,1165,x230,y0&format=pjpg",norwichbulletin.com,English,United States
https://www.aol.com/news/swatting-calls-across-u-leave-190343821.html,https://www.aol.com/amphtml/swatting-calls-across-u-leave-190343821.html,Swatting calls across the U . S . leave students  in constant state of fear  ,20221101T201500Z,https://s.yimg.com/ny/api/res/1.2/EvKB51N0vqK0J.fe.6rD4Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/aol_yahoo_news_184/9215ba4a8c1af7bf6f9986af414f1740,aol.com,English,United States
http://www.msn.com/en-us/news/us/on-d%C3%ADa-de-los-muertos-communities-honor-uvalde-school-shooting-children-teachers/ar-AA13BQl8,,"On Día de los Muertos , communities honor Uvalde school shooting children , teachers",20221101T101500Z,http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA13BSKp.img?&m=6&q=60&o=t&l=f&f=jpg,msn.com,English,United States
https://www.nbcnews.com/news/latino/dia-de-los-muertos-uvalde-victims-remembered-rcna53331,https://www.nbcnews.com/news/amp/rcna53331,"On Día de los Muertos , Uvalde children , teachers are remembered",20221101T130000Z,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2022-11/221031-chicago-National-Museum-of-Mexican-Art-ac-936p-aa11b3.jpg",nbcnews.com,English,United States
https://in.investing.com/news/people-who-need-fitness-watches-may-use-them-the-least-pio-scientist-3397882,,People who need fitness watches may use them the least : PIO scientist,20221101T041500Z,https://i-invdn-com.investing.com/news/https://i-invdn-com.investing.com/akapi-images/800x450/cc71e3da53b4e091ec27230f8fb13479_w_800_h_450.jpg,in.investing.com,English,United States
