url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.pressreleasepoint.com/gov-carney-celebrates-arbor-day-rehoboth-beach,,Gov . Carney celebrates Arbor Day in Rehoboth Beach,20210501T101500Z,,pressreleasepoint.com,English,United States
https://www.businesswire.com/news/home/20210430005582/en/Ivy-High-Income-Opportunities-Fund-Announces-Trustee-Elections-and-Classifications,,Ivy High Income Opportunities Fund Announces Trustee Elections and Classifications,20210501T013000Z,,businesswire.com,English,United States
https://news.delaware.gov/2021/04/30/weekly-covid-19-update-april-30-2021-average-new-daily-cases-on-the-decline-hospitalizations-deaths-level/,,"Weekly COVID - 19 Update - April 30 , 2021 : Average New Daily Cases on the Decline ; Hospitalizations , Deaths Level",20210501T024500Z,https://news.delaware.gov/files/2021/04/Weekly-COVID-19-Update-043021.png,news.delaware.gov,English,United States
https://www.bizjournals.com/columbus/news/2021/04/30/photos-latest-powell-residences-open-a-look-inside.html,,Liberty Summit apartments : Delaware County latest new residences open – a look inside,20210501T023000Z,https://media.bizj.us/view/img/12006864/liberty-summit-23*1200xx5896-3317-0-307.jpg,bizjournals.com,English,United States
https://www.wnep.com/article/news/local/lackawanna-county/state-senate-candidates-debate/523-7fcb56f1-fd90-4fd3-9138-dd7c4144b3e8,https://www.wnep.com/amp/article/news/local/lackawanna-county/state-senate-candidates-debate/523-7fcb56f1-fd90-4fd3-9138-dd7c4144b3e8,State senate candidates debate,20210501T230000Z,https://media.tegna-media.com/assets/WNEP/images/f17437df-8a7b-4a2e-b581-8669ebfc00a4/f17437df-8a7b-4a2e-b581-8669ebfc00a4_1140x641.png,wnep.com,English,United States
http://www.pikecountycourier.com/news/local-news/student-lighthouse-team-announces-teachers-staff-of-the-month-YA1604346,,Student Lighthouse Team announces Teachers / Staff of the Month,20210501T233000Z,http://www.pikecountycourier.com/binrepository/480x321/1c46/480d250/none/1107792/OSIV/image-dves-teachers-3-jpg_4-2520925_20210421131610.jpg,pikecountycourier.com,English,United States
https://www.scsuntimes.com/story/news/2021/04/28/delaware-multiplying-good-jefferson-awards/7320895002/,,These Delaware residents are changing the state for the better,20210501T031500Z,"https://www.gannett-cdn.com/presto/2020/01/09/PWIL/4db1fa6c-c07d-4e98-be1f-5f6cf43a5527-Ballard3.jpg?auto=webp&crop=3888,2187,x0,y173&format=pjpg",scsuntimes.com,English,United States
https://www.masslive.com/patriots/2021/05/nfl-draft-2021-leominster-native-noah-gray-selected-no-162-overall-by-kansas-city-chiefs.html,https://www.masslive.com/patriots/2021/05/nfl-draft-2021-leominster-native-noah-gray-selected-no-162-overall-by-kansas-city-chiefs.html?outputType=amp,NFL Draft 2021 : Leominster native Noah Gray selected No . 162 overall by Kansas City Chiefs,20210501T203000Z,https://www.masslive.com/resizer/GPQ6k9v64Cvf49BlllUilOe-LOk=/1280x0/smart/cloudfront-us-east-1.images.arcpublishing.com/advancelocal/LGCWGHKCDVFCNGMMWM6424XXBI.JPG,masslive.com,English,United States
https://www.delgazette.com/news/90046/report-bvhs-ranks-in-top-20-in-ohio,,Report : BVHS ranks in top 20 % in Ohio - Delaware Gazette,20210501T103000Z,https://d31029zd06w0t6.cloudfront.net/wp-content/uploads/sites/40/2021/05/web1_Flowers-at-BVHS.jpg,delgazette.com,English,United States
https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/04/30/remarks-by-president-biden-at-an-event-marking-amtraks-50th-anniversary/,,Remarks by President Biden at an Event Marking Amtrak 50th Anniversary,20210501T121500Z,,whitehouse.gov,English,United States
https://delawarebusinessnow.com/2021/05/walk-in-drive-up-vaccination-sites-available-this-weekend/,,"Walk - in , drive up vaccination sites available this weekend",20210501T154500Z,https://delawarebusinessnow.imgix.net/2021/02/Dover-Downs-vaccine.jpg?fm=pjpg&ixlib=php-3.3.0&s=e9f6e254f969a5d18894169d21368cd2,delawarebusinessnow.com,English,United States
