url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://news.yahoo.com/introducing-iowa-eight-2021-22-130124698.html,https://news.yahoo.com/amphtml/introducing-iowa-eight-2021-22-130124698.html,Introducing the Iowa Eight for the 2021 - 22 high school wrestling season,20211201T141500Z,https://s.yimg.com/ny/api/res/1.2/IYcTbzZldlYVj4i8m7Z6iQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/uu/api/res/1.2/0Jm8Iont5UQp8FhX4MUT2w--~B/aD04OTE7dz0xNTg0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/the-des-moines-register/6bcfa2d0a6040d30576d994478e56d0d,news.yahoo.com,English,United States
https://globegazette.com/community/iowa-select-farms-donates-power-snacks-to-osage-schools/article_d77289f9-7bf1-5288-be1e-0852388ccda4.html,https://globegazette.com/community/iowa-select-farms-donates-power-snacks-to-osage-schools/article_d77289f9-7bf1-5288-be1e-0852388ccda4.amp.html,Iowa Select Farms donates power snacks to Osage Schools,20211201T064500Z,https://bloximages.chicago2.vip.townnews.com/globegazette.com/content/tncms/assets/v3/editorial/9/55/955f502f-7562-5b96-9e7b-404973665e24/619e83badda99.image.jpg?crop=1403%2C737%2C0%2C195,globegazette.com,English,United States
https://www.thegazette.com/obituaries/charles-f-hesse/,https://www.thegazette.com/obituaries/charles-f-hesse/?amp=1,Charles F . Hesse,20211201T051500Z,https://imengine.public.prod.cdr.navigacloud.com/?uuid=1A2AD2DC-9F39-4C51-9EEB-0221EA80D1BC&type=preview&q=75,thegazette.com,English,United States
https://www.msn.com/en-us/news/us/rekha-basu-iowa-legislators-could-do-so-much-good-instead-of-looking-to-imprison-teachers/ar-AARm8Up,,Rekha Basu : Iowa legislators could do so much good instead of looking to imprison teachers,20211201T213000Z,,msn.com,English,United States
https://www.newsweek.com/teacher-allegedly-left-handwritten-notes-school-threatening-violence-police-1655129,https://www.newsweek.com/teacher-allegedly-left-handwritten-notes-school-threatening-violence-police-1655129?amp=1,Teacher Allegedly Left Handwritten Notes at School Threatening Violence : Police,20211202T000000Z,https://d.newsweek.com/en/full/1943686/teacher-handwritten-notes-school-violence.jpg,newsweek.com,English,United States
https://www.desmoinesregister.com/story/news/health/2021/12/01/covid-19-iowa-coronavirus-hospitalizations-reach-new-peak-2021-cases-deaths/6358519001/,,Iowa COVID - 19 hospitalizations reach new 2021 peak ; 91 deaths reported,20211201T193000Z,"https://www.gannett-cdn.com/presto/2021/09/08/PDEM/1b23c75a-b45d-41a5-8101-1d8fbafe72a7-0903-Methodist-013.JPG?auto=webp&crop=2999,1687,x0,y0&format=pjpg",desmoinesregister.com,English,United States
https://www.washingtonexaminer.com/politics/build-back-better-plan-could-double-iowa-spending-on-child-care,https://www.washingtonexaminer.com/politics/build-back-better-plan-could-double-iowa-spending-on-child-care?_amp=true,Build Back Better plan could double Iowa spending on child care,20211201T213000Z,http://mediadc-brightspot.s3.amazonaws.com/d2/bf/044eafbb4156bbbd88ab2d7138c4/istock-901666754.jpg,washingtonexaminer.com,English,United States
https://nebraska.rivals.com/news/nebraska-rb-marvin-scott-iii-enters-transfer-portal,,HuskerOnline - Nebraska RB Marvin Scott III enters transfer portal,20211201T041500Z,,nebraska.rivals.com,English,United States
https://www.thegazette.com/restaurants/unimpaired-opens-first-dry-bar-in-iowa-city/,https://www.thegazette.com/restaurants/unimpaired-opens-first-dry-bar-in-iowa-city/?amp=1,Unimpaired opens first dry bar in Iowa City,20211201T123000Z,https://imengine.public.prod.cdr.navigacloud.com/?uuid=2684a6bd-0ac1-5245-9275-2ab843ef24b4&type=preview&q=75,thegazette.com,English,United States
https://www.si.com/college/2021/12/01/jamie-pollard-cancer-diagnosis-iowa-state,https://www.si.com/.amp/college/2021/12/01/jamie-pollard-cancer-diagnosis-iowa-state,Iowa State AD Jamie Pollard announces cancer diagnosis,20211201T204500Z,,si.com,English,United States
https://capitolfax.com/2021/12/01/the-bridge-that-almost-wasnt/,,Capitol Fax . com - Your Illinois News Radar » The bridge that almost wasnt,20211201T183000Z,,capitolfax.com,English,United States
https://1075kissfm.iheart.com/featured/taylor-j/content/2021-12-01-there-are-some-european-holiday-events-this-weekend/,https://1075kissfm.iheart.com/alternate/amp/2021-12-01-there-are-some-european-holiday-events-this-weekend/,There Are Some European Holiday Events This Weekend | 1075 KISS FM,20211202T003000Z,"https://i.iheart.com/v3/re/assets.getty/61a78ed4f82e4c1c86f22022?ops=gravity(%22north%22),fit(740,416),quality(65)",1075kissfm.iheart.com,English,United States
https://www.postbulletin.com/obituaries/obits/7304523-Chuck-Hazama,,Obits | Post Bulletin,20211201T184500Z,https://www.postbulletin.com/obituaries/obits/7304522-vemmas-imagejpeg601441.jpeg/alternates/BASE_FREE/image%2Bjpeg%2B60144%2B1.jpeg,postbulletin.com,English,United States
https://wcfcourier.com/news/local/education/well-being-of-students-educators-a-concern-for-iowa-school-social-worker-of-the-year/article_4df261bd-c4ab-557b-889e-cde5f1987630.html,https://wcfcourier.com/news/local/education/well-being-of-students-educators-a-concern-for-iowa-school-social-worker-of-the-year/article_4df261bd-c4ab-557b-889e-cde5f1987630.amp.html,"Well - being of students , educators a concern for Iowa school social worker of the year",20211201T094500Z,https://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/1/66/166b38db-72ef-5a62-adb7-d232fa37b02b/61a669734bc93.image.jpg?crop=1725%2C906%2C0%2C147,wcfcourier.com,English,United States
https://www.thegazette.com/campaigns-elections/tiffany-odonnell-defeats-amara-andrews-to-win-cedar-rapids-mayoral-race/,https://www.thegazette.com/campaigns-elections/tiffany-odonnell-defeats-amara-andrews-to-win-cedar-rapids-mayoral-race/?amp=1,"Tiffany ODonnell is next Cedar Rapids mayor , wins runoff over Amara Andrews",20211201T051500Z,https://imengine.public.prod.cdr.navigacloud.com/?uuid=d15ea654-f037-593f-bbba-f4baf0cc30af&type=preview&q=75,thegazette.com,English,United States
