url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.chicagobusiness.com/juice/illinois-gop-reps-tip-scales-school-board-domestic-terrorist-debate-crains-juice,,Illinoi GOP reps tip the scales in school board  domestic terrorist  debate : Crain Juice,20211201T143000Z,https://s3-prod.chicagobusiness.com/styles/800x600/s3/377588593.jpg,chicagobusiness.com,English,United States
https://www.mrt.com/news/education/article/Midland-ISD-Fine-Arts-holiday-calendar-16666297.php,https://www.mrt.com/news/education/amp/Midland-ISD-Fine-Arts-holiday-calendar-16666297.php,Midland ISD Fine Arts holiday calendar,20211201T223000Z,https://s.hdnux.com/photos/01/23/04/16/21775295/3/rawImage.jpg,mrt.com,English,United States
https://www.daily-journal.com/news/illinois/lincoln-presidential-library-hosting-statewide-art-contest/article_47cc0b8e-51f4-11ec-9426-d36483be15ce.html,https://www.daily-journal.com/news/illinois/lincoln-presidential-library-hosting-statewide-art-contest/article_47cc0b8e-51f4-11ec-9426-d36483be15ce.amp.html,Lincoln Presidential Library hosting statewide art contest,20211201T143000Z,https://bloximages.newyork1.vip.townnews.com/daily-journal.com/content/tncms/assets/v3/editorial/3/75/37582afc-51f5-11ec-8d7e-f70e5850b4be/61a649311bd93.image.jpg?crop=1034%2C543%2C442%2C0,daily-journal.com,English,United States
https://www.daily-journal.com/news/local/kankakee-trinity-academy-undergoes-status-changes-now-on-probation/article_19453b7c-5231-11ec-87ad-4ba2ed0895ad.html,https://www.daily-journal.com/news/local/kankakee-trinity-academy-undergoes-status-changes-now-on-probation/article_19453b7c-5231-11ec-87ad-4ba2ed0895ad.amp.html,"Kankakee Trinity Academy undergoes status changes , now  on probation  ",20211201T143000Z,https://bloximages.newyork1.vip.townnews.com/daily-journal.com/content/tncms/assets/v3/editorial/5/73/57381944-52af-11ec-b07b-df08c1ab9be4/61327340e73e5.image.jpg?crop=1662%2C873%2C0%2C186,daily-journal.com,English,United States
https://capitolfax.com/2021/12/01/its-just-a-bill-289/,,Capitol Fax . com - Your Illinois News Radar » It just a bill,20211201T181500Z,,capitolfax.com,English,United States
https://www.axios.com/local/chicago/2021/12/01/the-state-of-food-in-illinois-biggest-dining-hall,,What food like in Illinois colleges these days ? ,20211201T133000Z,https://images.axios.com/8Fv1BN2iDqDY_NKabollCz0baZo=/0x284:3850x2450/1366x768/2021/11/30/1638307118276.jpg,axios.com,English,United States
https://chicago.suntimes.com/2021/12/1/22811934/child-care-build-back-better-colleges-universities,https://chicago.suntimes.com/platform/amp/2021/12/1/22811934/child-care-build-back-better-colleges-universities,"Parents need quality child care , and colleges and universities can provide it",20211201T223000Z,https://cdn.vox-cdn.com/thumbor/OD11efjw-SQfuQp_VXVH9TRhhkM=/0x0:4000x2094/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23056235/Biden.jpg,chicago.suntimes.com,English,United States
https://pantagraph.com/news/state-and-regional/crime-and-courts/suit-alleges-illinois-company-sold-bogus-hand-sanitizer-to-schools/article_b4ba26a0-530a-5de5-be2e-a2363a2f2dd8.html,,Suit alleges Illinois company sold bogus hand sanitizer to schools,20211201T190000Z,https://bloximages.chicago2.vip.townnews.com/pantagraph.com/content/tncms/assets/v3/editorial/b/4b/b4ba26a0-530a-5de5-be2e-a2363a2f2dd8/61a6bf00a3147.preview.png?crop=1240%2C651%2C0%2C2,pantagraph.com,English,United States
https://capitolfax.com/2021/12/01/the-bridge-that-almost-wasnt/,,Capitol Fax . com - Your Illinois News Radar » The bridge that almost wasnt,20211201T183000Z,,capitolfax.com,English,United States
https://www.news-gazette.com/news/local/education/time-capsule-enclosed-in-rantoul-school-during-1919-pandemic-set-to-be-opened/article_2eab5947-348b-5b13-a291-431b7e6aa09e.html,,Time capsule enclosed in Rantoul school during 1919 pandemic set to be opened,20211201T143000Z,https://bloximages.newyork1.vip.townnews.com/news-gazette.com/content/tncms/assets/v3/editorial/a/c1/ac10e4b4-a4b4-5a1c-b247-291e370d1e1e/61a6d3dd51074.image.jpg?crop=1246%2C654%2C0%2C503,news-gazette.com,English,United States
https://www.wbur.org/news/2021/12/01/lawsuit-company-sold-bogus-hand-sanitizer-schools-massachusetts,https://amp.wbur.org/news/2021/12/01/lawsuit-company-sold-bogus-hand-sanitizer-schools-massachusetts,Lawsuit alleges company sold bogus hand sanitizer to schools in Massachusetts,20211201T133000Z,https://d279m997dpfwgl.cloudfront.net/wp/2016/06/WBUR-News-Tile.jpg,wbur.org,English,United States
https://www.msn.com/en-us/news/crime/asu-students-are-wrong-kyle-rittenhouse-has-every-right-to-attend-asu-should-he-qualify/ar-AARlE7L,,ASU students are wrong . Kyle Rittenhouse has every right to attend ASU ( should he qualify ) ,20211201T184500Z,,msn.com,English,United States
https://www.ksdk.com/article/news/crime/woman-shot-killed-thanksgiving-ex-boyfriend-charged/63-0a697307-c599-4437-86ee-d9ff32a9c45e,https://www.ksdk.com/amp/article/news/crime/woman-shot-killed-thanksgiving-ex-boyfriend-charged/63-0a697307-c599-4437-86ee-d9ff32a9c45e,"Woman shot to death on Thanksgiving by ex - boyfriend , police say",20211201T020000Z,https://media.ksdk.com/assets/KSDK/images/fb84dfe4-a647-4a49-8e65-355d89443e0e/fb84dfe4-a647-4a49-8e65-355d89443e0e_1140x641.jpg,ksdk.com,English,United States
https://www.boston.com/news/local-news/2021/11/30/suit-alleges-company-sold-bogus-hand-sanitizer-to-massachusetts-schools/,https://www.boston.com/news/local-news/2021/11/30/suit-alleges-company-sold-bogus-hand-sanitizer-to-massachusetts-schools/?amp=1,Suit alleges company sold bogus hand sanitizer to Massachusetts schools,20211201T040000Z,https://www.boston.com/wp-content/uploads/2021/11/6RL6CUO7ZVKAF5ACQVAYMPJPQ4-61a6770b9ff85-scaled.jpg,boston.com,English,United States
https://www.salemnews.com/news/local_news/suit-alleges-company-sold-bogus-hand-sanitizer-to-schools-including-swampscott/article_7b5ab5b0-52e7-11ec-bcc3-23febd85baaa.html,,"Suit alleges company sold bogus hand sanitizer to schools , including Swampscott",20211201T234500Z,https://bloximages.chicago2.vip.townnews.com/salemnews.com/content/tncms/custom/image/29c67f80-6b81-11e5-9882-1ba0e94cc00f.jpg?crop=630%2C630%2C285%2C0,salemnews.com,English,United States
https://www.daily-journal.com/opinion/joyce-taking-time-to-give-thanks/article_f421b6f8-51f0-11ec-ab9b-c3f2930a3f75.html,https://www.daily-journal.com/opinion/joyce-taking-time-to-give-thanks/article_f421b6f8-51f0-11ec-ab9b-c3f2930a3f75.amp.html,JOYCE : Taking time to give thanks,20211201T143000Z,https://bloximages.newyork1.vip.townnews.com/daily-journal.com/content/tncms/custom/image/fa024f52-c7c0-11eb-9d46-e7b040911d75.jpg?crop=400%2C400%2C165%2C0,daily-journal.com,English,United States
https://www.dailyherald.com/submitted/20211129/distributing-fresh-produce-boxes-is-part-of-advocate-aurora-healths-25-billion-community-charitable-care-and-services-in-2020/1,https://www.dailyherald.com/amp-article/20211129/submitted/211129416/,Distributing fresh produce boxes is part of Advocate Aurora Health $2 . 5 billion community charitable care and services in 2020,20211201T024500Z,,dailyherald.com,English,United States
https://www.wandtv.com/news/cuphd-offering-additional-vaccination-clinics/article_99470002-52cd-11ec-b6b8-039af3c2b3aa.html,,CUPHD offering additional vaccination clinics,20211201T184500Z,https://bloximages.newyork1.vip.townnews.com/wandtv.com/content/tncms/assets/v3/editorial/e/27/e276e2e8-0065-11ec-acc8-b31292a5e596/611d72c879724.image.jpg?crop=750%2C394%2C0%2C14,wandtv.com,English,United States
https://www.wpsdlocal6.com/news/siu-students-protest-schools-response-to-gun-violence/article_743ebde0-52dc-11ec-a7b2-b3447cb07411.html,,SIU students protest schools response to gun violence,20211201T203000Z,https://bloximages.newyork1.vip.townnews.com/wpsdlocal6.com/content/tncms/assets/v3/editorial/7/43/743ebde0-52dc-11ec-a7b2-b3447cb07411/61a7d08562d37.preview.jpg?crop=1662%2C873%2C0%2C187,wpsdlocal6.com,English,United States
https://blavity.com/over-50-students-suspended-for-participation-in-viral-who-want-smoke-tiktok-challenge,https://blavity.com/amp/over-50-students-suspended-for-participation-in-viral-who-want-smoke-tiktok-challenge,Over 50 Students Suspended For Participation In Viral  Who Want Smoke  TikTok Challenge - Blavity,20211201T064500Z,,blavity.com,English,United States
https://obituaries.salemnews.com/obituary/raymond-kizior-1083909740,,Raymond Kizior | Obituary | Salem News,20211201T093000Z,https://cdn-otf-cas.prfct.cc/dfs1/eyJxIjoxMDAsInVybCI6Imh0dHBzOlwvXC9hZGFzLW9yZWdvbi1jYXMtb2JpdHMuczMuYW1hem9uYXdzLmNvbVwvcGhvdG9zXC9jcmVhdGVfc3RvcnlcLzYxYTcwZmRkMzkzZjFcLzQ0ZDRmNmQ1Njc3YTZjYThjMDJjNzUyODBkZDIuanBnIiwiY3IiOjEsInciOjI0MCwiZCI6NzIsImgiOjMwMH0=,obituaries.salemnews.com,English,United States
https://www.wandtv.com/news/michigan-school-shooting-death-toll-now-4/article_ea3a5bf8-52e1-11ec-a2e6-e32e0e912ebd.html,,Michigan school shooting death toll now 4,20211201T234500Z,https://bloximages.newyork1.vip.townnews.com/wandtv.com/content/tncms/assets/v3/editorial/1/50/150d5942-52e3-11ec-a88c-efcc925bada1/61a7d7827f786.image.jpg?crop=1763%2C926%2C0%2C125,wandtv.com,English,United States
https://dailycaller.com/2021/12/01/judicial-watch-moves-to-depose-chicago-mayor-lightfoot-over-racist-interview-policy-under-oath/,https://amp.dailycaller.com/2021/12/01/judicial-watch-moves-to-depose-chicago-mayor-lightfoot-over-racist-interview-policy-under-oath,Judicial Watch Moves To Depose Chicago Mayor Lightfoot Over Racist Interview Policy,20211201T180000Z,https://cdn01.dailycaller.com/wp-content/uploads/2021/11/lori-lightfoot-daily-caller-scaled-e1638310151876.jpg,dailycaller.com,English,United States
https://www.newsweek.com/woman-helped-domestic-violence-victims-shot-dead-ex-boyfriend-police-1654768,https://www.newsweek.com/woman-helped-domestic-violence-victims-shot-dead-ex-boyfriend-police-1654768?amp=1,Woman Who Helped Domestic Violence Victims Shot Dead By Ex - Boyfriend Police,20211201T114500Z,https://d.newsweek.com/en/full/1942996/leslie-reeves.jpg,newsweek.com,English,United States
https://tvovermind.com/katelynn-shennett/,,10 Things You Didnt Know about Katelynn Shennett,20211201T164500Z,https://tvovermind.com/wp-content/uploads/2021/11/Katelynn-Shennett.jpg,tvovermind.com,English,United States
