url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
http://www.baltimoresun.com/maryland/carroll/lifestyles/cc-lt-safe-kids-050221-20210501-cwzzpd6hdndadmyagqdnyfjvye-story.html,https://www.baltimoresun.com/maryland/carroll/lifestyles/cc-lt-safe-kids-050221-20210501-cwzzpd6hdndadmyagqdnyfjvye-story.html?outputType=amp,Safe Kids Carroll County : Children Mental Health Matters ! campaign runs May 2 - 8,20210501T194500Z,https://www.baltimoresun.com/resizer/XwDCMkKnIVAES3vVn6LgBzmDn7M=/1200x0/top/cloudfront-us-east-1.images.arcpublishing.com/tronc/YPQ4QFHHBFE2DMXK6NZETSFCLQ.JPG,baltimoresun.com,English,United States
https://www.governing.com/authors/donald-f-kettl.html,,Donald F . Kettl,20210501T073000Z,http://erepublic-brightspot.s3.amazonaws.com/6b/05/524895a240a2a8de764f32fd51e5/gov-don-kettl-2.jpg,governing.com,English,United States
http://www.capitalgazette.com/lifestyles/ac-cn-adoptees-birth-certificates-2021428-20210501-q2a5wuz52ng77dzg6atrq7wuk4-story.html,https://www.capitalgazette.com/lifestyles/ac-cn-adoptees-birth-certificates-2021428-20210501-q2a5wuz52ng77dzg6atrq7wuk4-story.html?outputType=amp,"Adoptees lose again in Maryland General Assembly , but press on for access to original birth certificates",20210501T173000Z,https://www.capitalgazette.com/resizer/IykgzMPUMckAYQsDNqXnpgg2uXk=/1200x0/top/cloudfront-us-east-1.images.arcpublishing.com/tronc/KX6BR4D6T36WDUAOGOQ33RFTOI.jpg,capitalgazette.com,English,United States
http://www.baltimoresun.com/education/ac-cn-oysters-annapolis-0501-20210501-hwwb5yulszdffikqxjees2qzhy-story.html,https://www.baltimoresun.com/education/ac-cn-oysters-annapolis-0501-20210501-hwwb5yulszdffikqxjees2qzhy-story.html?outputType=amp,Annapolis students help save oyster shells from archaeological dig for Chesapeake restoration,20210501T170000Z,https://www.baltimoresun.com/resizer/cJ0CG0hE5UG1lSZVdWDSEm7tINw=/1200x0/top/cloudfront-us-east-1.images.arcpublishing.com/tronc/LVLG7TBNO5BJVDEWE2G53L2USM.JPG,baltimoresun.com,English,United States
https://www.nimh.nih.gov/research/research-conducted-at-nimh/research-areas/clinics-and-labs/ln/sncc/,,NIMH » Section on Neural Coding and Computation ( SNCC ) ,20210501T061500Z,,nimh.nih.gov,English,United States
https://www.nimh.nih.gov/research/research-conducted-at-nimh/scientific-director/office-of-scientific-director/bsc-counselor-patricio-odonnell-md-phd,,"NIMH » BSC Counselor - Patricio ODonnell , M . D ., Ph . D . ",20210501T073000Z,,nimh.nih.gov,English,United States
https://www.fredericknewspost.com/opinion/editorial/still-a-few-bumps-on-road-to-recovery/article_644bfb35-c3d0-54ea-a7bc-d9ac8ed7c0f0.html,,Still a few bumps on road to recovery,20210501T093000Z,https://bloximages.newyork1.vip.townnews.com/fredericknewspost.com/content/tncms/custom/image/0fa3e2d0-fff4-11e4-89a9-77b204e19fad.jpg,fredericknewspost.com,English,United States
https://www.oregonlive.com/beavers/2021/05/oregon-state-lands-its-fourth-division-i-transfer-as-minnesota-guard-tre-williams-commits.html,https://www.oregonlive.com/beavers/2021/05/oregon-state-lands-its-fourth-division-i-transfer-as-minnesota-guard-tre-williams-commits.html?outputType=amp,Oregon State lands its fourth Division I transfer as Minnesota guard Tre  Williams commits,20210501T224500Z,https://www.oregonlive.com/resizer/3mtxvN34PZhuw4TjVudvI6FwNkY=/1280x0/smart/cloudfront-us-east-1.images.arcpublishing.com/advancelocal/DWWPT6N6KVFADMR52LVWH46NP4.jpeg,oregonlive.com,English,United States
http://www.capitalgazette.com/education/ac-cn-oysters-annapolis-0501-20210501-hwwb5yulszdffikqxjees2qzhy-story.html,https://www.capitalgazette.com/education/ac-cn-oysters-annapolis-0501-20210501-hwwb5yulszdffikqxjees2qzhy-story.html?outputType=amp,Annapolis students help save oyster shells from archaeological dig for Chesapeake restoration,20210501T173000Z,https://www.capitalgazette.com/resizer/cJ0CG0hE5UG1lSZVdWDSEm7tINw=/1200x0/top/cloudfront-us-east-1.images.arcpublishing.com/tronc/LVLG7TBNO5BJVDEWE2G53L2USM.JPG,capitalgazette.com,English,United States
http://www.baltimoresun.com/education/ac-cn-aacps-reopening-0501-20210501-w4abydpuwzga5mv5y3xoencxsa-story.html,https://www.baltimoresun.com/education/ac-cn-aacps-reopening-0501-20210501-w4abydpuwzga5mv5y3xoencxsa-story.html?outputType=amp,Anne Arundel County Public School system plans to return to school in - person this fall,20210501T200000Z,https://www.baltimoresun.com/resizer/TT9cdxkEbqW_eTHmgKW4RLRCMVc=/1200x0/top/cloudfront-us-east-1.images.arcpublishing.com/tronc/OVNOT4QBMRHYTA55DPOSQIPZJQ.jpg,baltimoresun.com,English,United States
https://www.nimh.nih.gov/research/research-conducted-at-nimh/join-a-study/adults/adults-healthy-volunteers,,NIMH » Adults : Healthy Volunteers,20210501T063000Z,,nimh.nih.gov,English,United States
https://www.nimh.nih.gov/research/research-conducted-at-nimh/research-areas/clinics-and-labs/edb/nnt/neuroscience-and-novel-therapeutics-unit-meet-the-team,,NIMH » Neuroscience and Novel Therapeutics Unit : Meet the Team,20210501T053000Z,,nimh.nih.gov,English,United States
http://www.capitalgazette.com/education/ac-cn-aacps-reopening-0501-20210501-w4abydpuwzga5mv5y3xoencxsa-story.html,https://www.capitalgazette.com/education/ac-cn-aacps-reopening-0501-20210501-w4abydpuwzga5mv5y3xoencxsa-story.html?outputType=amp,Anne Arundel County Public School system plans to return to school in - person this fall,20210501T200000Z,https://www.capitalgazette.com/resizer/TT9cdxkEbqW_eTHmgKW4RLRCMVc=/1200x0/top/cloudfront-us-east-1.images.arcpublishing.com/tronc/OVNOT4QBMRHYTA55DPOSQIPZJQ.jpg,capitalgazette.com,English,United States
https://www.fredericknewspost.com/news/20-50-100-years-ago-may-1/article_dde6eb70-07c8-5019-8016-6ebb8fe231d0.html,,20 - 50 - 100 Years Ago May 1,20210501T093000Z,https://bloximages.newyork1.vip.townnews.com/fredericknewspost.com/content/tncms/custom/image/0fa3e2d0-fff4-11e4-89a9-77b204e19fad.jpg,fredericknewspost.com,English,United States
http://www.capitalgazette.com/maryland/bs-md-ob-arcangelo-tuminelli-20210430-xcvofuhfvnflnn6s6ueend4cfy-story.html,https://www.capitalgazette.com/maryland/bs-md-ob-arcangelo-tuminelli-20210430-xcvofuhfvnflnn6s6ueend4cfy-story.html?outputType=amp,"Arcangelo M . Tuminelli , criminal defense attorney honored for his service , dies",20210501T013000Z,https://www.capitalgazette.com/resizer/yLVVm4BTyKoidwPcDbQT-s3HLOg=/1200x0/top/cloudfront-us-east-1.images.arcpublishing.com/tronc/MZCKWG2BNFETDJGOAT5R7RI4PI.jpg,capitalgazette.com,English,United States
https://www.grandforksherald.com/community/people/7008993-George-W.-Bush-paints-portrait-of-northern-Wisconsin-immigrant-for-new-book,,George W . Bush paints portrait of northern Wisconsin immigrant for new book,20210501T131500Z,https://www.superiortelegram.com/incoming/7006783-r1lb5o-043021.N.ST.Mitchell-2_web.jpg/alternates/BASE_LANDSCAPE/043021.N.ST.Mitchell%202_web.jpg,grandforksherald.com,English,United States
https://www.wfmynews2.com/article/news/health/coronavirus/executive-order-eases-mask-restrictions-people-no-longer-need-to-wear-them-outdoors/83-06261f94-c36b-435b-b5f6-d3b1a70a4061,https://www.wfmynews2.com/amp/article/news/health/coronavirus/executive-order-eases-mask-restrictions-people-no-longer-need-to-wear-them-outdoors/83-06261f94-c36b-435b-b5f6-d3b1a70a4061,Executive order eases mask restrictions outdoors,20210501T053000Z,https://media.wfmynews2.com/assets/WFMY/images/0a2cdbeb-643d-4f83-9b4b-a1333307489a/0a2cdbeb-643d-4f83-9b4b-a1333307489a_1140x641.jpg,wfmynews2.com,English,United States
https://www.postbulletin.com/community/people/7008993-George-W.-Bush-paints-portrait-of-northern-Wisconsin-immigrant-for-new-book,,George W . Bush paints portrait of northern Wisconsin immigrant for new book,20210501T124500Z,https://www.superiortelegram.com/incoming/7006783-r1lb5o-043021.N.ST.Mitchell-2_web.jpg/alternates/BASE_LANDSCAPE/043021.N.ST.Mitchell%202_web.jpg,postbulletin.com,English,United States
https://www.forbes.com/sites/michaeltnietzel/2021/05/01/new-leadership-for-the-big-ten-universities-the-glass-ceiling-is-cracking/,https://www.forbes.com/sites/michaeltnietzel/2021/05/01/new-leadership-for-the-big-ten-universities-the-glass-ceiling-is-cracking/amp/,New Leadership For the Big Ten Universities : The Glass Ceiling Is Cracking,20210501T104500Z,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F608c71332dcc4c64d3e69491%2F0x0.jpg,forbes.com,English,United States
https://www.fredericknewspost.com/news/continuing_coverage/election_coverage/former-school-board-member-running-for-county-executive/article_b9f8c293-a71b-5bd5-afd2-84c80707b74e.html,,Former school board member running for county executive,20210501T043000Z,https://bloximages.newyork1.vip.townnews.com/fredericknewspost.com/content/tncms/assets/v3/editorial/6/16/616613cf-b842-5129-83f1-51abb9239180/608c62efd07c3.image.jpg?crop=1209%2C1187%2C0%2C106,fredericknewspost.com,English,United States
https://www.vikings.com/news/christian-darrisaw-s-climb-from-unheralded-prep-to-ideal-viking,,Christian Darrisaw Climb from Unheralded Prep to  Ideal Viking  ,20210501T011500Z,https://static.clubs.nfl.com/image/private/t_editorial_landscape_12_desktop/vikings/dl6ho8mjp0absxvnefcn,vikings.com,English,United States
http://www.baltimoresun.com/maryland/carroll/opinion/cc-op-editorial-tumbs-050121-20210501-6c5nu634hjdoxhzz3lgj7s42lm-story.html,https://www.baltimoresun.com/maryland/carroll/opinion/cc-op-editorial-tumbs-050121-20210501-6c5nu634hjdoxhzz3lgj7s42lm-story.html?outputType=amp,"Our View : Thumbs up to good signs regarding COVID - 19 , a fine fall prep sports season , students making the grade | COMMENTARY",20210501T204500Z,https://www.baltimoresun.com/resizer/MkbQsmt-UoINKFULFHs4BBaXEl0=/630x630/right/middle/cloudfront-us-east-1.images.arcpublishing.com/tronc/L2SGMX2KSVFVTITIJUVMPGLRCI.jpg,baltimoresun.com,English,United States
http://www.capitalgazette.com/lifestyles/ac-cn-gallery-2021502-20210501-sm5ml5gvzrayhh3vy4ojrzlwo4-story.html,https://www.capitalgazette.com/lifestyles/ac-cn-gallery-2021502-20210501-sm5ml5gvzrayhh3vy4ojrzlwo4-story.html?outputType=amp,"Gallery : Annapolis gallieries offer new exhibits , intriguing artists in May",20210501T154500Z,https://www.capitalgazette.com/resizer/7QcWcujvqNw2JX-SWFrAtGrdrJU=/1200x0/top/cloudfront-us-east-1.images.arcpublishing.com/tronc/NPUMKSKLPBEUZJEQ6LBEPVC75I.jpg,capitalgazette.com,English,United States
https://journalstar.com/news/local/govt-and-politics/elections/meet-lincoln-city-council-candidate-roy-christensen/article_36833a3d-21e4-5aaa-8652-c5af881cc640.html,https://journalstar.com/news/local/govt-and-politics/elections/meet-lincoln-city-council-candidate-roy-christensen/article_36833a3d-21e4-5aaa-8652-c5af881cc640.amp.html,Meet Lincoln City Council candidate Roy Christensen,20210501T033000Z,https://bloximages.chicago2.vip.townnews.com/journalstar.com/content/tncms/assets/v3/editorial/9/4b/94b03e9c-3360-5b94-85ac-70a3eecff1cd/6054bff66e45b.image.jpg?crop=611%2C458%2C405%2C58,journalstar.com,English,United States
https://www.scsuntimes.com/story/news/crime/2021/04/29/delaware-state-police-id-3-killed-smyrna-murder-suicide-tuesday/4879055001/,,Delaware State Police ID 3 killed in Smyrna murder - suicide on Tuesday,20210501T221500Z,"https://www.gannett-cdn.com/presto/2021/04/28/PWIL/57de4319-ffe5-4d34-bbe3-37717c4648a6-Women.PNG?auto=webp&crop=762,429,x0,y123&format=pjpg",scsuntimes.com,English,United States
