url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.pressherald.com/2021/06/01/briefs-169-2/,,Briefs - Portland Press Herald,20210601T121500Z,,pressherald.com,English,United States
https://www.pressherald.com/2021/06/01/maines-two-virtual-charter-schools-see-uptick-in-enrollment-during-pandemic/,,Maine two virtual charter schools see enrollment increase during pandemic,20210601T084500Z,https://multifiles.pressherald.com/uploads/sites/10/2021/04/23440212_20210430_Charter2003-1024x679.jpg,pressherald.com,English,United States
https://www.pressherald.com/2021/06/01/maine-charter-schools-post-mixed-results-but-fill-a-need-for-families/,,Maine charter schools post mixed results but fill a need for families,20210601T084500Z,https://multifiles.pressherald.com/uploads/sites/10/2021/05/23440212_20210504_CharterSchool_04-1024x683.jpg,pressherald.com,English,United States
https://www.centralmaine.com/2021/06/01/legislative-committee-supports-nominee-to-be-maines-chief-justice/,,Legislative committee supports nominee to be Maine chief justice,20210601T221500Z,https://multifiles.pressherald.com/uploads/sites/10/2021/05/Justice-Stanfill-e1620659341857.jpg,centralmaine.com,English,United States
https://www.centralmaine.com/2021/06/01/maines-two-virtual-charter-schools-see-uptick-in-enrollment-during-pandemic/,,Maine two virtual charter schools see enrollment increase during pandemic,20210601T084500Z,https://multifiles.pressherald.com/uploads/sites/10/2021/04/23440212_20210430_Charter2003-1024x679.jpg,centralmaine.com,English,United States
https://www.centralmaine.com/2021/06/01/maine-charter-schools-post-mixed-results-but-fill-a-need-for-families/,,Maine charter schools post mixed results but fill a need for families,20210601T084500Z,https://multifiles.pressherald.com/uploads/sites/10/2021/05/23440212_20210504_CharterSchool_04-1024x683.jpg,centralmaine.com,English,United States
https://www.chron.com/news/article/Committee-unanimously-endorses-Stanfill-for-chief-16216878.php,https://www.chron.com/news/amp/Committee-unanimously-endorses-Stanfill-for-chief-16216878.php,Committee unanimously endorses Stanfill for chief justice,20210601T181500Z,https://www.chron.com/img/pages/article/opengraph_default.jpg,chron.com,English,United States
https://www.sfgate.com/news/article/Committee-unanimously-endorses-Stanfill-for-chief-16216878.php,https://www.sfgate.com/news/amp/Committee-unanimously-endorses-Stanfill-for-chief-16216878.php,Committee unanimously endorses Stanfill for chief justice,20210601T173000Z,https://www.sfgate.com/img/pages/article/opengraph_default.png,sfgate.com,English,United States
https://maine.gleague.nba.com/news/maine-tdbank-fullplates/,,Maine Celtics Team Up With TD Bank To Fight Food Insecurity In Maine,20210601T200000Z,,maine.gleague.nba.com,English,United States
https://www.pressherald.com/2021/06/01/legislative-committee-supports-nominee-to-be-maines-chief-justice/,,Legislative committee supports nominee to be Maine chief justice,20210601T193000Z,https://multifiles.pressherald.com/uploads/sites/10/2021/05/Justice-Stanfill-e1620659341857.jpg,pressherald.com,English,United States
https://www.pressherald.com/2021/06/01/commentary-we-must-act-to-reduce-use-of-restraint-eliminate-seclusion-in-maine-schools/,,"Commentary : We must act to reduce use of restraint , eliminate seclusion in Maine schools",20210601T084500Z,,pressherald.com,English,United States
https://www.centralmaine.com/2021/06/01/commentary-we-must-act-to-reduce-use-of-restraint-eliminate-seclusion-in-maine-schools/,,"Commentary : We must act to reduce use of restraint , eliminate seclusion in Maine schools",20210601T130000Z,,centralmaine.com,English,United States
https://www.pressherald.com/2021/06/01/events-330/,,Events - Portland Press Herald,20210601T121500Z,,pressherald.com,English,United States
https://www.pressherald.com/2021/05/31/varsity-maine-honor-roll-may-31-2021/,,"Varsity Maine Honor Roll : May 31 , 2021",20210601T033000Z,,pressherald.com,English,United States
https://www.pressherald.com/2021/06/01/augusta-public-school-board-pursues-pool-testing-for-reducing-pandemic-requirements/,,Augusta Public School Board pursues  pool testing  for reducing pandemic requirements,20210601T234500Z,https://multifiles.pressherald.com/uploads/sites/10/2020/09/19701860_20200924_ConyQRcodes_31957-1024x730.jpg,pressherald.com,English,United States
https://umaine.edu/news/blog/2021/06/01/wvii-talks-with-lieberthal-about-disease-superspreader-prediction/,https://umaine.edu/news/blog/2021/06/01/wvii-talks-with-lieberthal-about-disease-superspreader-prediction/amp/,WVII talks with Lieberthal about disease superspreader prediction - UMaine News,20210601T181500Z,https://umaine.edu/news/wp-content/themes/umaine/assets/images/default-og-image.png,umaine.edu,English,United States
https://www.pressherald.com/2021/06/01/letter-to-the-editor-bill-would-encourage-more-maine-gun-owners-to-store-firearms-safely/,,Letter to the editor : Bill would encourage more Maine gun owners to store firearms safely,20210601T084500Z,,pressherald.com,English,United States
https://www.centralmaine.com/2021/06/01/augusta-public-school-board-pursues-pool-testing-for-reducing-pandemic-requirements/,,Augusta Public School Board pursues  pool testing  for reducing pandemic requirements,20210601T194500Z,https://multifiles.pressherald.com/uploads/sites/10/2020/09/19701860_20200924_ConyQRcodes_31957-1024x730.jpg,centralmaine.com,English,United States
https://www.pressherald.com/2021/06/01/westbrook-jeweler-has-designs-on-greater-good-2/,,Westbrook jeweler has designs on greater good,20210601T223000Z,https://multifiles.pressherald.com/uploads/sites/10/2021/05/DSC_1245-1024x722.jpg,pressherald.com,English,United States
https://thecounty.me/2021/06/01/news/education/mssm-celebrates-graduates-during-saturday-outdoor-ceremony/,,MSSM celebrates graduates during Saturday outdoor ceremony,20210601T134500Z,https://bdn-ss-tc.s3.amazonaws.com/uploads/2021/06/IMG_4145-640x400.jpg,thecounty.me,English,United States
https://www.centralmaine.com/2021/06/01/academics-service-lead-to-mpa-award-for-monmouth-academys-rhanya-poulin/,,"Academics , service lead to MPA award for Monmouth Academy Rhanya Poulin",20210601T213000Z,https://multifiles.pressherald.com/uploads/sites/10/2021/05/24074040_20210505_Rhayna_Poulin_1140347-1024x770.jpg,centralmaine.com,English,United States
https://www.foxnews.com/media/times-republicans-opposing-critical-race-theory-culture-war,https://www.foxnews.com/media/times-republicans-opposing-critical-race-theory-culture-war.amp,New York Times : Republicans opposing critical race theory are engaged in culture war,20210601T181500Z,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/a2331bdb-cac9-4e46-902c-75f2298fb73c/9497968d-12d1-40a4-9467-438d1c93ae0a/1280x720/match/image.jpg,foxnews.com,English,United States
https://www.pressherald.com/2021/06/01/college-roundup-florida-gives-mullen-3-year-extension-1-5m-raise-annually/,,"Tuesday college roundup : Florida gives Mullen 3 - year extension , $1 . 5M raise annually",20210601T184500Z,https://multifiles.pressherald.com/uploads/sites/10/2021/06/Mullen_Contract_Extension_Football_36456.jpg,pressherald.com,English,United States
