url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://journalnow.com/news/national/govt-and-politics/montana-students-head-back-to-school-under-shadow-from-virus/article_1faa32c1-7faf-54e1-8f4e-b8dab57898d2.html,https://journalnow.com/news/national/govt-and-politics/montana-students-head-back-to-school-under-shadow-from-virus/article_1faa32c1-7faf-54e1-8f4e-b8dab57898d2.amp.html,Montana students head back to school under shadow from virus,20200901T110000Z,https://bloximages.newyork1.vip.townnews.com/journalnow.com/content/tncms/assets/v3/editorial/2/8f/28fefe76-f520-5740-850c-271a60286574/5f442b8d7dffa.image.jpg?crop=1762%2C991%2C0%2C92,journalnow.com,English,United States
https://www.msn.com/en-us/finance/careersandeducation/10-law-schools-with-small-class-sizes/ar-BB18AN2t,,10 Law Schools With Small Class Sizes,20200901T140000Z,,msn.com,English,United States
https://missoulian.com/news/state-and-regional/mmiw/in-protest-and-grief-1-year-after-hardin-teens-death-family-still-searches-for-closure/article_cfc5db2a-e880-5f88-affb-738b20bb0b22.html,https://missoulian.com/news/state-and-regional/mmiw/in-protest-and-grief-1-year-after-hardin-teens-death-family-still-searches-for-closure/article_cfc5db2a-e880-5f88-affb-738b20bb0b22.amp.html,"  In protest and grief : 1 year after Hardin teen death , family still searches for closure | State & Regional",20200901T130000Z,https://bloximages.chicago2.vip.townnews.com/missoulian.com/content/tncms/assets/v3/editorial/c/fc/cfc5db2a-e880-5f88-affb-738b20bb0b22/5f4d99c582f66.preview.jpg?crop=1218%2C685%2C15%2C198,missoulian.com,English,United States
https://helenair.com/news/state-and-regional/mmiw/in-protest-and-grief-1-year-after-hardin-teens-death-family-still-searches-for-closure/article_1f16dd6b-d9af-5cdb-946f-8159caf1a10b.html,https://helenair.com/news/state-and-regional/mmiw/in-protest-and-grief-1-year-after-hardin-teens-death-family-still-searches-for-closure/article_1f16dd6b-d9af-5cdb-946f-8159caf1a10b.amp.html,"  In protest and grief : 1 year after Hardin teen death , family still searches for closure | State & Regional",20200901T133000Z,https://bloximages.chicago2.vip.townnews.com/helenair.com/content/tncms/assets/v3/editorial/1/f1/1f16dd6b-d9af-5cdb-946f-8159caf1a10b/5f4d99a97a812.preview.jpg?crop=1218%2C685%2C15%2C198,helenair.com,English,United States
https://www.kulr8.com/news/local/local-organizations-team-up-for-school-backpack-giveaway/article_bc570d6c-ec03-11ea-92cd-b314e35b9add.html,,Local organizations team up for school backpack giveaway,20200901T060000Z,https://bloximages.newyork1.vip.townnews.com/kulr8.com/content/tncms/assets/v3/editorial/2/d1/2d1e747a-ec0b-11ea-ae3b-fbb2079b5f91/5f4dd5a408e25.image.jpg?crop=751%2C563%2C124%2C0,kulr8.com,English,United States
https://mtstandard.com/news/state-and-regional/mmiw/in-protest-and-grief-1-year-after-hardin-teens-death-family-still-searches-for-closure/article_4529636b-6920-5612-87fa-2a934395eee2.html,https://mtstandard.com/news/state-and-regional/mmiw/in-protest-and-grief-1-year-after-hardin-teens-death-family-still-searches-for-closure/article_4529636b-6920-5612-87fa-2a934395eee2.amp.html,"  In protest and grief : 1 year after Hardin teen death , family still searches for closure | State & Regional",20200901T141500Z,https://bloximages.chicago2.vip.townnews.com/mtstandard.com/content/tncms/assets/v3/editorial/4/52/4529636b-6920-5612-87fa-2a934395eee2/5f4d9a90844f7.preview.jpg?crop=1218%2C685%2C15%2C198,mtstandard.com,English,United States
https://billingsgazette.com/great-falls-area-children-found-safe/article_1070fa3e-4923-558b-883e-8eb83f017399.html,https://billingsgazette.com/great-falls-area-children-found-safe/article_1070fa3e-4923-558b-883e-8eb83f017399.amp.html,Great Falls - area children found safe,20200901T020000Z,https://bloximages.chicago2.vip.townnews.com/billingsgazette.com/content/tncms/assets/v3/editorial/0/2e/02e1c353-f05b-5056-a30f-697d0be7b672/5f4d9f2edc93f.image.jpg?crop=302%2C170%2C1%2C0,billingsgazette.com,English,United States
http://www.chicagotribune.com/suburbs/barrington/ct-bcr-blotter-tl-0903-20200901-pczi55ounvhbpp46fftesuto24-story.html,https://www.chicagotribune.com/suburbs/barrington/ct-bcr-blotter-tl-0903-20200901-pczi55ounvhbpp46fftesuto24-story.html?outputType=amp,Police investigating Aug . 20 harassment report at Barrington High School,20200901T230000Z,https://www.chicagotribune.com/resizer/p3-gJQaa6Df7V2Mot2kv7T_O2m4=/1200x0/right/bottom/cloudfront-us-east-1.images.arcpublishing.com/tronc/ZT3RLYFIMFFFBLGUQFMDDBUHZQ.jpg,chicagotribune.com,English,United States
https://billingsgazette.com/news/state-and-regional/mmiw/in-protest-and-grief-1-year-after-hardin-teens-death-family-still-searches-for-closure/article_73a1a473-cb77-582d-8721-91e129c5afaf.html,https://billingsgazette.com/news/state-and-regional/mmiw/in-protest-and-grief-1-year-after-hardin-teens-death-family-still-searches-for-closure/article_73a1a473-cb77-582d-8721-91e129c5afaf.amp.html,"  In protest and grief : 1 year after Hardin teen death , family still searches for closure | Missing and Murdered Indigenous Women",20200901T124500Z,https://bloximages.chicago2.vip.townnews.com/billingsgazette.com/content/tncms/assets/v3/editorial/7/3a/73a1a473-cb77-582d-8721-91e129c5afaf/5f4d97faf1934.preview.jpg?crop=1218%2C685%2C15%2C198,billingsgazette.com,English,United States
https://www.axios.com/coronavirus-remote-work-anywhere-3c5ebdcd-3074-4c77-b32f-684197b596ea.html,,Work - from - home is turning into work - from - anywhere,20200901T233000Z,https://images.axios.com/BvBaSc7v3PSaSWudeFKeg0p4lIg=/fit-in/1366x1366/2020/09/01/1598998094852.jpg,axios.com,English,United States
