url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://news.yahoo.com/north-carolina-t-state-university-124900541.html,https://news.yahoo.com/amphtml/north-carolina-t-state-university-124900541.html,North Carolina A & T State University Receives $500K Grant To Boost Its STEAM Education Program,20221001T143000Z,https://s.yimg.com/uu/api/res/1.2/ntyTgERX8s4ubo9Prr3GyA--~B/aD00NTA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/blavity_articles_483/20368a6e6c739f4c75d6e6de4cb99b7e,news.yahoo.com,English,United States
http://www.msn.com/en-us/travel/tripideas/the-15-best-campgrounds-in-the-north-carolina-mountains/ar-AA12tws6,,The 15 Best Campgrounds in the North Carolina Mountains,20221001T143000Z,http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA12tkDt.img?&m=6&q=60&o=t&l=f&f=jpg,msn.com,English,United States
https://journalnow.com/opinion/columnists/stuart-egan-if-you-are-running-for-school-board/article_5773d7ee-402b-11ed-a1b9-e307f29accc2.html,https://journalnow.com/opinion/columnists/stuart-egan-if-you-are-running-for-school-board/article_5773d7ee-402b-11ed-a1b9-e307f29accc2.amp.html,Stuart Egan : If you are running for school board ... ,20221002T010000Z,https://bloximages.newyork1.vip.townnews.com/journalnow.com/content/tncms/assets/v3/editorial/8/7e/87e6e2fe-402b-11ed-bc7c-2fff925d76be/6335efb0576fb.image.jpg?crop=259%2C259%2C0%2C45,journalnow.com,English,United States
https://www.indexjournal.com/lifestyles/unwind/sc-bach-opens-season-with-weekend-of-concerts/article_5f5bcfb6-50a2-55f9-a565-d7e45dd027bf.html,,SC Bach opens season with weekend of concerts,20221001T073000Z,https://bloximages.newyork1.vip.townnews.com/indexjournal.com/content/tncms/assets/v3/editorial/0/74/0740ac65-03de-54cd-9988-b15ed9ebad56/6334a29aa8156.image.jpg?crop=1731%2C909%2C0%2C123,indexjournal.com,English,United States
https://swimswam.com/nc-state-snags-2024s-top-miler-12-matt-marsteiner-for-class-of-2028/,,"NC State Snags 2024 Top Miler , # 12 Matt Marsteiner , for Class of 2028",20221001T171500Z,https://swimswam.com/wp-content/uploads/2022/10/NC-State_m_Matt-Marsteiner-scaled.jpg,swimswam.com,English,United States
https://www.thepilot.com/opinion/column-worker-gains-getting-diluted-by-fed-s-attempts-to-tame-inflation/article_82b7e1d8-40ef-11ed-857c-63d8c01431a3.html,,Column : Worker Gains Getting Diluted by Fed Attempts to Tame Inflation | Opinion,20221001T214500Z,https://bloximages.newyork1.vip.townnews.com/thepilot.com/content/tncms/custom/image/131e72c6-2bfb-11e5-9b9f-070bd3599e11.jpg,thepilot.com,English,United States
https://hiphopdx.com/news/id.73882/title.rapper-big-pooh-interview-exclusive-to-dream-in-color,,Rapper Big Pooh On His New Album  To Dream In Color  ,20221001T174500Z,https://static.hiphopdx.com/2022/09/Rapper-Big-Pooh_Tobias_Rose_1280_720-1198x675.jpg,hiphopdx.com,English,United States
https://journalnow.com/business/business-milestones/article_299beaec-3daa-11ed-bcfe-bfb50edc2227.html,https://journalnow.com/business/business-milestones/article_299beaec-3daa-11ed-bcfe-bfb50edc2227.amp.html,Business Milestones,20221001T183000Z,https://bloximages.newyork1.vip.townnews.com/journalnow.com/content/tncms/assets/v3/editorial/4/c1/4c1fb0dc-3f42-11ed-9fc5-d79b5281ad39/63346845901cc.image.jpg?crop=1907%2C1001%2C22%2C0,journalnow.com,English,United States
https://www.wral.com/just-over-15-of-wake-county-customers-left-without-power-after-ian-passes-through-central-nc/20499809/,,Just over 15 % of Wake County customers left without power after Ian passes through central NC,20221001T063000Z,https://wwwcache.wral.com/asset/weather/hurricanes/2022/09/30/20499939/MicrosoftTeams-image__22_-DMID1-5wex14qjy-640x480.jpg,wral.com,English,United States
https://madison.com/news/local/at-100-marjorie-marshman-celebrates-life-of-service-to-military/article_680cf70c-85a5-5c2b-a47d-010ffe22db27.html,https://madison.com/news/local/at-100-marjorie-marshman-celebrates-life-of-service-to-military/article_680cf70c-85a5-5c2b-a47d-010ffe22db27.amp.html,"At 100 , Marjorie Marshman celebrates life of service to military",20221001T113000Z,https://bloximages.chicago2.vip.townnews.com/madison.com/content/tncms/assets/v3/editorial/6/80/680cf70c-85a5-5c2b-a47d-010ffe22db27/633760cdc24a6.preview.jpg?crop=1647%2C865%2C0%2C196,madison.com,English,United States
