url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://heraldcourier.com/news/bristol-tennessee-students-get-two-hour-beginning-to-a-fresh-new-year/article_42b2a68c-11f0-11ed-948d-a33ea60dba5e.html,https://heraldcourier.com/news/bristol-tennessee-students-get-two-hour-beginning-to-a-fresh-new-year/article_42b2a68c-11f0-11ed-948d-a33ea60dba5e.amp.html,"Bristol , Tennessee students get two - hour beginning to a fresh new year",20220802T000000Z,https://bloximages.newyork1.vip.townnews.com/heraldcourier.com/content/tncms/assets/v3/editorial/b/6b/b6b88cf4-11f0-11ed-8d7a-8b49a5d5c2e1/62e8600b5b8bc.image.jpg?crop=1703%2C894%2C0%2C160,heraldcourier.com,English,United States
https://www.newschannel5.com/news/safetn-app-provides-parents-students-with-outlet-to-report-potentially-harmful-situations-in-schools,https://www.newschannel5.com/news/safetn-app-provides-parents-students-with-outlet-to-report-potentially-harmful-situations-in-schools?_amp=true,TN security officials remind parents of safety app as new school year begins,20220802T003000Z,http://ewscripps-brightspot.s3.amazonaws.com/95/1b/66b7567146df8402590b17d2ef07/raw-frame-49822.jpeg,newschannel5.com,English,United States
https://www.prweb.com/releases/ron_meers_of_tennessee_and_john_stroube_of_kentucky_honored_as_2022_lowell_mason_fellows/prweb18819557.htm,,Ron Meers of Tennessee and John Stroube of Kentucky Honored as 2022 Lowell Mason Fellows,20220801T154500Z,http://ww1.prweb.com/prfiles/2022/07/29/18819557/gI_97799_NewsImage_vcsPRAsset_2939414_97799_00197841-cb2c-4a10-9f4d-83dcf5e39647_0.png,prweb.com,English,United States
https://truthout.org/articles/right-wing-is-waging-attacks-to-limit-key-lgbtq-rights-protected-in-bostock/,https://truthout.org/articles/right-wing-is-waging-attacks-to-limit-key-lgbtq-rights-protected-in-bostock/?amp,Right Wing Is Waging Attacks to Limit Key LGBTQ Rights Protected in  Bostock  ,20220801T180000Z,https://truthout.org/wp-content/uploads/2022/08/2022_0801-lgbtq-scotus-1200x675.jpg,truthout.org,English,United States
https://www.foxnews.com/lifestyle/sen-marsha-blackburns-back-school-tips-warnings-woke-policies,https://www.foxnews.com/lifestyle/sen-marsha-blackburns-back-school-tips-warnings-woke-policies.amp,Sen . Marsha Blackburn back - to - school tips include warnings for parents about  woke policies  ,20220801T064500Z,https://static.foxnews.com/foxnews.com/content/uploads/2022/03/2022-03-23T021015Z_781561219_RC218T9ATNCY_RTRMADP_3_USA-COURT-JACKSON.jpg,foxnews.com,English,United States
https://www.tennessean.com/story/opinion/2022/08/01/gun-violence-school-shouldnt-place-students-fear-our-lives/10175010002/,,Gun violence : School shouldnt be a place students fear for our lives,20220801T221500Z,"https://www.gannett-cdn.com/presto/2020/02/19/PNAS/d350aaf2-9be8-44b8-9c1c-9f60c1311835-NAS-Student_Protest-009.JPG?auto=webp&crop=3588,2019,x0,y0&format=pjpg",tennessean.com,English,United States
https://www.yahoo.com/now/warriors-land-tennessee-commit-julian-074525713.html,https://www.yahoo.com/amphtml/now/warriors-land-tennessee-commit-julian-074525713.html,Warriors land Tennessee commit Julian Phillips in For The Win 2023 NBA mock draft,20220801T214500Z,https://s.yimg.com/ny/api/res/1.2/NLSYdTcI_GJHi.qkFBY2Sg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/uu/api/res/1.2/FSH826JPHQZbDec1yWnfEQ--~B/aD0xNzA3O3c9MjU2MDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/warriors_wire_usa_today_sports_articles_759/101883d64cc6c30849baf9ae8eafb3c5,yahoo.com,English,United States
https://www.stltoday.com/news/local/columns/joe-holleman/st-louis-area-gets-slightly-smarter-in-last-year-survey-shows/article_a5db289e-a0e9-549f-bce0-9f62883d03ca.html,,"St . Louis area gets slightly smarter in last year , survey shows",20220801T173000Z,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/6/f2/6f29a08a-570a-5f9e-866c-79c93363186a/60af2a4f1c62a.image.jpg?crop=1672%2C878%2C0%2C181,stltoday.com,English,United States
https://www.msn.com/en-us/travel/tripideas/36-things-to-do-in-tennessee-everyone-will-love/ar-AA10bxM6,,36 THINGS TO DO IN TENNESSEE EVERYONE WILL LOVE,20220801T144500Z,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA10bvab.img?&m=6&q=60&o=t&l=f&f=jpg,msn.com,English,United States
https://www.nashvillepost.com/politics/courts/biden-picks-u-s-attorney-for-nashville-district/article_137ba618-1199-11ed-8fe7-27a4b377e34f.html,,Biden picks U . S . attorney for Nashville district,20220801T134500Z,https://bloximages.newyork1.vip.townnews.com/nashvillepost.com/content/tncms/assets/v3/editorial/3/d2/3d267844-1199-11ed-a221-37c57c7b6624/62e7cd62cec11.image.jpg?crop=973%2C511%2C0%2C71,nashvillepost.com,English,United States
https://www.wbir.com/article/news/education/pack-the-bus-events-fills-two-buses/51-b26d817d-d46f-41e1-8c41-7ee1ef1f1812,https://www.wbir.com/amp/article/news/education/pack-the-bus-events-fills-two-buses/51-b26d817d-d46f-41e1-8c41-7ee1ef1f1812,Mission of Hope fills two buses with donations of school supplies over tax - free weekend,20220802T010000Z,https://media.wbir.com/assets/WBIR/images/ac187aed-17f5-41b7-9a8f-1d10b85aa94a/ac187aed-17f5-41b7-9a8f-1d10b85aa94a_1140x641.jpg,wbir.com,English,United States
https://www.christianpost.com:443/politics/22-states-sue-usda-for-tying-school-lunch-funding-to-lgbt-policy.html,https://www.christianpost.com/amp/22-states-sue-usda-for-tying-school-lunch-funding-to-lgbt-policy.html,22 states sue USDA for tying school lunch funding to LGBT policy,20220801T181500Z,https://cdn.christianpost.com/files/original/thumbnail/24/92/249262.jpg,christianpost.com,English,United States
https://swimswam.com/tennessee-state-runner-up-cade-hickson-verbals-to-queens-university-of-charlotte/,,Tennessee State Runner - Up Cade Hickson Verbals to Queens University of Charlotte,20220801T173000Z,https://swimswam.com/wp-content/uploads/2022/08/Queens_m_Cade-Hickson.jpg,swimswam.com,English,United States
https://finance.yahoo.com/research/reports/MS_0P000004BT_AnalystReport_1659354688000/,,Petroleo Brasileiro S . A .- Petro ( PBR ) Stock Forecasts,20220801T140000Z,,finance.yahoo.com,English,United States
https://www.si.com/college/tennessee/recruiting/2023-dl-tavion-gadson-talks-latest-trip-to-tennessee,https://www.si.com/college/tennessee/.amp/recruiting/2023-dl-tavion-gadson-talks-latest-trip-to-tennessee,2023 DL Tavion Gadson Talks Latest Trip to Tennessee,20220801T014500Z,,si.com,English,United States
https://www.chattanoogan.com/2022/8/1/453277/Senate-Race-Heating-Up-For-New-Senate.aspx,,Senate Race Heating Up For New Senate District 1,20220801T134500Z,,chattanoogan.com,English,United States
https://www.wmot.org/news/2022-08-01/tennessees-embrace-of-conservative-michigan-college-sours,https://www.wmot.org/news/2022-08-01/tennessees-embrace-of-conservative-michigan-college-sours?_amp=true,Tennessee embrace of conservative Michigan college sours,20220801T134500Z,http://npr-brightspot.s3.amazonaws.com/16/2c/a5c8b70d450fa0b9e786d856278f/220801-hillsdale-college-pres-larry-arnn.jpg,wmot.org,English,United States
https://trib.com/news/state-and-regional/three-potential-schools-submit-charter-applications/article_52c9046c-11dc-11ed-b3da-bb67ead8c995.html,https://trib.com/news/state-and-regional/three-potential-schools-submit-charter-applications/article_52c9046c-11dc-11ed-b3da-bb67ead8c995.amp.html,Three potential schools submit charter applications,20220801T230000Z,https://bloximages.chicago2.vip.townnews.com/trib.com/content/tncms/assets/v3/editorial/3/db/3db8b404-11e7-11ed-bb6f-8b66d0ee3578/62e85026dd095.image.jpg?crop=1763%2C926%2C0%2C124,trib.com,English,United States
https://iowa.rivals.com/news/four-star-ol-ian-moore-visits-iowa,,HawkeyeReport - Four - star OL Ian Moore visits Iowa,20220801T034500Z,,iowa.rivals.com,English,United States
