url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://www.kristv.com/news/local-news/ccisds-hernandez-finalist-for-texas-superintendent-of-year,,CCISD Hernandez finalist for Texas Superintendent of Year,20200901T031500Z,http://ewscripps-brightspot.s3.amazonaws.com/a1/90/0a8a76234abba6ddab6e7298edf5/drro831.png,kristv.com,English,United States
https://www.statesman.com/news/20200901/austin-school-district-fights-to-keep-superintendent-records-secret,https://www.statesman.com/news/20200901/austin-school-district-fights-to-keep-superintendent-records-secret?template=ampart,Austin school district fights to keep superintendent records secret - News - Austin American - Statesman,20200901T210000Z,https://www.statesman.com/storyimage/TX/20200901/NEWS/200909891/AR/0/AR-200909891.jpg,statesman.com,English,United States
https://www.krgv.com/news/tea-rewards-teachers-with-pay-raise-amid-pandemic,,TEA rewards teachers with pay raise amid pandemic,20200901T201500Z,http://dcer237tfveol.cloudfront.net/v2/HFWNAbc5irEopntmk0JewwhmbyiVN9QyVigPz5-yljZfxbymKorgYlQm7O9hgVtyvnkH7P9_9ntKGRCkMzAN4Cgdkjic2h_1ierdo7TEeOoVuyH7Hf23e6aabxMAjjEv_HLVkVbs_LKm7PLA7rD4odyBMFMi6xd8Wsdgkbt4E8Jw,krgv.com,English,United States
https://www.khou.com/article/news/health/coronavirus/how-to-find-out-if-someone-at-your-kids-school-has-covid-19-in-texas/285-cba2389f-2ef4-4921-b6a0-967d390f97dd,https://www.khou.com/amp/article/news/health/coronavirus/how-to-find-out-if-someone-at-your-kids-school-has-covid-19-in-texas/285-cba2389f-2ef4-4921-b6a0-967d390f97dd,How to find out if someone has COVID - 19 at your kid school,20200902T003000Z,https://media.khou.com/assets/KHOU/images/252d11ce-6ba4-4cfd-8f6a-d1c32cef7ed2/252d11ce-6ba4-4cfd-8f6a-d1c32cef7ed2_1140x641.jpeg,khou.com,English,United States
https://www.washingtontimes.com/news/2020/sep/1/texas-and-michigan-announce-athletic-staff-and-sal/,https://amp.washingtontimes.com/news/2020/sep/1/texas-and-michigan-announce-athletic-staff-and-sal/,Texas and Michigan announce athletic staff and salary cuts,20200901T220000Z,,washingtontimes.com,English,United States
https://abc13.com/hisd-schools-without-nurses-covid-19-and-13-investigates-ted-oberg/6397460/,https://abc13.com/amp/hisd-schools-without-nurses-covid-19-and-13-investigates-ted-oberg/6397460/,Dozens of Houston area campuses dont have a school nurse,20200901T031500Z,https://cdn.abcotvs.com/dip/images/6397859_school-nurses-shutterstock-img.jpg,abc13.com,English,United States
https://abc13.com/education/dozens-of-houston-area-campuses-dont-have-a-school-nurse/6397460/,https://abc13.com/amp/hisd-schools-without-nurses-covid-19-and-13-investigates-ted-oberg/6397460/,Dozens of Houston area campuses dont have a school nurse,20200901T040000Z,https://cdn.abcotvs.com/dip/images/6397859_school-nurses-shutterstock-img.jpg,abc13.com,English,United States
https://abc13.com/education/dozens-of-houston-area-schools-dont-have-a-nurse/6397460/,https://abc13.com/amp/hisd-schools-without-nurses-covid-19-and-13-investigates-ted-oberg/6397460/,Dozens of Houston area campuses dont have a school nurse,20200901T104500Z,https://cdn.abcotvs.com/dip/images/6397859_school-nurses-shutterstock-img.jpg,abc13.com,English,United States
https://www.ksat.com/news/texas/2020/09/01/texas-coronavirus-hospitalizations-are-at-a-two-month-low-but-school-reopenings-pose-new-risks/,https://www.ksat.com/news/texas/2020/09/01/texas-coronavirus-hospitalizations-are-at-a-two-month-low-but-school-reopenings-pose-new-risks/?outputType=amp,"Texas coronavirus hospitalizations are at a two - month low , but school reopenings pose new risks",20200901T213000Z,https://www.ksat.com/resizer/S3oJvXGkgVhXNTt2knCsDYsN9lM=/1200x803/smart/filters:format(jpeg):strip_exif(true):strip_icc(true):no_upscale(true):quality(65)/cloudfront-us-east-1.images.arcpublishing.com/gmg/M22NBYHJNZCDDMJKVIQ5EF2HN4.jpg,ksat.com,English,United States
https://www.texastribune.org/2020/09/01/texas-schools-reopening-coronavirus/,https://www.texastribune.org/2020/09/01/texas-schools-reopening-coronavirus/amp/,Texas schools reopening pose new risk as coronavirus hospitalizations fall,20200901T173000Z,https://thumbnails.texastribune.org/v7drqGPj5-X98sbINWnF5DbS2J0=/1200x804/smart/filters:quality(95)/static.texastribune.org/media/files/e0e04b320f554c1e5eada1af58cc0f3c/TXST%20COVID%20JV%20TT%2019.jpg,texastribune.org,English,United States
