url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
http://www.orlandosentinel.com/opinion/scott-maxwell-commentary/os-op-barbara-knox-university-florida-controversy-scott-maxwell-20220701-oswmd4xw6jen3kpgqyewuh53om-story.html,https://www.orlandosentinel.com/opinion/scott-maxwell-commentary/os-op-barbara-knox-university-florida-controversy-scott-maxwell-20220701-oswmd4xw6jen3kpgqyewuh53om-story.html?outputType=amp,UF Med School hires controversial child - abuse expert Barbara Knox,20220701T201500Z,https://www.orlandosentinel.com/resizer/Tm3GzgFC9WmT50i1x-FyFm0tgsU=/1200x630/filters:format(jpg):quality(70)/cloudfront-us-east-1.images.arcpublishing.com/tronc/AJDBNK7FS5HN5DSRUX6VMUEQXU.jpeg,orlandosentinel.com,English,United States
https://www.msn.com/en-us/news/us/high-school-students-organize-women-s-rights-protest-in-menomonee-falls/ar-AAZ3Sio,,High school students organize women rights protest in Menomonee Falls,20220701T120000Z,https://img-s-msn-com.akamaized.net/tenant/amp/entityid/AAZ3Nuo.img?&m=6&q=60&o=t&l=f&f=jpg&x=220&y=277,msn.com,English,United States
https://apnews.com/article/abortion-2022-midterm-elections-us-supreme-court-election-2020-6f1e5704e2be374825600ce3dd965fa4,,Wisconsin Evers looks for boost from anger over abortion,20220701T011500Z,https://storage.googleapis.com/afs-prod/media/ce5ea440e0544b8d90d292151996ea8a/3000.jpeg,apnews.com,English,United States
https://goodmenproject.com/featured-content/are-abortions-ever-medically-necessary-wisconsin-doctors-say-yes/,,Are Abortions Ever Medically Necessary ? Wisconsin Doctors Say Yes . ,20220701T134500Z,https://goodmenproject.com/wp-content/uploads/2022/06/shutterstock_2078540341.jpg,goodmenproject.com,English,United States
https://finance.yahoo.com/research/reports/MS_0P0000013G_AnalystReport_1656705667000?ncid=dcm_306416306_490172245_127172993,,Carnival Plc ( CUK ) Stock Forecasts,20220701T224500Z,,finance.yahoo.com,English,United States
https://madison.com/business/on-retail-former-far-west-side-shopko-store-to-become-fitness-center/article_07ce2e3d-3a2b-50b2-ac4b-0d08c4615fde.html,https://madison.com/business/on-retail-former-far-west-side-shopko-store-to-become-fitness-center/article_07ce2e3d-3a2b-50b2-ac4b-0d08c4615fde.amp.html,On Retail : Former Far West Side Shopko store to become fitness center,20220701T153000Z,https://bloximages.chicago2.vip.townnews.com/madison.com/content/tncms/assets/v3/editorial/d/4c/d4ce049c-5197-5e73-9715-e49787a865b1/62bdeb376b4b6.image.jpg?crop=1662%2C873%2C0%2C187,madison.com,English,United States
https://madison.com/news/local/govt-and-politics/candidate-q-a-assembly-district-80-republican-primary/article_6ea5b96b-09d8-5a3d-9aa3-428f7a029b99.html,https://madison.com/news/local/govt-and-politics/candidate-q-a-assembly-district-80-republican-primary/article_6ea5b96b-09d8-5a3d-9aa3-428f7a029b99.amp.html,Candidate Q & A : Assembly District 80 Republican Primary,20220701T193000Z,https://bloximages.chicago2.vip.townnews.com/madison.com/content/tncms/assets/v3/editorial/6/ea/6ea5b96b-09d8-5a3d-9aa3-428f7a029b99/62be168ec4658.preview.jpg?crop=1703%2C894%2C0%2C160,madison.com,English,United States
https://thespun.com/more/top-stories/breaking-ucla-usc-issue-statements-after-officially-joining-the-big-ten,https://thespun.com/.amp/more/top-stories/breaking-ucla-usc-issue-statements-after-officially-joining-the-big-ten,"Breaking : UCLA , USC Issue Statements After Officially Joining The Big Ten",20220701T034500Z,,thespun.com,English,United States
https://localnews8.com/politics/cnn-us-politics/2022/06/30/new-fight-over-abortion-jolts-democratic-battle-to-take-on-johnson-in-wisconsin-2/,,New fight over abortion jolts Democratic battle to take on Johnson in Wisconsin,20220701T024500Z,https://localnews8.b-cdn.net/2022/06/hypatia-h_d79b3df5e69a1001058325be04251eb1-h_3830cdeab180b4fab5a5d1652b4f2e06-300-860x484.jpg,localnews8.com,English,United States
https://www.buckys5thquarter.com/2022/7/1/23191149/the-times-they-are-a-changing-big-ten-pac-12-usc-ucla-conference-realignment-rose-bowl,https://www.buckys5thquarter.com/platform/amp/2022/7/1/23191149/the-times-they-are-a-changing-big-ten-pac-12-usc-ucla-conference-realignment-rose-bowl,"Big Ten athletics : The times , they are a - changing - Bucky 5th Quarter",20220701T171500Z,https://cdn.vox-cdn.com/thumbor/iDXRq83K6KIy6eklgPpfD2KQb_s=/0x376:5243x3121/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23665627/1197003598.jpg,buckys5thquarter.com,English,United States
