url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
https://enews.wvu.edu/articles/2021/09/01/sraj-sworn-in-as-president-of-w-va-state-medical-association,,Sraj sworn in as president of W . Va . State Medical Association | E - News,20210901T141500Z,https://enews.wvu.edu/files/f2d07cae-b343-49b8-88cb-2ec048ae32d3/1200x?cb=1630429860,enews.wvu.edu,English,United States
https://www.msn.com/en-us/weather/topstories/heavy-rain-from-ida-causing-some-flood-issues-in-parts-of-region/ar-AANYudX,,Heavy rain from Ida causing some flood issues in parts of region,20210901T144500Z,,msn.com,English,United States
https://www.news-medical.net/news/20210831/Collaborative-program-uses-peer-recovery-coaches-to-guide-people-with-substance-use-disorder.aspx,https://www.news-medical.net/amp/news/20210831/Collaborative-program-uses-peer-recovery-coaches-to-guide-people-with-substance-use-disorder.aspx,Collaborative program uses peer recovery coaches to guide people with substance use disorder,20210901T013000Z,https://d2jx2rerrg6sh3.cloudfront.net/image-handler/picture/2016/3/Abstract_medicine_background-Hilch-1000_f0a8c263e6e04ed18dfcc5ef27c17907-620x480.jpg,news-medical.net,English,United States
https://www.chron.com/news/article/Education-Department-awarded-1-8M-for-mental-16428247.php,https://www.chron.com/news/amp/Education-Department-awarded-1-8M-for-mental-16428247.php,Education Department awarded $1 . 8M for mental health program,20210901T171500Z,https://www.chron.com/img/pages/article/opengraph_default.jpg,chron.com,English,United States
https://www.sfgate.com/news/article/Education-Department-awarded-1-8M-for-mental-16428247.php,https://www.sfgate.com/news/amp/Education-Department-awarded-1-8M-for-mental-16428247.php,Education Department awarded $1 . 8M for mental health program,20210901T173000Z,https://www.sfgate.com/img/pages/article/opengraph_default.png,sfgate.com,English,United States
https://wvmetronews.com/2021/09/01/we-missed-you-maryland/,,"We Missed You , Maryland - WV MetroNews",20210901T051500Z,,wvmetronews.com,English,United States
https://www.washingtonpost.com/realestate/in-dcs-trinidad-a-sense-of-community-has-endured-through-bad-times-and-good/2021/09/01/81ab94e6-0753-11ec-a654-900a78538242_story.html,,"In D . C . Trinidad , a sense of community has endured through bad times and good",20210901T124500Z,https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/7PKBXBQJ6UI6ZJ6IMG5XWO7WFA.jpg,washingtonpost.com,English,United States
https://www.herald-dispatch.com/news/putnam_news/this-week-in-west-virginia-history/article_4668c516-810e-52ea-8c36-8abdfbd5b3be.html,,This week in West Virginia history,20210901T043000Z,https://bloximages.newyork1.vip.townnews.com/herald-dispatch.com/content/tncms/assets/v3/editorial/7/a1/7a10244a-f5f5-519d-a172-4426d2cc31b8/6125b08e9348c.image.jpg,herald-dispatch.com,English,United States
https://www.register-herald.com/region/education-department-awarded-1-8m-for-mental-health-program/article_39107b1e-4528-5ad7-9e2e-3099c7227b8f.html,,Education Department awarded $1 . 8M for mental health program,20210901T220000Z,https://bloximages.chicago2.vip.townnews.com/register-herald.com/content/tncms/custom/image/b87268c4-7873-11e7-af9a-f3a04545878a.jpg,register-herald.com,English,United States
https://www.titusvilleherald.com/news/state_news/article_3e056388-4433-59eb-a3ca-1e261758810e.html,,Education Department awarded $1 . 8M for mental health program,20210901T083000Z,https://bloximages.chicago2.vip.townnews.com/titusvilleherald.com/content/tncms/custom/image/ae57dbb0-8544-11e8-91c6-97689030322a.jpg,titusvilleherald.com,English,United States
https://www.insurancejournal.com/news/southeast/2021/09/01/629627.htm,https://amp.insurancejournal.com/news/southeast/2021/09/01/629627.htm,Tennessee Attorney General Leads Suit Against Biden Administration over LGBT protections,20210901T093000Z,https://www.insurancejournal.com/app/uploads/2020/06/lgbtq-at-work-rainbow-symbol-580x549.jpg,insurancejournal.com,English,United States
https://www.si.com/nfl/cowboys/news/dallas-cowboys-nfl-roster-waivers-will-grier-dak-prescott-backup-quarterback-cooper-rush,https://www.si.com/nfl/cowboys/.amp/news/dallas-cowboys-nfl-roster-waivers-will-grier-dak-prescott-backup-quarterback-cooper-rush,"Is Will Grier A Good Fit As Dak Prescott Backup With The Dallas Cowboys ? - FanNation Dallas Cowboys News , Analysis and More",20210901T173000Z,,si.com,English,United States
https://www.herald-dispatch.com/news/ashland-school-district-to-halt-in-person-learning-beginning-thursday/article_75650f03-6004-54a6-b8bb-a47f2b6324de.html,,Ashland school district to halt in - person learning beginning Thursday,20210901T233000Z,https://bloximages.newyork1.vip.townnews.com/herald-dispatch.com/content/tncms/assets/v3/editorial/1/88/188f4477-9ce5-53e7-bcb2-83d4680b4504/612ff94e64c43.image.jpg,herald-dispatch.com,English,United States
https://www.prweb.com/releases/coming_soon_to_acclaimed_avie_medspa_in_leesburg_va_bbl_hero_a_revolutionary_new_technology_for_correcting_hyperpigmentation_and_signs_of_aging/prweb18103601.htm,,"Coming Soon to Acclaimed AVIE ! Medspa in Leesburg , VA : BBL HERO™ , a Revolutionary New Technology For Correcting Hyperpigmentation and Signs of Aging",20210901T161500Z,http://ww1.prweb.com/prfiles/2021/07/29/18103601/gI_104079_NewsImage_vcsPRAsset_521536_104079_4bc5c5f0-07aa-4b97-8d13-35a784cdf682_0.png,prweb.com,English,United States
https://www.fredericknewspost.com/news/disasters_and_accidents/rains-cause-flood-warning-road-closures-across-county/article_fe5b5421-194b-57ab-b78e-d00fabdbed3d.html,,"Rains cause flood warning , road closures across county",20210901T213000Z,https://bloximages.newyork1.vip.townnews.com/fredericknewspost.com/content/tncms/assets/v3/editorial/8/17/8172efc0-2c0d-5d21-9d33-d1febc09fd23/612fe4ad4aa0a.image.jpg,fredericknewspost.com,English,United States
