url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry
http://www.uwyo.edu/uw/news/2020/09/uw-haub-school-receives-support-for-training-and-leadership-program.html,,UW Haub School Receives Support for Training and Leadership Program | News,20200901T174500Z,,uwyo.edu,English,United States
https://trib.com/highlights-from-monday-and-tuesdays-e-editions-of-the-star-tribune/article_df5bf875-b6fd-5726-97e9-1d3a11e6eab7.html,,Highlights from Monday and Tuesday e - Editions of the Star - Tribune,20200902T003000Z,https://bloximages.chicago2.vip.townnews.com/trib.com/content/tncms/custom/image/ab2de8bc-c54d-11ea-8d39-afce744a6371.jpg,trib.com,English,United States
https://www.christianpost.com:443/living/postcard-from-a-wyoming-town-that-punches-above-its-weight.html,https://www.christianpost.com/amp/postcard-from-a-wyoming-town-that-punches-above-its-weight.html,Postcard from a Wyoming town that punches above its weight,20200901T231500Z,https://cdn.christianpost.com/files/original/thumbnail/23/86/238677.jpg,christianpost.com,English,United States
http://www.buffalobulletin.com/obituaries/article_4910c484-eca2-11ea-ab4a-a399ccb3b99b.html,,Kathleen Elizabeth Long Sanford,20200901T233000Z,https://bloximages.newyork1.vip.townnews.com/buffalobulletin.com/content/tncms/assets/v3/editorial/5/b0/5b09d176-eca2-11ea-8893-73576e5fa86b/5f4ecaef29ac5.image.jpg,buffalobulletin.com,English,United States
https://billingsgazette.com/news/state-and-regional/university-of-wyoming-research-aims-to-reduce-emissions-from-coal/article_eeaf75e6-345f-5b6a-8fcb-ea0d98e5aebe.html,https://billingsgazette.com/news/state-and-regional/university-of-wyoming-research-aims-to-reduce-emissions-from-coal/article_eeaf75e6-345f-5b6a-8fcb-ea0d98e5aebe.amp.html,University of Wyoming research aims to reduce emissions from coal,20200901T043000Z,https://bloximages.chicago2.vip.townnews.com/billingsgazette.com/content/tncms/assets/v3/editorial/b/a3/ba36f969-93d6-5719-92a0-6904e88ddee2/5f4d9c5e4027e.image.jpg?crop=1763%2C992%2C0%2C91,billingsgazette.com,English,United States
https://www.thetimes-tribune.com/news/vice-president-mike-pence-visiting-exeter-today/article_c3bcb5e4-9b08-588c-bfee-a5bbae024b6e.html,https://www.thetimes-tribune.com/news/vice-president-mike-pence-visiting-exeter-today/article_c3bcb5e4-9b08-588c-bfee-a5bbae024b6e.amp.html,Vice President Mike Pence visiting Exeter today,20200901T183000Z,https://bloximages.newyork1.vip.townnews.com/thetimes-tribune.com/content/tncms/assets/v3/editorial/9/58/95835068-a728-5adc-8fdf-c8827c7b2692/5f4e76934eb80.image.jpg,thetimes-tribune.com,English,United States
"http://www.uwyo.edu/uw/news/2020/09/uw-receives-nsf-grant-to-study-connections-among-bedrock,-water-and-life-at-earths-surface.html",,"UW Receives NSF Grant to Study Connections Among Bedrock , Water and Life at Earth Surface | News",20200901T174500Z,,uwyo.edu,English,United States
https://www.fairfieldsuntimes.com/business/energy/university-of-wyoming-research-aims-to-reduce-emissions-from-coal/article_3a988642-a108-53a6-9cb6-0adc7d3b03f9.html,,University of Wyoming research aims to reduce emissions from coal,20200901T074500Z,https://bloximages.newyork1.vip.townnews.com/fairfieldsuntimes.com/content/tncms/assets/v3/editorial/2/c8/2c888170-8dca-5cf0-ab49-21cddb99428a/5f4db33e9b571.image.jpg,fairfieldsuntimes.com,English,United States
https://www.msn.com/en-us/finance/careersandeducation/10-law-schools-with-small-class-sizes/ar-BB18AN2t,,10 Law Schools With Small Class Sizes,20200901T140000Z,,msn.com,English,United States
https://www.sweetwaternow.com/generous-donation-from-rock-springs-couple-helps-uw-haub-school/,,Generous Donation from Rock Springs Couple Helps UW Haub School,20200901T214500Z,https://d3fldh011ywsk8.cloudfront.net/wp-content/uploads/2020/09/Haub-school-912020.jpg,sweetwaternow.com,English,United States
https://www.kpvi.com/news/regional_news/black-hills-energy-to-sponsor-university-of-wyoming-research-to-reduce-emissions-from-coal/article_ad027c63-5aac-51d8-b074-6952dd3aa4b0.html,,Black Hills Energy to sponsor University of Wyoming research to reduce emissions from coal,20200901T013000Z,https://bloximages.newyork1.vip.townnews.com/kpvi.com/content/tncms/assets/v3/editorial/8/11/811246df-5e01-5d18-8221-2824ffee5cc8/5f496d7a7427f.image.jpg,kpvi.com,English,United States
https://www.kpvi.com/news/national_news/black-hills-energy-to-sponsor-university-of-wyoming-research-to-reduce-emissions-from-coal/article_ad027c63-5aac-51d8-b074-6952dd3aa4b0.html,,Black Hills Energy to sponsor University of Wyoming research to reduce emissions from coal,20200901T041500Z,https://bloximages.newyork1.vip.townnews.com/kpvi.com/content/tncms/assets/v3/editorial/8/11/811246df-5e01-5d18-8221-2824ffee5cc8/5f496d7a7427f.image.jpg,kpvi.com,English,United States
https://www.kpvi.com/news/national_news/university-of-wyoming-research-aims-to-reduce-emissions-from-coal/article_ca079f5f-b10a-5721-bb9b-fb502901d347.html,,University of Wyoming research aims to reduce emissions from coal,20200901T091500Z,https://bloximages.newyork1.vip.townnews.com/kpvi.com/content/tncms/assets/v3/editorial/e/c2/ec298dbb-8b6c-51f4-a1de-4131733baf78/5f4da4f223804.image.jpg,kpvi.com,English,United States
https://www.msn.com/en-us/news/politics/white-house-e2-80-99s-meadows-says-senate-aiming-to-unveil-new-coronavirus-bill-next-week/ar-BB18B51K,,White House Meadows says Senate aiming to unveil new coronavirus bill next week,20200901T153000Z,,msn.com,English,United States
https://www.idahopress.com/community/health/nampa-doctor-megan-kasper-receives-university-of-washington-award-for-teaching/article_0844acf8-56f9-5c2c-91e7-fda365de1495.html,https://www.idahopress.com/community/health/nampa-doctor-megan-kasper-receives-university-of-washington-award-for-teaching/article_0844acf8-56f9-5c2c-91e7-fda365de1495.amp.html,Nampa doctor Megan Kasper receives University of Washington award for teaching,20200901T070000Z,https://bloximages.chicago2.vip.townnews.com/idahopress.com/content/tncms/assets/v3/editorial/3/b0/3b03f67c-3341-5ec7-9058-16e916a74211/5f4d19d328beb.image.jpg?crop=1246%2C1246%2C207%2C0,idahopress.com,English,United States
https://www.marketwatch.com/story/white-houses-meadows-says-senate-aiming-to-unveil-new-coronavirus-bill-next-week-11598972061,https://www.marketwatch.com/amp/story/white-houses-meadows-says-senate-aiming-to-unveil-new-coronavirus-bill-next-week-11598972061,White House Meadows says Senate aiming to unveil new coronavirus bill next week,20200901T151500Z,https://images.mktw.net/im-212257/social,marketwatch.com,English,United States
https://mybighornbasin.com/census-self-response-deadline-approaches/,,Census Self Response Deadline Approaches | | Big Horn Radio Network,20200901T184500Z,,mybighornbasin.com,English,United States
https://kgab.com/lcsd1-asking-for-feedback-on-proposed-board-membership-changes/,,LCSD # 1 Asking For Feedback On Proposed Board Membership Changes,20200901T160000Z,https://townsquare.media/site/99/files/2020/09/IMG_09681.jpg?&zc=1&s=0&a=t&q=89,kgab.com,English,United States
https://kingfm.com/lcsd1-asking-for-feedback-on-proposed-board-membership-changes/,,LCSD # 1 Asking For Feedback On Proposed Board Membership Changes,20200901T221500Z,https://townsquare.media/site/99/files/2020/09/IMG_09681.jpg?&zc=1&s=0&a=t&q=89,kingfm.com,English,United States
https://www.edweek.org/ew/articles/2020/09/02/nations-schools-get-a-c-once-again.html,https://mobile.edweek.org/c.jsp?cid=25919951 =25919141 =http%3A%2F%2Fapi.edweek.org%2Fv1%2Few%2F%3Fuuid%3DECEBBF1C-E948-11EA-8A42-956759D98AAA,"Nation Schools Get a  C  Once Again , Even as Pandemic Turns Up the Heat",20200901T233000Z,https://www.edweek.org/media/2020/08/31/qc-2020-gts-overview-soc.jpg,edweek.org,English,United States
https://www.bozemandailychronicle.com/obituaries/copp-mitchel-mitch-raymond/article_160e459e-818c-5c13-a4cb-65f177b792a9.html,https://www.bozemandailychronicle.com/obituaries/copp-mitchel-mitch-raymond/article_160e459e-818c-5c13-a4cb-65f177b792a9.amp.html,"Copp , Mitchel  Mitch  Raymond",20200901T091500Z,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/7/ff/7ff9ef40-acd2-58e6-93bd-7502fbc51040/5f4d767e8670b.image.jpg?crop=1341%2C1006%2C0%2C270,bozemandailychronicle.com,English,United States
https://sheridanmedia.com/news/27883/only-30-days-remain-to-be-counted-in-the-2020-census/,,Only 30 days remain to be counted in the 2020 Census – Sheridan Media,20200901T224500Z,https://sheridanmedia.com/wp-content/uploads/2020/09/sm-online-response-computer-03.jpg,sheridanmedia.com,English,United States
https://k2radio.com/watch-casper-police-department-reminds-residents-of-the-speed-limit-in-school-zones/,,WATCH : Casper PD Reminds Residents of Speed Limit In School Zones,20200901T023000Z,https://townsquare.media/site/147/files/2020/08/Sgt.-Jeff-Bullard-Casper-Police-Department.jpg?&zc=1&s=0&a=t&q=89,k2radio.com,English,United States
https://www.msn.com/en-us/news/politics/senate-republicans-hope-to-pass-skinny-coronavirus-relief-bill-next-week-dems-expected-to-block/ar-BB18B7Fh,,Senate Republicans Hope to Pass Skinny Coronavirus Relief Bill Next Week ; Dems Expected to Block,20200901T153000Z,,msn.com,English,United States
https://www.loudountimes.com/phylis-heller/article_0b9b85e6-c548-53ce-9cbc-d61b8301025d.html,,Phylis Heller,20200901T114500Z,https://bloximages.newyork1.vip.townnews.com/loudountimes.com/content/tncms/assets/v3/editorial/0/d8/0d8ea89d-2a40-5007-b66c-ebd640426e13/5f4e137d3797f.image.jpg,loudountimes.com,English,United States
https://k2radio.com/university-of-wyoming-donations-up-but-still-trail-average/,,University of Wyoming : Donations up but Still Trail Average,20200901T170000Z,https://townsquare.media/site/99/files/2020/08/Copy-of-Copy-of-resize3.jpg?&zc=1&s=0&a=t&q=89,k2radio.com,English,United States
https://kowb1290.com/university-of-wyoming-donations-up-but-still-trail-average/,,University of Wyoming : Donations up but Still Trail Average,20200901T144500Z,https://townsquare.media/site/99/files/2020/08/Copy-of-Copy-of-resize3.jpg?&zc=1&s=0&a=t&q=89,kowb1290.com,English,United States
https://kgab.com/university-of-wyoming-donations-up-but-still-trail-average/,,University of Wyoming : Donations up but Still Trail Average,20200901T143000Z,https://townsquare.media/site/99/files/2020/08/Copy-of-Copy-of-resize3.jpg?&zc=1&s=0&a=t&q=89,kgab.com,English,United States
https://hiconsumption.com/best-small-batch-whiskey-distilleries/,,12 Small - Batch Whiskey Distilleries You Should Know,20200901T160000Z,,hiconsumption.com,English,United States
