date,CRT_relevant,trans_relevant
8/1/20,0,0
8/2/20,0,0
8/3/20,0,0
8/4/20,0,0
8/5/20,0,0
8/6/20,0,0
8/7/20,0,0
8/8/20,0,0.007692308
8/9/20,0,0.004291845
8/10/20,0,0
8/11/20,0,0.012096774193548387
8/12/20,0,0
8/13/20,0,0
8/14/20,0,0
8/15/20,0,0
8/16/20,0,0
8/17/20,0,0
8/18/20,0,0
8/19/20,0,0
8/20/20,0,0
8/21/20,0,0
8/22/20,0,0
8/23/20,0,0.004132231
8/24/20,0,0
8/25/20,0,0
8/26/20,0,0.016129032258064516
8/27/20,0,0
8/28/20,0,0
8/29/20,0,0
8/30/20,0,0
8/31/20,0,0
9/1/20,0,0
9/2/20,0,0
9/3/20,0,0
9/4/20,0,0
9/5/20,0,0
9/6/20,0,0
9/7/20,0,0
9/8/20,0,0
9/9/20,0,0
9/10/20,0,0
9/11/20,0,0.020833333333333332
9/12/20,0,0
9/13/20,0,0
9/14/20,0,0
9/15/20,0,0.007662835
9/16/20,0,0
9/17/20,0,0
9/18/20,0,0
9/19/20,0,0.004115226
9/20/20,0,0
9/21/20,0,0
9/22/20,0,0
9/23/20,0,0.052208835
9/24/20,0,0.004098361
9/25/20,0,0
9/26/20,0,0
9/27/20,0,0
9/28/20,0,0.004273504
9/29/20,0,0.008130081
9/30/20,0,0
10/1/20,0.003846154,0.003846154
10/2/20,0,0
10/3/20,0,0
10/4/20,0,0
10/5/20,0,0
10/6/20,0,0
10/7/20,0,0.003891051
10/8/20,0,0
10/9/20,0,0
10/10/20,0,0
10/11/20,0,0.003937008
10/12/20,0,0
10/13/20,0,0
10/14/20,0,0
10/15/20,0,0
10/16/20,0,0.004
10/17/20,0,0
10/18/20,0,0
10/19/20,0,0.004
10/21/20,0.004,0
10/22/20,0,0
10/23/20,0,0
10/24/20,0,0
10/25/20,0,0
10/26/20,0,0
10/27/20,0,0
10/28/20,0,0
10/29/20,0,0
10/30/20,0,0
10/31/20,0,0
11/1/20,0,0
11/2/20,0,0
11/3/20,0,0
11/4/20,0,0
11/5/20,0,0
11/6/20,0,0
11/7/20,0,0
11/8/20,0,0
11/9/20,0,0
11/10/20,0,0
11/11/20,0,0
11/12/20,0.003610108,0.003610108
11/13/20,0,0.004
11/14/20,0,0
11/15/20,0,0
11/16/20,0,0
11/17/20,0,0
11/18/20,0,0
11/19/20,0,0.008333333
11/20/20,0,0.004219409
11/21/20,0,0.003610108
11/22/20,0,0
11/23/20,0,0
11/24/20,0,0
11/25/20,0,0
11/26/20,0,0
11/27/20,0,0
11/28/20,0,0
11/29/20,0,0
11/30/20,0,0
12/1/20,0,0
12/2/20,0,0
12/3/20,0,0
12/4/20,0,0.003787879
12/5/20,0,0
12/6/20,0,0
12/7/20,0,0.052845528455284556
12/8/20,0,0.016194331983805668
12/9/20,0,0
12/10/20,0,0
12/11/20,0,0
12/12/20,0,0
12/13/20,0,0
12/14/20,0,0
12/15/20,0,0
12/16/20,0,0
12/17/20,0,0
12/18/20,0,0.072727273
12/19/20,0,0
12/20/20,0,0.004201681
12/21/20,0,0
12/22/20,0,0.003968254
12/23/20,0,0
12/24/20,0,0
12/25/20,0,0
12/26/20,0,0
12/27/20,0,0.003846154
12/28/20,0,0.004081633
12/29/20,0,0
12/30/20,0,0
12/31/20,0,0.003968254
1/1/21,0,0
1/2/21,0,0
1/3/21,0,0
1/4/21,0,0
1/5/21,0,0
1/6/21,0.010204082,0
1/7/21,0,0
1/8/21,0,0
1/9/21,0,0
1/10/21,0.020408163,0
1/11/21,0,0
1/12/21,0,0
1/13/21,0,0
1/14/21,0,0
1/15/21,0,0
1/16/21,0,0.00990099
1/17/21,0,0
1/18/21,0,0
1/19/21,0,0
1/20/21,0,0
1/21/21,0,0
1/22/21,0,0
1/23/21,0,0
1/24/21,0,0
1/25/21,0,0.010204082
1/26/21,0,0
1/27/21,0,0
1/28/21,0,0
1/29/21,0,0
1/30/21,0,0
1/31/21,0,0
2/1/21,0,0
2/2/21,0.00990099,0
2/3/21,0,0
2/4/21,0,0
2/5/21,0,0
2/6/21,0,0
2/7/21,0,0
2/8/21,0,0
2/9/21,0,0
2/10/21,0,0
2/11/21,0,0
2/12/21,0,0
2/13/21,0,0
2/14/21,0,0
2/15/21,0,0.00990099
2/16/21,0,0
2/17/21,0,0
2/18/21,0,0
2/19/21,0,0.021505376344086023
2/20/21,0,0.081081081
2/21/21,0,0
2/22/21,0,0
2/23/21,0,0
2/24/21,0,0
2/25/21,0,0.00990099
2/26/21,0,0
2/27/21,0,0
2/28/21,0,0
3/1/21,0,0
3/2/21,0,0
3/3/21,0,0
3/4/21,0,0
3/5/21,0,0
3/6/21,0,0
3/7/21,0,0
3/8/21,0,0
3/9/21,0,0
3/10/21,0,0
3/11/21,0,0
3/12/21,0,0
3/13/21,0,0
3/14/21,0,0
3/15/21,0,0
3/16/21,0,0.01
3/17/21,0,0
3/18/21,0,0
3/19/21,0,0.010309278350515464
3/20/21,0,0
3/21/21,0,0
3/22/21,0,0
3/23/21,0,0.085714286
3/24/21,0,0.038461538461538464
3/25/21,0,0.068627451
3/26/21,0,0
3/27/21,0,0
3/28/21,0,0
3/29/21,0,0
3/30/21,0,0
3/31/21,0,0
4/1/21,0,0
4/2/21,0.00952381,0
4/3/21,0,0
4/4/21,0,0
4/5/21,0,0
4/6/21,0,0
4/7/21,0,0
4/8/21,0,0.041666666666666664
4/9/21,0,0.010204082
4/10/21,0,0.009345794
4/11/21,0,0
4/12/21,0,0
4/13/21,0,0
4/14/21,0.010416666666666666,0
4/15/21,0,0
4/16/21,0,0
4/17/21,0,0
4/18/21,0.007575758,0
4/19/21,0,0
4/20/21,0.009803922,0.009803922
4/21/21,0.010309278350515464,0.010309278350515464
4/22/21,0,0
4/23/21,0,0
4/24/21,0,0
4/25/21,0,0.010989011
4/26/21,0.00952381,0.019047619
4/27/21,0,0
4/28/21,0.01,0
4/29/21,0,0
4/30/21,0,0
5/1/21,0,0
5/2/21,0,0
5/3/21,0,0
5/4/21,0,0
5/5/21,0,0
5/6/21,0,0
5/7/21,0,0
5/8/21,0,0
5/9/21,0,0.021505376344086023
5/10/21,0,0
5/11/21,0,0
5/12/21,0.010416666666666666,0
5/13/21,0.009708738,0
5/14/21,0.020202020202020204,0
5/15/21,0,0
5/16/21,0,0
5/17/21,0,0
5/18/21,0,0
5/19/21,0,0
5/20/21,0.011363636363636364,0
5/21/21,0,0
5/22/21,0,0
5/23/21,0,0.009615385
5/24/21,0,0
5/25/21,0.018867924528301886,0.009433962
5/26/21,0.010752688172043012,0
5/27/21,0.009174312,0
5/28/21,0.010416666666666666,0
5/29/21,0.01,0
5/30/21,0.00990099,0.00990099
5/31/21,0,0.125
6/1/21,0.010309278350515464,0.010309278350515464
6/2/21,0.056603774,0.028301887
6/3/21,0,0
6/4/21,0,0
6/5/21,0,0
6/6/21,0.009803922,0
6/7/21,0.010416666666666666,0
6/8/21,0,0.1523809523809524
6/9/21,0,0
6/10/21,0.053763440860215055,0
6/11/21,0.074074074,0.037037037037037035
6/12/21,0.042553191,0.053191489
